,best
adjunct_island,0.423
adv_order,0.68
anaphor_gender_agreement,0.517
anaphor_number_agreement,0.468
center_embedding_double_1,0.693
center_embedding_double_2,0.792
center_embedding_single_1,0.744
center_embedding_single_2,0.439
complex_np_island,0.38
coordinate_structure_constrain_object_extraction,0.291
determiner_noun_agreement_1,0.496
determiner_noun_agreement_2,0.542
determiner_noun_agreement_adj_1,0.475
determiner_noun_agreement_adj_2,0.545
ellipsis,0.086
green_ideas,0.522
intransitive,0.32
left_branch_island_simple_question,0.142
matrix_question_npi_licensor_present,0.372
npi_present,0.311
only_npi_licensor_present,1.0
only_npi_scope,0.813
pp_order,0.65
principle_A_c_command,0.489
principle_A_domain_1,0.892
principle_A_domain_2,0.513
principle_A_domain_3,0.522
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,0.893
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.114
recursion_poss_ditransitive_long,0.594
recursion_poss_ditransitive_medium,0.585
recursion_poss_ditransitive_short,0.516
recursion_poss_transitive_long,0.857
recursion_poss_transitive_medium,0.873
recursion_poss_transitive_short,0.951
recursion_pp_is_long,0.993
recursion_pp_is_medium,0.992
recursion_pp_is_short,0.573
recursion_pp_verb_long,0.0
recursion_pp_verb_medium,0.026
recursion_pp_verb_short,0.864
sentential_negation_npi_licensor_present,0.996
sentential_negation_npi_scope,0.213
subj_aux_agreement_question_vary_aux,0.482
subj_aux_agreement_question_vary_subj,0.48
subj_aux_vary_subj,0.539
subj_aux_vary_verb,0.412
subj_aux_vary_verb_pp,0.497
subj_aux_vary_verb_rc,0.49
subj_verb_vary_verb,0.406
svo_vos,0.495
swapped_ditransitive_1,0.827
swapped_ditransitive_2,0.58
transitive,0.763
wh_island,0.983
wh_questions_object_gap,0.199
wh_questions_object_gap_long_distance,0.21
wh_questions_subject_gap,0.704
wh_questions_subject_gap_long_distance,0.767
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.534
wh_vs_that_with_gap_long_distance,0.617
