,best
adjunct_island,0.653
adv_order,0.416
wh_vs_that_with_gap,0.144
anaphor_gender_agreement,0.496
anaphor_number_agreement,0.466
recursion_pp_verb_long,0.0
center_embedding_double_1,0.786
recursion_pp_verb_medium,0.0
center_embedding_double_2,0.537
recursion_pp_verb_short,0.0
center_embedding_single_1,0.869
subj_aux_vary_verb_rc,0.5
center_embedding_single_2,0.282
complex_np_island,0.156
recursion_poss_transitive_medium,0.325
coordinate_structure_constrain_object_extraction,0.339
subj_aux_vary_verb_pp,0.481
determiner_noun_agreement_1,0.529
subj_verb_vary_verb,0.565
determiner_noun_agreement_2,0.423
svo_vos,0.122
determiner_noun_agreement_adj_1,0.51
swapped_ditransitive_1,0.413
determiner_noun_agreement_adj_2,0.404
ellipsis,0.649
green_ideas,0.46
intransitive,0.399
recursion_poss_transitive_short,0.397
left_branch_island_simple_question,0.566
recursion_pp_is_long,0.522
matrix_question_npi_licensor_present,0.953
npi_present,0.394
swapped_ditransitive_2,0.483
only_npi_licensor_present,1.0
only_npi_scope,1.0
pp_order,0.517
principle_A_c_command,0.465
principle_A_domain_1,0.531
principle_A_domain_2,0.503
principle_A_domain_3,0.487
transitive,0.469
recursion_intensifier_adj_long,0.126
wh_island,0.789
recursion_intensifier_adj_medium,0.021
wh_questions_object_gap,0.716
recursion_intensifier_adj_short,0.0
wh_vs_that_with_gap_long_distance,0.02
recursion_intensifier_adv_long,0.876
wh_questions_object_gap_long_distance,0.828
recursion_intensifier_adv_medium,0.994
wh_questions_subject_gap,0.782
recursion_intensifier_adv_short,1.0
wh_questions_subject_gap_long_distance,0.907
recursion_poss_ditransitive_long,0.343
recursion_pp_is_medium,0.67
recursion_poss_ditransitive_medium,0.353
recursion_pp_is_short,0.746
recursion_poss_ditransitive_short,0.409
wh_vs_that_no_gap,0.998
recursion_poss_transitive_long,0.296
subj_aux_agreement_question_vary_subj,0.482
sentential_negation_npi_licensor_present,0.651
wh_vs_that_no_gap_long_distance,1.0
sentential_negation_npi_scope,0.167
subj_aux_vary_subj,0.465
subj_aux_agreement_question_vary_aux,0.479
subj_aux_vary_verb,0.493
