,best
adjunct_island,0.855
adv_order,0.747
wh_vs_that_with_gap,0.352
anaphor_gender_agreement,0.519
anaphor_number_agreement,0.554
recursion_pp_verb_long,0.897
center_embedding_double_1,0.46
recursion_pp_verb_medium,0.964
center_embedding_double_2,0.967
recursion_pp_verb_short,0.999
center_embedding_single_1,0.45
subj_aux_vary_verb_rc,0.446
center_embedding_single_2,0.968
complex_np_island,0.577
recursion_poss_transitive_medium,0.987
coordinate_structure_constrain_object_extraction,0.198
subj_aux_vary_verb_pp,0.441
determiner_noun_agreement_1,0.617
subj_verb_vary_verb,0.522
determiner_noun_agreement_2,0.66
svo_vos,0.67
determiner_noun_agreement_adj_1,0.551
swapped_ditransitive_1,0.852
determiner_noun_agreement_adj_2,0.615
ellipsis,0.349
green_ideas,0.473
intransitive,0.582
recursion_poss_transitive_short,1.0
left_branch_island_simple_question,0.227
recursion_pp_is_long,0.469
matrix_question_npi_licensor_present,0.167
npi_present,0.442
swapped_ditransitive_2,0.74
only_npi_licensor_present,1.0
only_npi_scope,0.464
pp_order,0.783
principle_A_c_command,0.514
principle_A_domain_1,1.0
principle_A_domain_2,0.52
principle_A_domain_3,0.492
transitive,0.872
recursion_intensifier_adj_long,1.0
wh_island,0.932
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.101
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.395
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.112
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.786
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.789
recursion_poss_ditransitive_long,0.896
recursion_pp_is_medium,0.515
recursion_poss_ditransitive_medium,0.916
recursion_pp_is_short,0.664
recursion_poss_ditransitive_short,0.897
wh_vs_that_no_gap,0.986
recursion_poss_transitive_long,0.992
subj_aux_agreement_question_vary_subj,0.516
sentential_negation_npi_licensor_present,0.015
wh_vs_that_no_gap_long_distance,0.962
sentential_negation_npi_scope,0.389
subj_aux_vary_subj,0.725
subj_aux_agreement_question_vary_aux,0.637
subj_aux_vary_verb,0.79
