,best
adjunct_island,0.542
adv_order,0.525
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.47
center_embedding_double_1,0.423
center_embedding_double_2,0.917
center_embedding_single_1,0.321
center_embedding_single_2,0.916
complex_np_island,0.451
coordinate_structure_constrain_object_extraction,0.319
determiner_noun_agreement_1,0.524
determiner_noun_agreement_2,0.581
determiner_noun_agreement_adj_1,0.519
determiner_noun_agreement_adj_2,0.602
ellipsis,0.16
green_ideas,0.492
intransitive,0.472
left_branch_island_simple_question,0.214
matrix_question_npi_licensor_present,0.378
npi_present,0.345
only_npi_licensor_present,0.999
only_npi_scope,0.995
pp_order,0.481
principle_A_c_command,0.49
principle_A_domain_1,0.965
principle_A_domain_2,0.49
principle_A_domain_3,0.489
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.595
recursion_poss_ditransitive_medium,0.608
recursion_poss_ditransitive_short,0.617
recursion_poss_transitive_long,0.767
recursion_poss_transitive_medium,0.839
recursion_poss_transitive_short,0.954
recursion_pp_is_long,0.073
recursion_pp_is_medium,0.096
recursion_pp_is_short,0.12
recursion_pp_verb_long,0.003
recursion_pp_verb_medium,0.164
recursion_pp_verb_short,0.766
sentential_negation_npi_licensor_present,0.97
sentential_negation_npi_scope,0.334
subj_aux_agreement_question_vary_aux,0.443
subj_aux_agreement_question_vary_subj,0.478
subj_aux_vary_subj,0.497
subj_aux_vary_verb,0.476
subj_aux_vary_verb_pp,0.51
subj_aux_vary_verb_rc,0.511
subj_verb_vary_verb,0.385
svo_vos,0.451
swapped_ditransitive_1,0.948
swapped_ditransitive_2,0.821
transitive,0.757
wh_island,0.828
wh_questions_object_gap,0.208
wh_questions_object_gap_long_distance,0.144
wh_questions_subject_gap,0.609
wh_questions_subject_gap_long_distance,0.556
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,0.996
wh_vs_that_with_gap,0.277
wh_vs_that_with_gap_long_distance,0.53
