,best
adjunct_island,0.421
adv_order,0.724
anaphor_gender_agreement,0.499
anaphor_number_agreement,0.501
center_embedding_double_1,0.227
center_embedding_double_2,0.513
center_embedding_single_1,0.25
center_embedding_single_2,0.366
complex_np_island,0.519
coordinate_structure_constrain_object_extraction,0.372
determiner_noun_agreement_1,0.497
determiner_noun_agreement_2,0.506
determiner_noun_agreement_adj_1,0.478
determiner_noun_agreement_adj_2,0.494
ellipsis,0.101
green_ideas,0.601
intransitive,0.578
left_branch_island_simple_question,0.054
matrix_question_npi_licensor_present,0.514
npi_present,0.867
only_npi_licensor_present,0.443
only_npi_scope,0.635
pp_order,0.769
principle_A_c_command,0.496
principle_A_domain_1,0.058
principle_A_domain_2,0.502
principle_A_domain_3,0.492
recursion_intensifier_adj_long,0.962
recursion_intensifier_adj_medium,0.942
recursion_intensifier_adj_short,0.832
recursion_intensifier_adv_long,0.045
recursion_intensifier_adv_medium,0.066
recursion_intensifier_adv_short,0.194
recursion_poss_ditransitive_long,0.46
recursion_poss_ditransitive_medium,0.468
recursion_poss_ditransitive_short,0.423
recursion_poss_transitive_long,0.995
recursion_poss_transitive_medium,0.993
recursion_poss_transitive_short,0.975
recursion_pp_is_long,0.516
recursion_pp_is_medium,0.635
recursion_pp_is_short,0.483
recursion_pp_verb_long,0.41
recursion_pp_verb_medium,0.269
recursion_pp_verb_short,0.467
sentential_negation_npi_licensor_present,0.176
sentential_negation_npi_scope,0.182
subj_aux_agreement_question_vary_aux,0.447
subj_aux_agreement_question_vary_subj,0.447
subj_aux_vary_subj,0.536
subj_aux_vary_verb,0.493
subj_aux_vary_verb_pp,0.499
subj_aux_vary_verb_rc,0.473
subj_verb_vary_verb,0.481
svo_vos,0.475
swapped_ditransitive_1,0.907
swapped_ditransitive_2,0.661
transitive,0.566
wh_island,0.974
wh_questions_object_gap,0.356
wh_questions_object_gap_long_distance,0.411
wh_questions_subject_gap,0.572
wh_questions_subject_gap_long_distance,0.418
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.011
wh_vs_that_with_gap_long_distance,0.0
