,adjunct_island,adv_order,anaphor_gender_agreement,anaphor_number_agreement,center_embedding_double_1,center_embedding_double_2,center_embedding_single_1,center_embedding_single_2,complex_np_island,coordinate_structure_constrain_object_extraction,determiner_noun_agreement_1,determiner_noun_agreement_2,determiner_noun_agreement_adj_1,determiner_noun_agreement_adj_2,ellipsis,green_ideas,intransitive,left_branch_island_simple_question,matrix_question_npi_licensor_present,npi_present,only_npi_licensor_present,only_npi_scope,pp_order,principle_A_c_command,principle_A_domain_1,principle_A_domain_2,principle_A_domain_3,recursion_intensifier_adj_long,recursion_intensifier_adj_medium,recursion_intensifier_adj_short,recursion_intensifier_adv_long,recursion_intensifier_adv_medium,recursion_intensifier_adv_short,recursion_poss_ditransitive_long,recursion_poss_ditransitive_medium,recursion_poss_ditransitive_short,recursion_poss_transitive_long,recursion_poss_transitive_medium,recursion_poss_transitive_short,recursion_pp_is_long,recursion_pp_is_medium,recursion_pp_is_short,recursion_pp_verb_long,recursion_pp_verb_medium,recursion_pp_verb_short,sentential_negation_npi_licensor_present,sentential_negation_npi_scope,subj_aux_agreement_question_vary_aux,subj_aux_agreement_question_vary_subj,subj_aux_vary_subj,subj_aux_vary_verb,subj_aux_vary_verb_pp,subj_aux_vary_verb_rc,subj_verb_vary_verb,svo_vos,swapped_ditransitive_1,swapped_ditransitive_2,transitive,wh_island,wh_questions_object_gap,wh_questions_object_gap_long_distance,wh_questions_subject_gap,wh_questions_subject_gap_long_distance,wh_vs_that_no_gap,wh_vs_that_no_gap_long_distance,wh_vs_that_with_gap,wh_vs_that_with_gap_long_distance
0,"[(0, 2935.3291015625), (1, 2671.611572265625)]","[(0, 2984.786865234375), (1, 2994.02978515625)]","[(0, 2542.561279296875), (1, 2393.829345703125)]","[(0, 3567.433349609375), (1, 3932.10400390625)]","[(0, 4921.306640625), (1, 5935.30126953125)]","[(0, 3524.56396484375), (1, 3183.443359375)]","[(0, 2788.955810546875), (1, 4375.248046875)]","[(0, 8737.333984375), (1, 7090.53564453125)]","[(0, 2001.283203125), (1, 1690.20361328125)]","[(0, 3060.82763671875), (1, 2917.018310546875)]","[(0, 1782.3818359375), (1, 1750.5748291015625)]","[(0, 2034.9935302734375), (1, 2585.279052734375)]","[(0, 1484.8323974609375), (1, 1522.4525146484375)]","[(0, 1602.87353515625), (1, 1866.0513916015625)]","[(0, 1708.506103515625), (1, 1819.744873046875)]","[(0, 11537.8349609375), (1, 17586.185546875)]","[(0, 3580.631103515625), (1, 5190.4267578125)]","[(0, 1971.2420654296875), (1, 2062.91064453125)]","[(0, 1739.303955078125), (1, 1541.2054443359375)]","[(0, 2142.078369140625), (1, 2193.672119140625)]","[(0, 1876.6683349609375), (1, 1501.218017578125)]","[(0, 3323.11181640625), (1, 2607.70458984375)]","[(0, 1562.7088623046875), (1, 1650.824951171875)]","[(0, 4585.587890625), (1, 4471.373046875)]","[(0, 2917.43017578125), (1, 2206.92333984375)]","[(0, 1650.5723876953125), (1, 1450.416259765625)]","[(0, 1199.89306640625), (1, 1283.4097900390625)]","[(0, 4890.857421875), (1, 2806.215087890625)]","[(0, 4618.693359375), (1, 2704.90234375)]","[(0, 6966.1552734375), (1, 1981.8336181640625)]","[(0, 1664.2359619140625), (1, 2517.8173828125)]","[(0, 1509.3294677734375), (1, 2905.116943359375)]","[(0, 1489.693115234375), (1, 3200.62744140625)]","[(0, 3911.659912109375), (1, 3776.48291015625)]","[(0, 3337.531005859375), (1, 3140.410400390625)]","[(0, 2767.4951171875), (1, 2617.5654296875)]","[(0, 3745.547119140625), (1, 3808.814697265625)]","[(0, 3990.073486328125), (1, 3659.752197265625)]","[(0, 2027.8934326171875), (1, 1929.9613037109375)]","[(0, 1008.5446166992188), (1, 1065.3441162109375)]","[(0, 943.11279296875), (1, 993.7080688476562)]","[(0, 1334.5679931640625), (1, 1609.187744140625)]","[(0, 1913.2900390625), (1, 1964.024169921875)]","[(0, 1182.4588623046875), (1, 1247.9859619140625)]","[(0, 3810.47509765625), (1, 3258.575927734375)]","[(0, 3850.563720703125), (1, 2247.8662109375)]","[(0, 1988.3802490234375), (1, 2208.89306640625)]","[(0, 1838.5599365234375), (1, 1548.577880859375)]","[(0, 1871.6995849609375), (1, 2331.889404296875)]","[(0, 1515.90966796875), (1, 1248.891357421875)]","[(0, 2286.17041015625), (1, 1650.689697265625)]","[(0, 1905.0068359375), (1, 1971.0653076171875)]","[(0, 1503.11767578125), (1, 1764.48828125)]","[(0, 2233.7568359375), (1, 2561.65966796875)]","[(0, 2527.326904296875), (1, 2091.16748046875)]","[(0, 2563.44970703125), (1, 1211.030517578125)]","[(0, 2576.311767578125), (1, 2598.29296875)]","[(0, 1884.55517578125), (1, 1497.8372802734375)]","[(0, 2450.76708984375), (1, 2118.28662109375)]","[(0, 1062.21435546875), (1, 1263.2978515625)]","[(0, 1635.4837646484375), (1, 1910.5130615234375)]","[(0, 2077.5966796875), (1, 2065.322021484375)]","[(0, 2277.015625), (1, 2252.5498046875)]","[(0, 2466.6259765625), (1, 1941.57666015625)]","[(0, 1801.225341796875), (1, 1552.897705078125)]","[(0, 2597.311767578125), (1, 2705.68017578125)]","[(0, 2217.221435546875), (1, 2122.0068359375)]"
1,"[(0, 2204.660888671875), (1, 2246.26220703125)]","[(0, 2399.135009765625), (1, 2535.0927734375)]","[(0, 2904.632080078125), (1, 3209.075439453125)]","[(0, 2025.393310546875), (1, 2066.998779296875)]","[(0, 5872.9091796875), (1, 6702.2001953125)]","[(0, 2787.615478515625), (1, 2641.517578125)]","[(0, 3561.780029296875), (1, 5341.13671875)]","[(0, 4654.54541015625), (1, 3021.068115234375)]","[(0, 1433.4302978515625), (1, 1376.9876708984375)]","[(0, 2327.239501953125), (1, 2039.9075927734375)]","[(0, 2784.4697265625), (1, 2311.768310546875)]","[(0, 3571.07568359375), (1, 2236.900146484375)]","[(0, 3466.288818359375), (1, 2924.469482421875)]","[(0, 3591.855712890625), (1, 2877.52392578125)]","[(0, 2033.293212890625), (1, 2264.60546875)]","[(0, 14965.2529296875), (1, 7579.306640625)]","[(0, 2743.75), (1, 2711.600830078125)]","[(0, 1097.10498046875), (1, 1617.0643310546875)]","[(0, 1679.0211181640625), (1, 1524.73583984375)]","[(0, 2082.179443359375), (1, 2353.826904296875)]","[(0, 1770.109130859375), (1, 1443.7623291015625)]","[(0, 1322.6168212890625), (1, 1098.568603515625)]","[(0, 1286.6898193359375), (1, 1298.9222412109375)]","[(0, 2212.68505859375), (1, 2212.01708984375)]","[(0, 1495.489501953125), (1, 1223.7864990234375)]","[(0, 3801.897705078125), (1, 3938.149658203125)]","[(0, 1310.0570068359375), (1, 1406.7083740234375)]","[(0, 2281.714111328125), (1, 1321.39697265625)]","[(0, 2092.485107421875), (1, 1246.572265625)]","[(0, 4124.96923828125), (1, 1985.9495849609375)]","[(0, 1396.83447265625), (1, 2083.084228515625)]","[(0, 2554.350830078125), (1, 3465.545166015625)]","[(0, 2788.54638671875), (1, 6641.56982421875)]","[(0, 3805.00634765625), (1, 4052.575927734375)]","[(0, 4518.47509765625), (1, 4731.9443359375)]","[(0, 2762.049072265625), (1, 2328.652587890625)]","[(0, 3253.2197265625), (1, 3410.710693359375)]","[(0, 3722.21630859375), (1, 3392.058837890625)]","[(0, 4208.70654296875), (1, 3250.871826171875)]","[(0, 1290.3369140625), (1, 1217.2646484375)]","[(0, 1277.2740478515625), (1, 1566.0731201171875)]","[(0, 1610.4881591796875), (1, 2151.6181640625)]","[(0, 1367.684326171875), (1, 1459.1651611328125)]","[(0, 1721.3280029296875), (1, 1809.818359375)]","[(0, 2833.168701171875), (1, 2312.04296875)]","[(0, 2413.78271484375), (1, 1308.750244140625)]","[(0, 2401.1162109375), (1, 2831.662841796875)]","[(0, 1256.365478515625), (1, 1503.3670654296875)]","[(0, 2085.29248046875), (1, 1967.9691162109375)]","[(0, 2299.44970703125), (1, 1938.2742919921875)]","[(0, 3653.931396484375), (1, 3129.4384765625)]","[(0, 1854.1466064453125), (1, 1813.2554931640625)]","[(0, 2900.042724609375), (1, 2538.729248046875)]","[(0, 8494.6806640625), (1, 3652.172119140625)]","[(0, 3604.95458984375), (1, 3167.704345703125)]","[(0, 1658.2418212890625), (1, 1160.563720703125)]","[(0, 1981.86669921875), (1, 1165.30712890625)]","[(0, 2527.88623046875), (1, 1693.5872802734375)]","[(0, 1325.01171875), (1, 1193.57373046875)]","[(0, 2130.35107421875), (1, 2198.01416015625)]","[(0, 2385.757080078125), (1, 2955.567626953125)]","[(0, 1920.32421875), (1, 1850.5782470703125)]","[(0, 3366.9619140625), (1, 3484.1494140625)]","[(0, 1649.7218017578125), (1, 1463.957275390625)]","[(0, 1510.866943359375), (1, 1409.61376953125)]","[(0, 1529.043212890625), (1, 1549.643798828125)]","[(0, 2069.766357421875), (1, 2213.637939453125)]"
2,"[(0, 2220.634521484375), (1, 1982.2645263671875)]","[(0, 2202.975341796875), (1, 2909.248046875)]","[(0, 4747.4482421875), (1, 4340.6201171875)]","[(0, 5181.603515625), (1, 5783.02734375)]","[(0, 4109.64794921875), (1, 4729.95458984375)]","[(0, 4603.17138671875), (1, 3249.93896484375)]","[(0, 2345.143310546875), (1, 3197.399658203125)]","[(0, 3000.08349609375), (1, 2060.89208984375)]","[(0, 2581.02587890625), (1, 2195.471923828125)]","[(0, 2374.584716796875), (1, 2601.42919921875)]","[(0, 2275.28759765625), (1, 2010.658203125)]","[(0, 3380.484619140625), (1, 4896.4580078125)]","[(0, 2597.111083984375), (1, 2092.184814453125)]","[(0, 2513.66064453125), (1, 2070.234130859375)]","[(0, 2439.525146484375), (1, 2820.042236328125)]","[(0, 4971.8681640625), (1, 4783.26416015625)]","[(0, 3925.520751953125), (1, 4020.796630859375)]","[(0, 2763.752197265625), (1, 2269.500244140625)]","[(0, 1678.9041748046875), (1, 1984.8353271484375)]","[(0, 3687.372314453125), (1, 3858.44091796875)]","[(0, 2357.301025390625), (1, 1966.5262451171875)]","[(0, 2421.056396484375), (1, 1879.0126953125)]","[(0, 2419.605712890625), (1, 2227.3984375)]","[(0, 2597.75634765625), (1, 2383.46826171875)]","[(0, 921.2001953125), (1, 754.8216552734375)]","[(0, 1603.957763671875), (1, 1669.3240966796875)]","[(0, 1725.065185546875), (1, 1463.6285400390625)]","[(0, 5730.7060546875), (1, 3435.2001953125)]","[(0, 3532.791748046875), (1, 1728.4129638671875)]","[(0, 3713.880126953125), (1, 1816.44091796875)]","[(0, 2563.084228515625), (1, 4065.516357421875)]","[(0, 3283.4599609375), (1, 4862.9521484375)]","[(0, 1724.4786376953125), (1, 4272.53466796875)]","[(0, 5500.6015625), (1, 5781.90185546875)]","[(0, 3089.31494140625), (1, 3230.252685546875)]","[(0, 2282.197265625), (1, 2002.427734375)]","[(0, 4083.46484375), (1, 4248.08740234375)]","[(0, 3404.38671875), (1, 3628.39111328125)]","[(0, 4666.2080078125), (1, 2387.450439453125)]","[(0, 1019.4457397460938), (1, 1111.6591796875)]","[(0, 833.4371337890625), (1, 897.8282470703125)]","[(0, 1723.2490234375), (1, 1895.3760986328125)]","[(0, 1253.138671875), (1, 1361.806640625)]","[(0, 1223.049072265625), (1, 1177.3023681640625)]","[(0, 2217.07861328125), (1, 2077.723388671875)]","[(0, 3218.466064453125), (1, 3153.11669921875)]","[(0, 1802.3543701171875), (1, 1696.16845703125)]","[(0, 1166.9224853515625), (1, 1570.554931640625)]","[(0, 1467.949462890625), (1, 1428.5704345703125)]","[(0, 2961.138427734375), (1, 2718.489501953125)]","[(0, 1117.69677734375), (1, 1283.95703125)]","[(0, 1374.1055908203125), (1, 1402.0294189453125)]","[(0, 3245.30859375), (1, 2989.64697265625)]","[(0, 7170.662109375), (1, 4206.05029296875)]","[(0, 2425.438232421875), (1, 2282.152587890625)]","[(0, 2732.70263671875), (1, 1517.514404296875)]","[(0, 2351.064208984375), (1, 1564.5050048828125)]","[(0, 1963.82666015625), (1, 1840.5142822265625)]","[(0, 1579.2947998046875), (1, 1398.683349609375)]","[(0, 1832.52685546875), (1, 2188.5546875)]","[(0, 2224.81591796875), (1, 2356.396484375)]","[(0, 2381.882080078125), (1, 2279.631591796875)]","[(0, 1655.360595703125), (1, 1758.538818359375)]","[(0, 1411.23388671875), (1, 1234.6822509765625)]","[(0, 4540.79541015625), (1, 3938.45751953125)]","[(0, 3762.158203125), (1, 4156.99267578125)]","[(0, 2330.378662109375), (1, 2351.695556640625)]"
3,"[(0, 1676.8568115234375), (1, 1670.3807373046875)]","[(0, 2975.1669921875), (1, 3013.118408203125)]","[(0, 1854.347412109375), (1, 1995.0433349609375)]","[(0, 4789.46240234375), (1, 5243.86279296875)]","[(0, 6706.70166015625), (1, 6578.28076171875)]","[(0, 3270.643310546875), (1, 2948.952880859375)]","[(0, 4466.07958984375), (1, 4949.84521484375)]","[(0, 5075.05712890625), (1, 3813.34326171875)]","[(0, 1949.7679443359375), (1, 1605.598388671875)]","[(0, 2539.562255859375), (1, 2264.953125)]","[(0, 1372.0712890625), (1, 1566.230712890625)]","[(0, 4492.70654296875), (1, 7427.66455078125)]","[(0, 2712.9951171875), (1, 2132.625732421875)]","[(0, 3164.25927734375), (1, 2202.33251953125)]","[(0, 2139.708984375), (1, 2470.7353515625)]","[(0, 19609.865234375), (1, 12492.0888671875)]","[(0, 5377.66552734375), (1, 4438.5322265625)]","[(0, 2543.740966796875), (1, 2656.6201171875)]","[(0, 2229.5439453125), (1, 2293.221435546875)]","[(0, 2586.08447265625), (1, 2446.1552734375)]","[(0, 1843.0946044921875), (1, 1599.342529296875)]","[(0, 2274.7626953125), (1, 1752.8902587890625)]","[(0, 1345.3636474609375), (1, 1374.7891845703125)]","[(0, 1899.408447265625), (1, 1942.48046875)]","[(0, 2379.19384765625), (1, 2098.540283203125)]","[(0, 2235.199462890625), (1, 2259.88623046875)]","[(0, 2460.2216796875), (1, 2081.302978515625)]","[(0, 4505.123046875), (1, 2920.5244140625)]","[(0, 1807.9656982421875), (1, 1147.392333984375)]","[(0, 3412.705322265625), (1, 1537.2294921875)]","[(0, 1432.1531982421875), (1, 1814.047607421875)]","[(0, 1387.7708740234375), (1, 2363.17138671875)]","[(0, 2628.6123046875), (1, 6389.91943359375)]","[(0, 3671.66259765625), (1, 3679.952880859375)]","[(0, 3998.648193359375), (1, 4458.3603515625)]","[(0, 1551.7252197265625), (1, 1347.14697265625)]","[(0, 4528.1767578125), (1, 4452.51806640625)]","[(0, 5122.91162109375), (1, 4486.54931640625)]","[(0, 4012.9091796875), (1, 3368.066650390625)]","[(0, 901.9312133789062), (1, 1005.5716552734375)]","[(0, 971.1986083984375), (1, 1005.6478881835938)]","[(0, 1024.7821044921875), (1, 1064.03173828125)]","[(0, 1107.281494140625), (1, 1153.27783203125)]","[(0, 950.2618408203125), (1, 909.134765625)]","[(0, 1950.345458984375), (1, 1895.3724365234375)]","[(0, 3453.85205078125), (1, 1697.214599609375)]","[(0, 2618.055908203125), (1, 2685.0966796875)]","[(0, 1770.9744873046875), (1, 1759.9774169921875)]","[(0, 1105.1597900390625), (1, 1193.52197265625)]","[(0, 1195.9403076171875), (1, 1254.253662109375)]","[(0, 1681.5345458984375), (1, 1988.56689453125)]","[(0, 1184.3067626953125), (1, 1428.8504638671875)]","[(0, 3168.205810546875), (1, 3182.581298828125)]","[(0, 4749.4814453125), (1, 5580.55078125)]","[(0, 2037.1898193359375), (1, 2674.81982421875)]","[(0, 3471.7509765625), (1, 2382.91796875)]","[(0, 2175.69189453125), (1, 1656.0096435546875)]","[(0, 2473.20361328125), (1, 2233.90283203125)]","[(0, 2006.768310546875), (1, 1556.7225341796875)]","[(0, 1590.3135986328125), (1, 1715.6461181640625)]","[(0, 1261.7349853515625), (1, 1442.589111328125)]","[(0, 2923.974365234375), (1, 2739.2529296875)]","[(0, 2490.14697265625), (1, 2368.027587890625)]","[(0, 3764.46240234375), (1, 2632.89111328125)]","[(0, 3112.78173828125), (1, 2805.563232421875)]","[(0, 1509.351806640625), (1, 1571.389404296875)]","[(0, 3799.233642578125), (1, 3567.392822265625)]"
4,"[(0, 2722.3681640625), (1, 2588.344482421875)]","[(0, 4279.1484375), (1, 4264.56005859375)]","[(0, 1808.947021484375), (1, 1551.486328125)]","[(0, 1618.2637939453125), (1, 1753.26318359375)]","[(0, 4583.20068359375), (1, 3803.903564453125)]","[(0, 2981.438720703125), (1, 2546.16552734375)]","[(0, 4682.53662109375), (1, 7273.5810546875)]","[(0, 4906.22216796875), (1, 4554.21337890625)]","[(0, 1636.032958984375), (1, 2001.2421875)]","[(0, 2832.375732421875), (1, 2936.81591796875)]","[(0, 1901.510986328125), (1, 2335.39794921875)]","[(0, 2017.733642578125), (1, 1512.4158935546875)]","[(0, 3010.332275390625), (1, 3002.696533203125)]","[(0, 3374.480712890625), (1, 4337.740234375)]","[(0, 2999.75439453125), (1, 3602.139892578125)]","[(0, 6545.52734375), (1, 6519.02587890625)]","[(0, 9819.6669921875), (1, 12041.5244140625)]","[(0, 1276.3321533203125), (1, 1325.5634765625)]","[(0, 3550.85595703125), (1, 3357.27880859375)]","[(0, 3255.951171875), (1, 3674.871337890625)]","[(0, 3703.167236328125), (1, 2389.552734375)]","[(0, 2929.52734375), (1, 2697.316162109375)]","[(0, 1798.019287109375), (1, 1861.970947265625)]","[(0, 3591.22900390625), (1, 3542.900146484375)]","[(0, 1347.9129638671875), (1, 1138.5804443359375)]","[(0, 2184.737548828125), (1, 2203.350341796875)]","[(0, 3817.11279296875), (1, 4475.9638671875)]","[(0, 1977.8194580078125), (1, 1214.2275390625)]","[(0, 3270.016357421875), (1, 1575.415283203125)]","[(0, 3235.5771484375), (1, 1503.104736328125)]","[(0, 1560.303955078125), (1, 2601.18212890625)]","[(0, 2569.724365234375), (1, 4136.04638671875)]","[(0, 2199.93212890625), (1, 4003.169677734375)]","[(0, 4197.10693359375), (1, 4154.88037109375)]","[(0, 4276.619140625), (1, 4773.83984375)]","[(0, 3830.196533203125), (1, 4218.03271484375)]","[(0, 4257.47705078125), (1, 4348.15234375)]","[(0, 3682.97216796875), (1, 3764.45849609375)]","[(0, 3009.5771484375), (1, 2609.4873046875)]","[(0, 1289.1046142578125), (1, 1325.691162109375)]","[(0, 1425.4954833984375), (1, 1732.4346923828125)]","[(0, 1853.4173583984375), (1, 2315.01611328125)]","[(0, 2111.33056640625), (1, 2098.184326171875)]","[(0, 1586.425048828125), (1, 1405.993408203125)]","[(0, 1155.4752197265625), (1, 1031.2098388671875)]","[(0, 1877.3780517578125), (1, 1729.9490966796875)]","[(0, 1764.405029296875), (1, 1737.1307373046875)]","[(0, 2155.743408203125), (1, 2229.968017578125)]","[(0, 2150.8447265625), (1, 2045.0382080078125)]","[(0, 1266.7698974609375), (1, 1248.196044921875)]","[(0, 2113.16162109375), (1, 1897.7635498046875)]","[(0, 1143.32568359375), (1, 1220.162109375)]","[(0, 2237.697021484375), (1, 2115.302001953125)]","[(0, 3116.268798828125), (1, 3342.630859375)]","[(0, 2519.59716796875), (1, 1721.2772216796875)]","[(0, 2721.720458984375), (1, 1294.463623046875)]","[(0, 2786.900634765625), (1, 2796.82666015625)]","[(0, 2628.800048828125), (1, 2622.35009765625)]","[(0, 2234.822265625), (1, 1978.9620361328125)]","[(0, 2190.325439453125), (1, 2752.8935546875)]","[(0, 2157.016357421875), (1, 2447.346435546875)]","[(0, 2498.6787109375), (1, 2362.016845703125)]","[(0, 1504.6988525390625), (1, 1500.3192138671875)]","[(0, 2765.650634765625), (1, 2351.179443359375)]","[(0, 2815.70751953125), (1, 2496.101806640625)]","[(0, 3401.586181640625), (1, 4038.84033203125)]","[(0, 2828.055908203125), (1, 3159.031005859375)]"
5,"[(0, 1696.0084228515625), (1, 1785.9302978515625)]","[(0, 3410.06689453125), (1, 3373.660400390625)]","[(0, 3672.716552734375), (1, 3346.167724609375)]","[(0, 2613.437255859375), (1, 3051.047119140625)]","[(0, 1843.957763671875), (1, 2239.376953125)]","[(0, 2953.570068359375), (1, 3470.8505859375)]","[(0, 5114.6123046875), (1, 7449.29345703125)]","[(0, 2499.535400390625), (1, 2861.67578125)]","[(0, 1961.503662109375), (1, 2255.495849609375)]","[(0, 1198.3240966796875), (1, 1408.3365478515625)]","[(0, 1891.846435546875), (1, 1790.06201171875)]","[(0, 1852.131103515625), (1, 2989.016845703125)]","[(0, 2581.78662109375), (1, 1878.9427490234375)]","[(0, 2361.08203125), (1, 1717.1839599609375)]","[(0, 2290.325439453125), (1, 2705.669921875)]","[(0, 9520.1162109375), (1, 11117.943359375)]","[(0, 2241.84521484375), (1, 2097.389892578125)]","[(0, 1752.5350341796875), (1, 2007.052490234375)]","[(0, 2733.690673828125), (1, 2847.095947265625)]","[(0, 1077.27001953125), (1, 1119.981689453125)]","[(0, 2346.060546875), (1, 1901.212646484375)]","[(0, 2273.628173828125), (1, 2103.442138671875)]","[(0, 1763.7589111328125), (1, 1301.5819091796875)]","[(0, 4172.2080078125), (1, 4626.13037109375)]","[(0, 2050.38330078125), (1, 1703.0093994140625)]","[(0, 2579.373779296875), (1, 2438.298095703125)]","[(0, 2934.079345703125), (1, 3223.885009765625)]","[(0, 4499.61865234375), (1, 2532.8271484375)]","[(0, 3277.462646484375), (1, 1630.8206787109375)]","[(0, 5507.92431640625), (1, 1872.9495849609375)]","[(0, 1439.313720703125), (1, 2086.825439453125)]","[(0, 1055.4010009765625), (1, 1799.8782958984375)]","[(0, 2224.92626953125), (1, 5640.2998046875)]","[(0, 3642.554443359375), (1, 4014.89990234375)]","[(0, 4527.94775390625), (1, 4149.6845703125)]","[(0, 2809.744384765625), (1, 2914.198974609375)]","[(0, 3714.014404296875), (1, 3454.46142578125)]","[(0, 4160.92333984375), (1, 3377.542724609375)]","[(0, 2696.35546875), (1, 2414.37109375)]","[(0, 982.9345092773438), (1, 1082.356201171875)]","[(0, 854.567138671875), (1, 874.5894775390625)]","[(0, 1212.5537109375), (1, 1326.3885498046875)]","[(0, 1673.0208740234375), (1, 1826.4525146484375)]","[(0, 1947.0457763671875), (1, 2065.9404296875)]","[(0, 1218.6068115234375), (1, 1273.922607421875)]","[(0, 2348.414306640625), (1, 2366.80712890625)]","[(0, 1670.6380615234375), (1, 1630.0650634765625)]","[(0, 1227.251708984375), (1, 1482.5146484375)]","[(0, 2439.896240234375), (1, 2004.842041015625)]","[(0, 1863.6336669921875), (1, 1731.4791259765625)]","[(0, 1702.012451171875), (1, 1624.4774169921875)]","[(0, 1323.4583740234375), (1, 1320.6851806640625)]","[(0, 1294.9259033203125), (1, 1347.70849609375)]","[(0, 956.2286376953125), (1, 1602.28515625)]","[(0, 1275.96826171875), (1, 1452.5777587890625)]","[(0, 5350.466796875), (1, 2261.05224609375)]","[(0, 1750.8779296875), (1, 1312.7872314453125)]","[(0, 3371.845947265625), (1, 2828.855712890625)]","[(0, 2931.37060546875), (1, 2935.7880859375)]","[(0, 1398.9361572265625), (1, 1520.5196533203125)]","[(0, 2125.124755859375), (1, 2044.423095703125)]","[(0, 2183.97412109375), (1, 2023.9693603515625)]","[(0, 2092.29638671875), (1, 1956.1358642578125)]","[(0, 3560.788330078125), (1, 3107.641357421875)]","[(0, 2139.575439453125), (1, 1960.0648193359375)]","[(0, 1466.1871337890625), (1, 2033.3912353515625)]","[(0, 1480.85009765625), (1, 1506.9678955078125)]"
6,"[(0, 1618.2275390625), (1, 1317.0037841796875)]","[(0, 5355.35205078125), (1, 4593.1904296875)]","[(0, 2299.376220703125), (1, 2502.317626953125)]","[(0, 3700.466552734375), (1, 3978.431396484375)]","[(0, 3171.806396484375), (1, 3584.656005859375)]","[(0, 7072.1396484375), (1, 5615.4013671875)]","[(0, 3070.7568359375), (1, 2990.987548828125)]","[(0, 4772.48779296875), (1, 4540.5439453125)]","[(0, 2519.623779296875), (1, 2415.822021484375)]","[(0, 1480.3143310546875), (1, 1494.54345703125)]","[(0, 1299.841552734375), (1, 1123.646484375)]","[(0, 2048.0966796875), (1, 1596.135986328125)]","[(0, 2824.228759765625), (1, 2269.55322265625)]","[(0, 4090.367431640625), (1, 2404.521484375)]","[(0, 1995.8511962890625), (1, 2264.3798828125)]","[(0, 10329.45703125), (1, 14360.4638671875)]","[(0, 4020.08349609375), (1, 3407.277587890625)]","[(0, 1945.1787109375), (1, 2056.773681640625)]","[(0, 2858.27880859375), (1, 2787.7099609375)]","[(0, 3483.46484375), (1, 4760.86376953125)]","[(0, 2040.327880859375), (1, 1770.6612548828125)]","[(0, 3269.27734375), (1, 3024.2333984375)]","[(0, 2303.355224609375), (1, 2430.47998046875)]","[(0, 1886.40283203125), (1, 2022.4073486328125)]","[(0, 2268.497314453125), (1, 2005.5592041015625)]","[(0, 1948.7547607421875), (1, 2056.4755859375)]","[(0, 1928.8397216796875), (1, 1786.17138671875)]","[(0, 1922.133544921875), (1, 1315.388916015625)]","[(0, 1897.8250732421875), (1, 1188.9119873046875)]","[(0, 3124.836669921875), (1, 1011.720703125)]","[(0, 1309.5804443359375), (1, 2080.20263671875)]","[(0, 2408.407958984375), (1, 4113.8203125)]","[(0, 2675.328857421875), (1, 6036.8408203125)]","[(0, 3582.762451171875), (1, 3416.82470703125)]","[(0, 3671.869140625), (1, 3569.7001953125)]","[(0, 3226.19482421875), (1, 2314.462890625)]","[(0, 3419.32177734375), (1, 3440.623046875)]","[(0, 3216.39794921875), (1, 3455.107177734375)]","[(0, 3830.287841796875), (1, 3363.207275390625)]","[(0, 1250.6595458984375), (1, 1410.7347412109375)]","[(0, 1096.3194580078125), (1, 1285.975341796875)]","[(0, 1130.44580078125), (1, 1447.242431640625)]","[(0, 1088.5418701171875), (1, 1116.817626953125)]","[(0, 1408.4036865234375), (1, 1444.6182861328125)]","[(0, 1272.930419921875), (1, 1125.0767822265625)]","[(0, 3878.795166015625), (1, 2021.3131103515625)]","[(0, 2567.638671875), (1, 2707.599365234375)]","[(0, 2487.392578125), (1, 2190.50390625)]","[(0, 1565.3287353515625), (1, 1966.143798828125)]","[(0, 2180.968505859375), (1, 3240.474853515625)]","[(0, 1745.8116455078125), (1, 1638.034423828125)]","[(0, 1518.5322265625), (1, 1662.6083984375)]","[(0, 2107.12353515625), (1, 1921.7962646484375)]","[(0, 3754.494873046875), (1, 4407.150390625)]","[(0, 1875.7603759765625), (1, 1872.558349609375)]","[(0, 3621.311279296875), (1, 2376.237060546875)]","[(0, 2154.042724609375), (1, 2770.054931640625)]","[(0, 2916.573486328125), (1, 3252.980712890625)]","[(0, 2895.009521484375), (1, 2317.21923828125)]","[(0, 1065.58544921875), (1, 1229.151611328125)]","[(0, 1713.3978271484375), (1, 1863.646240234375)]","[(0, 2134.25439453125), (1, 2127.613037109375)]","[(0, 2480.688232421875), (1, 2134.35400390625)]","[(0, 3443.459228515625), (1, 2869.72705078125)]","[(0, 2296.863525390625), (1, 2077.818359375)]","[(0, 1828.4158935546875), (1, 2184.112548828125)]","[(0, 2543.209716796875), (1, 3153.513671875)]"
