,epoch_0
adjunct_island,0.393
adv_order,0.4
anaphor_gender_agreement,0.513
anaphor_number_agreement,0.55
center_embedding_double_1,0.072
center_embedding_double_2,0.899
center_embedding_single_1,0.0
center_embedding_single_2,0.995
complex_np_island,0.379
coordinate_structure_constrain_object_extraction,0.353
determiner_noun_agreement_1,0.473
determiner_noun_agreement_2,0.502
determiner_noun_agreement_adj_1,0.499
determiner_noun_agreement_adj_2,0.502
ellipsis,0.391
green_ideas,0.428
intransitive,0.441
left_branch_island_simple_question,0.421
matrix_question_npi_licensor_present,0.48
npi_present,0.563
only_npi_licensor_present,0.023
only_npi_scope,0.047
pp_order,0.615
principle_A_c_command,0.556
principle_A_domain_1,0.509
principle_A_domain_2,0.505
principle_A_domain_3,0.507
recursion_intensifier_adj_long,0.326
recursion_intensifier_adj_medium,0.295
recursion_intensifier_adj_short,0.364
recursion_intensifier_adv_long,0.655
recursion_intensifier_adv_medium,0.726
recursion_intensifier_adv_short,0.592
recursion_poss_ditransitive_long,0.57
recursion_poss_ditransitive_medium,0.554
recursion_poss_ditransitive_short,0.593
recursion_poss_transitive_long,0.728
recursion_poss_transitive_medium,0.884
recursion_poss_transitive_short,0.882
recursion_pp_is_long,0.491
recursion_pp_is_medium,0.781
recursion_pp_is_short,0.945
recursion_pp_verb_long,0.954
recursion_pp_verb_medium,0.858
recursion_pp_verb_short,0.519
sentential_negation_npi_licensor_present,0.022
sentential_negation_npi_scope,0.31
subj_aux_agreement_question_vary_aux,0.562
subj_aux_agreement_question_vary_subj,0.483
subj_aux_vary_subj,0.523
subj_aux_vary_verb,0.477
subj_aux_vary_verb_pp,0.523
subj_aux_vary_verb_rc,0.49
subj_verb_vary_verb,0.482
svo_vos,0.595
swapped_ditransitive_1,0.775
swapped_ditransitive_2,0.738
transitive,0.603
wh_island,0.165
wh_questions_object_gap,0.766
wh_questions_object_gap_long_distance,0.741
wh_questions_subject_gap,0.74
wh_questions_subject_gap_long_distance,0.591
wh_vs_that_no_gap,0.992
wh_vs_that_no_gap_long_distance,0.992
wh_vs_that_with_gap,0.013
wh_vs_that_with_gap_long_distance,0.011
