,best
adjunct_island,0.578
adv_order,0.683
anaphor_gender_agreement,0.497
anaphor_number_agreement,0.503
center_embedding_double_1,0.394
center_embedding_double_2,0.887
center_embedding_single_1,0.393
center_embedding_single_2,0.969
complex_np_island,0.466
coordinate_structure_constrain_object_extraction,0.36
determiner_noun_agreement_1,0.465
determiner_noun_agreement_2,0.581
determiner_noun_agreement_adj_1,0.513
determiner_noun_agreement_adj_2,0.602
ellipsis,0.36
green_ideas,0.546
intransitive,0.423
left_branch_island_simple_question,0.082
matrix_question_npi_licensor_present,0.348
npi_present,0.454
only_npi_licensor_present,0.335
only_npi_scope,0.295
pp_order,0.452
principle_A_c_command,0.515
principle_A_domain_1,1.0
principle_A_domain_2,0.511
principle_A_domain_3,0.489
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.691
recursion_poss_ditransitive_medium,0.726
recursion_poss_ditransitive_short,0.701
recursion_poss_transitive_long,0.887
recursion_poss_transitive_medium,0.94
recursion_poss_transitive_short,0.921
recursion_pp_is_long,0.371
recursion_pp_is_medium,0.62
recursion_pp_is_short,0.001
recursion_pp_verb_long,0.998
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.782
sentential_negation_npi_scope,0.486
subj_aux_agreement_question_vary_aux,0.425
subj_aux_agreement_question_vary_subj,0.488
subj_aux_vary_subj,0.536
subj_aux_vary_verb,0.46
subj_aux_vary_verb_pp,0.514
subj_aux_vary_verb_rc,0.513
subj_verb_vary_verb,0.392
svo_vos,0.43
swapped_ditransitive_1,0.851
swapped_ditransitive_2,0.736
transitive,0.749
wh_island,1.0
wh_questions_object_gap,0.521
wh_questions_object_gap_long_distance,0.443
wh_questions_subject_gap,0.744
wh_questions_subject_gap_long_distance,0.705
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.001
wh_vs_that_with_gap_long_distance,0.001
