,best
adjunct_island,0.537
adv_order,0.566
anaphor_gender_agreement,0.516
anaphor_number_agreement,0.431
center_embedding_double_1,0.537
center_embedding_double_2,0.742
center_embedding_single_1,0.304
center_embedding_single_2,0.559
complex_np_island,0.466
coordinate_structure_constrain_object_extraction,0.315
determiner_noun_agreement_1,0.473
determiner_noun_agreement_2,0.502
determiner_noun_agreement_adj_1,0.496
determiner_noun_agreement_adj_2,0.495
ellipsis,0.635
green_ideas,0.406
intransitive,0.571
left_branch_island_simple_question,0.659
matrix_question_npi_licensor_present,0.542
npi_present,0.112
only_npi_licensor_present,1.0
only_npi_scope,0.775
pp_order,0.52
principle_A_c_command,0.529
principle_A_domain_1,0.743
principle_A_domain_2,0.502
principle_A_domain_3,0.489
recursion_intensifier_adj_long,0.682
recursion_intensifier_adj_medium,0.703
recursion_intensifier_adj_short,0.804
recursion_intensifier_adv_long,0.325
recursion_intensifier_adv_medium,0.267
recursion_intensifier_adv_short,0.169
recursion_poss_ditransitive_long,0.428
recursion_poss_ditransitive_medium,0.405
recursion_poss_ditransitive_short,0.339
recursion_poss_transitive_long,0.466
recursion_poss_transitive_medium,0.525
recursion_poss_transitive_short,0.568
recursion_pp_is_long,0.495
recursion_pp_is_medium,0.458
recursion_pp_is_short,0.476
recursion_pp_verb_long,0.0
recursion_pp_verb_medium,0.0
recursion_pp_verb_short,0.007
sentential_negation_npi_licensor_present,0.035
sentential_negation_npi_scope,0.621
subj_aux_agreement_question_vary_aux,0.451
subj_aux_agreement_question_vary_subj,0.474
subj_aux_vary_subj,0.52
subj_aux_vary_verb,0.48
subj_aux_vary_verb_pp,0.534
subj_aux_vary_verb_rc,0.562
subj_verb_vary_verb,0.594
svo_vos,0.321
swapped_ditransitive_1,0.417
swapped_ditransitive_2,0.413
transitive,0.447
wh_island,0.689
wh_questions_object_gap,0.375
wh_questions_object_gap_long_distance,0.388
wh_questions_subject_gap,0.217
wh_questions_subject_gap_long_distance,0.238
wh_vs_that_no_gap,0.922
wh_vs_that_no_gap_long_distance,0.701
wh_vs_that_with_gap,0.354
wh_vs_that_with_gap_long_distance,0.602
