,best
adjunct_island,0.838
adv_order,0.689
wh_vs_that_with_gap,0.253
anaphor_gender_agreement,0.501
anaphor_number_agreement,0.525
recursion_pp_verb_long,0.981
center_embedding_double_1,0.468
recursion_pp_verb_medium,0.995
center_embedding_double_2,0.944
recursion_pp_verb_short,1.0
center_embedding_single_1,0.373
subj_aux_vary_verb_rc,0.468
center_embedding_single_2,0.923
complex_np_island,0.627
recursion_poss_transitive_medium,0.99
coordinate_structure_constrain_object_extraction,0.218
subj_aux_vary_verb_pp,0.474
determiner_noun_agreement_1,0.566
subj_verb_vary_verb,0.479
determiner_noun_agreement_2,0.601
svo_vos,0.585
determiner_noun_agreement_adj_1,0.53
swapped_ditransitive_1,0.877
determiner_noun_agreement_adj_2,0.599
ellipsis,0.227
green_ideas,0.472
intransitive,0.611
recursion_poss_transitive_short,1.0
left_branch_island_simple_question,0.171
recursion_pp_is_long,0.344
matrix_question_npi_licensor_present,0.425
npi_present,0.47
swapped_ditransitive_2,0.824
only_npi_licensor_present,1.0
only_npi_scope,0.49
pp_order,0.821
principle_A_c_command,0.504
principle_A_domain_1,1.0
principle_A_domain_2,0.524
principle_A_domain_3,0.49
transitive,0.874
recursion_intensifier_adj_long,1.0
wh_island,0.961
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.113
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.3
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.148
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.807
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.797
recursion_poss_ditransitive_long,0.841
recursion_pp_is_medium,0.434
recursion_poss_ditransitive_medium,0.848
recursion_pp_is_short,0.642
recursion_poss_ditransitive_short,0.845
wh_vs_that_no_gap,0.998
recursion_poss_transitive_long,0.999
subj_aux_agreement_question_vary_subj,0.494
sentential_negation_npi_licensor_present,0.024
wh_vs_that_no_gap_long_distance,0.999
sentential_negation_npi_scope,0.398
subj_aux_vary_subj,0.637
subj_aux_agreement_question_vary_aux,0.571
subj_aux_vary_verb,0.751
