,best
adjunct_island,0.467
adv_order,0.664
anaphor_gender_agreement,0.502
anaphor_number_agreement,0.511
center_embedding_double_1,0.399
center_embedding_double_2,0.825
center_embedding_single_1,0.301
center_embedding_single_2,0.889
complex_np_island,0.458
coordinate_structure_constrain_object_extraction,0.229
determiner_noun_agreement_1,0.467
determiner_noun_agreement_2,0.583
determiner_noun_agreement_adj_1,0.522
determiner_noun_agreement_adj_2,0.601
ellipsis,0.279
green_ideas,0.497
intransitive,0.576
left_branch_island_simple_question,0.207
matrix_question_npi_licensor_present,0.158
npi_present,0.346
only_npi_licensor_present,0.937
only_npi_scope,0.283
pp_order,0.873
principle_A_c_command,0.511
principle_A_domain_1,1.0
principle_A_domain_2,0.493
principle_A_domain_3,0.51
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.68
recursion_poss_ditransitive_medium,0.649
recursion_poss_ditransitive_short,0.631
recursion_poss_transitive_long,0.952
recursion_poss_transitive_medium,0.921
recursion_poss_transitive_short,0.918
recursion_pp_is_long,0.755
recursion_pp_is_medium,0.789
recursion_pp_is_short,0.212
recursion_pp_verb_long,0.015
recursion_pp_verb_medium,0.275
recursion_pp_verb_short,0.94
sentential_negation_npi_licensor_present,0.221
sentential_negation_npi_scope,0.62
subj_aux_agreement_question_vary_aux,0.416
subj_aux_agreement_question_vary_subj,0.488
subj_aux_vary_subj,0.521
subj_aux_vary_verb,0.542
subj_aux_vary_verb_pp,0.507
subj_aux_vary_verb_rc,0.523
subj_verb_vary_verb,0.394
svo_vos,0.666
swapped_ditransitive_1,0.775
swapped_ditransitive_2,0.647
transitive,0.722
wh_island,0.955
wh_questions_object_gap,0.498
wh_questions_object_gap_long_distance,0.454
wh_questions_subject_gap,0.823
wh_questions_subject_gap_long_distance,0.691
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,0.999
wh_vs_that_with_gap,0.002
wh_vs_that_with_gap_long_distance,0.013
