,best
adjunct_island,0.847
adv_order,0.452
wh_vs_that_with_gap,0.636
anaphor_gender_agreement,0.532
anaphor_number_agreement,0.639
recursion_pp_verb_long,0.862
center_embedding_double_1,0.41
recursion_pp_verb_medium,0.936
center_embedding_double_2,0.945
recursion_pp_verb_short,0.929
center_embedding_single_1,0.492
subj_aux_vary_verb_rc,0.302
center_embedding_single_2,0.875
complex_np_island,0.417
recursion_poss_transitive_medium,0.803
coordinate_structure_constrain_object_extraction,0.46
subj_aux_vary_verb_pp,0.129
determiner_noun_agreement_1,0.83
subj_verb_vary_verb,0.683
determiner_noun_agreement_2,0.809
svo_vos,0.618
determiner_noun_agreement_adj_1,0.744
swapped_ditransitive_1,0.956
determiner_noun_agreement_adj_2,0.668
ellipsis,0.637
green_ideas,0.542
intransitive,0.74
recursion_poss_transitive_short,0.907
left_branch_island_simple_question,0.093
recursion_pp_is_long,0.016
matrix_question_npi_licensor_present,0.152
npi_present,0.458
swapped_ditransitive_2,0.899
only_npi_licensor_present,0.909
only_npi_scope,0.137
pp_order,0.356
principle_A_c_command,0.492
principle_A_domain_1,1.0
principle_A_domain_2,0.555
principle_A_domain_3,0.475
transitive,0.892
recursion_intensifier_adj_long,1.0
wh_island,0.926
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.151
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.575
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.238
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.819
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.78
recursion_poss_ditransitive_long,0.661
recursion_pp_is_medium,0.016
recursion_poss_ditransitive_medium,0.569
recursion_pp_is_short,0.15
recursion_poss_ditransitive_short,0.559
wh_vs_that_no_gap,0.762
recursion_poss_transitive_long,0.782
subj_aux_agreement_question_vary_subj,0.518
sentential_negation_npi_licensor_present,0.194
wh_vs_that_no_gap_long_distance,0.635
sentential_negation_npi_scope,0.443
subj_aux_vary_subj,0.722
subj_aux_agreement_question_vary_aux,0.539
subj_aux_vary_verb,0.868
