,best
adjunct_island,0.836
adv_order,0.458
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.472
center_embedding_double_1,0.46
center_embedding_double_2,0.863
center_embedding_single_1,0.388
center_embedding_single_2,0.779
complex_np_island,0.401
coordinate_structure_constrain_object_extraction,0.471
determiner_noun_agreement_1,0.497
determiner_noun_agreement_2,0.642
determiner_noun_agreement_adj_1,0.516
determiner_noun_agreement_adj_2,0.574
ellipsis,0.292
green_ideas,0.507
intransitive,0.63
left_branch_island_simple_question,0.053
matrix_question_npi_licensor_present,0.037
npi_present,0.471
only_npi_licensor_present,0.477
only_npi_scope,0.144
pp_order,0.375
principle_A_c_command,0.494
principle_A_domain_1,1.0
principle_A_domain_2,0.501
principle_A_domain_3,0.478
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.597
recursion_poss_ditransitive_medium,0.628
recursion_poss_ditransitive_short,0.704
recursion_poss_transitive_long,0.765
recursion_poss_transitive_medium,0.775
recursion_poss_transitive_short,0.818
recursion_pp_is_long,0.0
recursion_pp_is_medium,0.0
recursion_pp_is_short,0.0
recursion_pp_verb_long,0.998
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.931
sentential_negation_npi_licensor_present,0.385
sentential_negation_npi_scope,0.592
subj_aux_agreement_question_vary_aux,0.413
subj_aux_agreement_question_vary_subj,0.487
subj_aux_vary_subj,0.574
subj_aux_vary_verb,0.791
subj_aux_vary_verb_pp,0.434
subj_aux_vary_verb_rc,0.458
subj_verb_vary_verb,0.49
svo_vos,0.6
swapped_ditransitive_1,0.83
swapped_ditransitive_2,0.766
transitive,0.816
wh_island,0.992
wh_questions_object_gap,0.044
wh_questions_object_gap_long_distance,0.041
wh_questions_subject_gap,0.737
wh_questions_subject_gap_long_distance,0.792
wh_vs_that_no_gap,0.906
wh_vs_that_no_gap_long_distance,0.819
wh_vs_that_with_gap,0.582
wh_vs_that_with_gap_long_distance,0.6
