,best
adjunct_island,0.678
adv_order,0.65
anaphor_gender_agreement,0.501
anaphor_number_agreement,0.528
center_embedding_double_1,0.535
center_embedding_double_2,0.881
center_embedding_single_1,0.384
center_embedding_single_2,0.933
complex_np_island,0.68
coordinate_structure_constrain_object_extraction,0.37
determiner_noun_agreement_1,0.549
determiner_noun_agreement_2,0.659
determiner_noun_agreement_adj_1,0.524
determiner_noun_agreement_adj_2,0.582
ellipsis,0.321
green_ideas,0.465
intransitive,0.693
left_branch_island_simple_question,0.097
matrix_question_npi_licensor_present,0.071
npi_present,0.482
only_npi_licensor_present,0.996
only_npi_scope,0.387
pp_order,0.775
principle_A_c_command,0.493
principle_A_domain_1,1.0
principle_A_domain_2,0.51
principle_A_domain_3,0.498
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.778
recursion_poss_ditransitive_medium,0.757
recursion_poss_ditransitive_short,0.778
recursion_poss_transitive_long,0.973
recursion_poss_transitive_medium,0.972
recursion_poss_transitive_short,1.0
recursion_pp_is_long,0.072
recursion_pp_is_medium,0.151
recursion_pp_is_short,0.45
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.181
sentential_negation_npi_scope,0.3
subj_aux_agreement_question_vary_aux,0.634
subj_aux_agreement_question_vary_subj,0.493
subj_aux_vary_subj,0.617
subj_aux_vary_verb,0.715
subj_aux_vary_verb_pp,0.474
subj_aux_vary_verb_rc,0.451
subj_verb_vary_verb,0.494
svo_vos,0.614
swapped_ditransitive_1,0.77
swapped_ditransitive_2,0.742
transitive,0.851
wh_island,0.889
wh_questions_object_gap,0.087
wh_questions_object_gap_long_distance,0.082
wh_questions_subject_gap,0.701
wh_questions_subject_gap_long_distance,0.657
wh_vs_that_no_gap,0.997
wh_vs_that_no_gap_long_distance,0.988
wh_vs_that_with_gap,0.302
wh_vs_that_with_gap_long_distance,0.409
