,best
adjunct_island,0.593
adv_order,0.548
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.457
center_embedding_double_1,0.428
center_embedding_double_2,0.92
center_embedding_single_1,0.32
center_embedding_single_2,0.926
complex_np_island,0.449
coordinate_structure_constrain_object_extraction,0.294
determiner_noun_agreement_1,0.538
determiner_noun_agreement_2,0.581
determiner_noun_agreement_adj_1,0.519
determiner_noun_agreement_adj_2,0.602
ellipsis,0.188
green_ideas,0.473
intransitive,0.47
left_branch_island_simple_question,0.174
matrix_question_npi_licensor_present,0.41
npi_present,0.393
only_npi_licensor_present,0.998
only_npi_scope,0.99
pp_order,0.535
principle_A_c_command,0.48
principle_A_domain_1,0.996
principle_A_domain_2,0.475
principle_A_domain_3,0.492
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.604
recursion_poss_ditransitive_medium,0.642
recursion_poss_ditransitive_short,0.628
recursion_poss_transitive_long,0.768
recursion_poss_transitive_medium,0.848
recursion_poss_transitive_short,0.95
recursion_pp_is_long,0.071
recursion_pp_is_medium,0.089
recursion_pp_is_short,0.166
recursion_pp_verb_long,0.026
recursion_pp_verb_medium,0.289
recursion_pp_verb_short,0.858
sentential_negation_npi_licensor_present,0.969
sentential_negation_npi_scope,0.34
subj_aux_agreement_question_vary_aux,0.48
subj_aux_agreement_question_vary_subj,0.482
subj_aux_vary_subj,0.504
subj_aux_vary_verb,0.492
subj_aux_vary_verb_pp,0.509
subj_aux_vary_verb_rc,0.509
subj_verb_vary_verb,0.388
svo_vos,0.472
swapped_ditransitive_1,0.955
swapped_ditransitive_2,0.85
transitive,0.763
wh_island,0.951
wh_questions_object_gap,0.22
wh_questions_object_gap_long_distance,0.157
wh_questions_subject_gap,0.746
wh_questions_subject_gap_long_distance,0.663
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,0.999
wh_vs_that_with_gap,0.21
wh_vs_that_with_gap_long_distance,0.441
