,adjunct_island,adv_order,wh_vs_that_with_gap,anaphor_gender_agreement,anaphor_number_agreement,recursion_pp_verb_long,center_embedding_double_1,recursion_pp_verb_medium,center_embedding_double_2,recursion_pp_verb_short,center_embedding_single_1,subj_aux_vary_verb_rc,center_embedding_single_2,complex_np_island,recursion_poss_transitive_medium,coordinate_structure_constrain_object_extraction,subj_aux_vary_verb_pp,determiner_noun_agreement_1,subj_verb_vary_verb,determiner_noun_agreement_2,svo_vos,determiner_noun_agreement_adj_1,swapped_ditransitive_1,determiner_noun_agreement_adj_2,ellipsis,green_ideas,intransitive,recursion_poss_transitive_short,left_branch_island_simple_question,recursion_pp_is_long,matrix_question_npi_licensor_present,npi_present,swapped_ditransitive_2,only_npi_licensor_present,only_npi_scope,pp_order,principle_A_c_command,principle_A_domain_1,principle_A_domain_2,principle_A_domain_3,transitive,recursion_intensifier_adj_long,wh_island,recursion_intensifier_adj_medium,wh_questions_object_gap,recursion_intensifier_adj_short,wh_vs_that_with_gap_long_distance,recursion_intensifier_adv_long,wh_questions_object_gap_long_distance,recursion_intensifier_adv_medium,wh_questions_subject_gap,recursion_intensifier_adv_short,wh_questions_subject_gap_long_distance,recursion_poss_ditransitive_long,recursion_pp_is_medium,recursion_poss_ditransitive_medium,recursion_pp_is_short,recursion_poss_ditransitive_short,wh_vs_that_no_gap,recursion_poss_transitive_long,subj_aux_agreement_question_vary_subj,sentential_negation_npi_licensor_present,wh_vs_that_no_gap_long_distance,sentential_negation_npi_scope,subj_aux_vary_subj,subj_aux_agreement_question_vary_aux,subj_aux_vary_verb
0,"[(0, 4102.884765625), (1, 4425.6572265625)]","[(0, 4119.10791015625), (1, 5091.248046875)]","[(0, 7540.89990234375), (1, 6470.54052734375)]","[(0, 2496.572998046875), (1, 2092.782470703125)]","[(0, 14196.693359375), (1, 18390.08203125)]","[(0, 301.2447204589844), (1, 292.0953063964844)]","[(0, 8430.1015625), (1, 9989.8125)]","[(0, 307.826416015625), (1, 286.3365478515625)]","[(0, 6917.39794921875), (1, 7480.8251953125)]","[(0, 9691.048828125), (1, 7802.30419921875)]","[(0, 5820.3408203125), (1, 9214.09375)]","[(0, 956.3239135742188), (1, 1226.1397705078125)]","[(0, 20863.7265625), (1, 16309.046875)]","[(0, 1773.1004638671875), (1, 1478.1510009765625)]","[(0, 2096.05322265625), (1, 2323.588134765625)]","[(0, 9323.578125), (1, 9602.3271484375)]","[(0, 2579.613525390625), (1, 2490.57666015625)]","[(0, 3771.9873046875), (1, 3885.3076171875)]","[(0, 8509.6083984375), (1, 10897.3837890625)]","[(0, 4641.22119140625), (1, 4781.71337890625)]","[(0, 4802.126953125), (1, 3052.123779296875)]","[(0, 2996.531982421875), (1, 2448.383056640625)]","[(0, 5457.0615234375), (1, 3044.1328125)]","[(0, 1791.4359130859375), (1, 2076.758544921875)]","[(0, 981.391357421875), (1, 997.631103515625)]","[(0, 24093.923828125), (1, 41699.90625)]","[(0, 47527.328125), (1, 85514.5234375)]","[(0, 2915.413818359375), (1, 3096.89892578125)]","[(0, 7881.28466796875), (1, 10898.4228515625)]","[(0, 151.07493591308594), (1, 162.32005310058594)]","[(0, 3668.18017578125), (1, 3914.3505859375)]","[(0, 6282.68701171875), (1, 5591.98388671875)]","[(0, 4513.7890625), (1, 7923.10986328125)]","[(0, 2089.415283203125), (1, 1945.5238037109375)]","[(0, 3493.095458984375), (1, 2883.203125)]","[(0, 2300.467529296875), (1, 1903.8961181640625)]","[(0, 7146.29736328125), (1, 7405.37060546875)]","[(0, 3988.510009765625), (1, 2793.505126953125)]","[(0, 2956.2529296875), (1, 2586.90576171875)]","[(0, 1748.3634033203125), (1, 1625.50732421875)]","[(0, 4413.65283203125), (1, 3726.34326171875)]","[(0, 529.9210205078125), (1, 273.68572998046875)]","[(0, 2980.0341796875), (1, 2401.811279296875)]","[(0, 1305.70458984375), (1, 548.3189697265625)]","[(0, 765.982666015625), (1, 1105.2705078125)]","[(0, 40779.171875), (1, 7548.5048828125)]","[(0, 2517.791015625), (1, 2523.59033203125)]","[(0, 728.6126098632812), (1, 1545.327880859375)]","[(0, 876.4066772460938), (1, 1079.3251953125)]","[(0, 1618.487548828125), (1, 4843.82666015625)]","[(0, 1745.81005859375), (1, 1763.4300537109375)]","[(0, 2644.20703125), (1, 7425.01513671875)]","[(0, 3548.510009765625), (1, 2924.461181640625)]","[(0, 1540.951904296875), (1, 1502.231201171875)]","[(0, 256.9743957519531), (1, 301.0032043457031)]","[(0, 2658.072265625), (1, 2316.721923828125)]","[(0, 4129.45654296875), (1, 5358.40673828125)]","[(0, 3963.14013671875), (1, 3916.564697265625)]","[(0, 4006.58056640625), (1, 3617.1904296875)]","[(0, 1610.792236328125), (1, 1669.4547119140625)]","[(0, 8237.2060546875), (1, 17484.84375)]","[(0, 3753.217041015625), (1, 3643.819091796875)]","[(0, 876.283447265625), (1, 761.5311889648438)]","[(0, 3493.76513671875), (1, 3001.462890625)]","[(0, 6767.8046875), (1, 4707.32861328125)]","[(0, 1929.593994140625), (1, 2103.5556640625)]","[(0, 2267.405029296875), (1, 1809.6217041015625)]"
1,"[(0, 2972.746337890625), (1, 2985.94580078125)]","[(0, 4832.0615234375), (1, 5119.8681640625)]","[(0, 3523.921630859375), (1, 3119.911376953125)]","[(0, 5967.36865234375), (1, 7668.45849609375)]","[(0, 3336.474365234375), (1, 3707.29443359375)]","[(0, 204.58419799804688), (1, 203.8758087158203)]","[(0, 10121.1591796875), (1, 10749.6767578125)]","[(0, 668.0889282226562), (1, 619.0029907226562)]","[(0, 3129.30712890625), (1, 3703.640625)]","[(0, 1827.5240478515625), (1, 1506.69482421875)]","[(0, 8408.005859375), (1, 11351.734375)]","[(0, 6461.55615234375), (1, 6336.09423828125)]","[(0, 8795.2109375), (1, 7436.3466796875)]","[(0, 676.4019775390625), (1, 744.2628784179688)]","[(0, 1688.8292236328125), (1, 1795.8079833984375)]","[(0, 2081.4638671875), (1, 1539.9697265625)]","[(0, 3900.1611328125), (1, 4482.6787109375)]","[(0, 4788.64990234375), (1, 3146.619140625)]","[(0, 61423.515625), (1, 67887.6484375)]","[(0, 5404.55029296875), (1, 4618.2265625)]","[(0, 16678.490234375), (1, 8449.9267578125)]","[(0, 4583.6904296875), (1, 3844.930908203125)]","[(0, 4287.1669921875), (1, 1981.381103515625)]","[(0, 5247.82470703125), (1, 4326.19287109375)]","[(0, 1211.3447265625), (1, 1115.7982177734375)]","[(0, 38669.7109375), (1, 24310.515625)]","[(0, 44263.8984375), (1, 38962.96484375)]","[(0, 3150.5888671875), (1, 2705.22998046875)]","[(0, 1020.9182739257812), (1, 1929.676025390625)]","[(0, 294.8460388183594), (1, 369.5085144042969)]","[(0, 2282.24609375), (1, 3698.402587890625)]","[(0, 2605.4638671875), (1, 3432.553955078125)]","[(0, 5049.017578125), (1, 3047.86279296875)]","[(0, 1582.806396484375), (1, 1465.4224853515625)]","[(0, 865.08056640625), (1, 1090.442626953125)]","[(0, 1689.6533203125), (1, 1489.9525146484375)]","[(0, 3240.42236328125), (1, 2885.1806640625)]","[(0, 4979.89697265625), (1, 3238.957763671875)]","[(0, 8947.451171875), (1, 8470.767578125)]","[(0, 2315.864013671875), (1, 2362.8603515625)]","[(0, 6337.0615234375), (1, 2978.8154296875)]","[(0, 1195.51953125), (1, 598.478759765625)]","[(0, 1690.2431640625), (1, 1303.4415283203125)]","[(0, 1374.6318359375), (1, 726.7919311523438)]","[(0, 1658.16357421875), (1, 2146.705322265625)]","[(0, 4530.53466796875), (1, 1674.1500244140625)]","[(0, 2278.955322265625), (1, 2136.3701171875)]","[(0, 531.2872924804688), (1, 828.559326171875)]","[(0, 1606.67822265625), (1, 1788.0938720703125)]","[(0, 552.7989501953125), (1, 1397.7286376953125)]","[(0, 2406.54931640625), (1, 2076.8310546875)]","[(0, 4492.0556640625), (1, 12234.13671875)]","[(0, 1488.716064453125), (1, 1097.809814453125)]","[(0, 1486.5830078125), (1, 1540.9415283203125)]","[(0, 380.21063232421875), (1, 529.406005859375)]","[(0, 2266.3369140625), (1, 1944.2503662109375)]","[(0, 2754.287841796875), (1, 6460.2431640625)]","[(0, 3874.96875), (1, 3917.894775390625)]","[(0, 1966.1802978515625), (1, 1827.46142578125)]","[(0, 1416.3614501953125), (1, 1335.55615234375)]","[(0, 2815.94775390625), (1, 3429.190673828125)]","[(0, 1213.9444580078125), (1, 1226.4912109375)]","[(0, 1322.43017578125), (1, 1247.1068115234375)]","[(0, 2410.0048828125), (1, 2249.68505859375)]","[(0, 4291.53564453125), (1, 3001.834716796875)]","[(0, 3507.70703125), (1, 4094.59033203125)]","[(0, 15732.4208984375), (1, 11588.66015625)]"
2,"[(0, 3644.423583984375), (1, 2659.074951171875)]","[(0, 3382.60986328125), (1, 4751.96875)]","[(0, 3293.7216796875), (1, 3738.406494140625)]","[(0, 15132.1875), (1, 12042.890625)]","[(0, 16789.130859375), (1, 18515.412109375)]","[(0, 248.049072265625), (1, 240.33578491210938)]","[(0, 6530.17041015625), (1, 7963.25048828125)]","[(0, 439.4205322265625), (1, 408.5799865722656)]","[(0, 5412.0595703125), (1, 3869.29296875)]","[(0, 1816.5595703125), (1, 1498.5960693359375)]","[(0, 5155.076171875), (1, 7810.21044921875)]","[(0, 5371.7763671875), (1, 5596.208984375)]","[(0, 6137.89794921875), (1, 5269.97216796875)]","[(0, 1763.843017578125), (1, 1358.1368408203125)]","[(0, 1838.6082763671875), (1, 1778.0389404296875)]","[(0, 6076.49267578125), (1, 6084.16455078125)]","[(0, 3344.02099609375), (1, 3168.861572265625)]","[(0, 2097.11279296875), (1, 2364.031494140625)]","[(0, 78070.421875), (1, 61139.30859375)]","[(0, 7426.35400390625), (1, 6625.09033203125)]","[(0, 6789.27294921875), (1, 5455.599609375)]","[(0, 4077.996826171875), (1, 3428.37939453125)]","[(0, 4463.4189453125), (1, 2607.709716796875)]","[(0, 3977.3046875), (1, 3524.70166015625)]","[(0, 1335.38037109375), (1, 1688.330078125)]","[(0, 15386.7939453125), (1, 8653.140625)]","[(0, 13991.12890625), (1, 10483.9404296875)]","[(0, 4293.66455078125), (1, 2480.491943359375)]","[(0, 4596.11767578125), (1, 7733.88232421875)]","[(0, 258.13214111328125), (1, 297.529052734375)]","[(0, 1398.1065673828125), (1, 1457.8486328125)]","[(0, 5963.96630859375), (1, 5819.8251953125)]","[(0, 6761.75341796875), (1, 2170.27392578125)]","[(0, 2971.81787109375), (1, 2833.74560546875)]","[(0, 1394.51318359375), (1, 2342.599609375)]","[(0, 2131.6416015625), (1, 2364.61328125)]","[(0, 3169.06396484375), (1, 3005.4814453125)]","[(0, 1801.609375), (1, 1131.9620361328125)]","[(0, 4292.17431640625), (1, 4304.96044921875)]","[(0, 1505.6470947265625), (1, 2070.93505859375)]","[(0, 5358.09521484375), (1, 3847.208740234375)]","[(0, 659.1710205078125), (1, 383.50665283203125)]","[(0, 3709.052001953125), (1, 3461.93798828125)]","[(0, 3083.901611328125), (1, 1006.5253295898438)]","[(0, 1076.9002685546875), (1, 1240.44287109375)]","[(0, 3459.21875), (1, 1094.40625)]","[(0, 1928.8131103515625), (1, 1799.7255859375)]","[(0, 425.78033447265625), (1, 956.9068603515625)]","[(0, 2091.131591796875), (1, 2288.895263671875)]","[(0, 760.4473266601562), (1, 1468.811279296875)]","[(0, 2878.564208984375), (1, 2406.90966796875)]","[(0, 2267.365966796875), (1, 8150.0576171875)]","[(0, 869.5977172851562), (1, 1032.942138671875)]","[(0, 1669.8575439453125), (1, 1689.5751953125)]","[(0, 285.2257080078125), (1, 331.9595947265625)]","[(0, 1446.3297119140625), (1, 1417.91162109375)]","[(0, 4616.73388671875), (1, 4843.02294921875)]","[(0, 4579.111328125), (1, 3639.949951171875)]","[(0, 1747.15087890625), (1, 1596.4921875)]","[(0, 1409.8248291015625), (1, 1349.189453125)]","[(0, 4079.478759765625), (1, 5033.8486328125)]","[(0, 6541.34619140625), (1, 7496.615234375)]","[(0, 5026.38427734375), (1, 4496.65869140625)]","[(0, 3439.822509765625), (1, 3436.766357421875)]","[(0, 5529.6298828125), (1, 3935.713134765625)]","[(0, 2022.9368896484375), (1, 2797.765625)]","[(0, 2304.5615234375), (1, 1934.1944580078125)]"
3,"[(0, 1776.89306640625), (1, 1387.47509765625)]","[(0, 5687.83935546875), (1, 7465.98583984375)]","[(0, 2070.835205078125), (1, 1875.09228515625)]","[(0, 3363.634033203125), (1, 4221.31640625)]","[(0, 28364.171875), (1, 29543.955078125)]","[(0, 205.79086303710938), (1, 201.13121032714844)]","[(0, 15829.17578125), (1, 18062.939453125)]","[(0, 655.2044067382812), (1, 590.6660766601562)]","[(0, 4632.69091796875), (1, 3853.98779296875)]","[(0, 2630.711181640625), (1, 2064.858154296875)]","[(0, 14266.38671875), (1, 18610.37109375)]","[(0, 3375.533203125), (1, 3029.81640625)]","[(0, 8901.9755859375), (1, 6752.119140625)]","[(0, 1728.0247802734375), (1, 1774.3818359375)]","[(0, 2065.326904296875), (1, 1799.41748046875)]","[(0, 4315.615234375), (1, 4883.498046875)]","[(0, 1435.2364501953125), (1, 1874.0465087890625)]","[(0, 1861.62548828125), (1, 2258.883056640625)]","[(0, 94591.8828125), (1, 144436.625)]","[(0, 19625.39453125), (1, 16845.921875)]","[(0, 6000.57568359375), (1, 8359.0205078125)]","[(0, 7656.85400390625), (1, 4246.779296875)]","[(0, 15180.4072265625), (1, 12659.306640625)]","[(0, 7958.103515625), (1, 7888.15771484375)]","[(0, 1574.4427490234375), (1, 1566.2255859375)]","[(0, 43278.00390625), (1, 26697.1796875)]","[(0, 113487.09375), (1, 64502.2421875)]","[(0, 2520.385498046875), (1, 1848.779052734375)]","[(0, 7563.7099609375), (1, 13734.263671875)]","[(0, 343.4679260253906), (1, 377.3439025878906)]","[(0, 3788.07958984375), (1, 3960.264892578125)]","[(0, 2326.54833984375), (1, 2179.007080078125)]","[(0, 4550.3408203125), (1, 2717.144287109375)]","[(0, 2287.615234375), (1, 1979.8953857421875)]","[(0, 2318.01611328125), (1, 2138.30029296875)]","[(0, 2077.2646484375), (1, 2083.797607421875)]","[(0, 2147.7822265625), (1, 1902.8197021484375)]","[(0, 3660.2265625), (1, 2520.03955078125)]","[(0, 2813.353515625), (1, 2554.52490234375)]","[(0, 3899.692138671875), (1, 5130.7294921875)]","[(0, 6788.3212890625), (1, 6141.44580078125)]","[(0, 406.6551818847656), (1, 259.0575256347656)]","[(0, 1682.5018310546875), (1, 1243.826171875)]","[(0, 1138.93505859375), (1, 625.927001953125)]","[(0, 1286.9248046875), (1, 2090.034912109375)]","[(0, 7620.75), (1, 2176.969482421875)]","[(0, 3796.553466796875), (1, 3606.835693359375)]","[(0, 580.6397094726562), (1, 1159.339111328125)]","[(0, 1066.605712890625), (1, 1310.8743896484375)]","[(0, 920.3137817382812), (1, 2048.3857421875)]","[(0, 2380.6181640625), (1, 2118.398681640625)]","[(0, 8304.0283203125), (1, 35910.59375)]","[(0, 1997.463134765625), (1, 1788.1390380859375)]","[(0, 1522.2884521484375), (1, 1536.002197265625)]","[(0, 282.0494079589844), (1, 375.48565673828125)]","[(0, 3163.92431640625), (1, 3291.881591796875)]","[(0, 1364.9407958984375), (1, 2372.731689453125)]","[(0, 5031.29052734375), (1, 3969.771484375)]","[(0, 5414.71337890625), (1, 4835.8232421875)]","[(0, 1623.354736328125), (1, 1580.8973388671875)]","[(0, 2468.426025390625), (1, 3024.0458984375)]","[(0, 5295.37353515625), (1, 4880.271484375)]","[(0, 3349.970458984375), (1, 3113.8505859375)]","[(0, 3964.466796875), (1, 3775.262451171875)]","[(0, 1486.4822998046875), (1, 906.1553955078125)]","[(0, 5760.76123046875), (1, 6120.3271484375)]","[(0, 5200.142578125), (1, 4882.5478515625)]"
4,"[(0, 2415.71728515625), (1, 2193.77685546875)]","[(0, 13550.9853515625), (1, 24196.9921875)]","[(0, 9633.2822265625), (1, 8968.62890625)]","[(0, 3465.3701171875), (1, 2952.1337890625)]","[(0, 1434.142578125), (1, 1601.530517578125)]","[(0, 270.0773010253906), (1, 262.5941162109375)]","[(0, 7598.13037109375), (1, 5336.89013671875)]","[(0, 973.625), (1, 890.4560546875)]","[(0, 1984.7359619140625), (1, 1812.9727783203125)]","[(0, 1532.241455078125), (1, 1305.1312255859375)]","[(0, 11649.75), (1, 13814.9072265625)]","[(0, 3691.573486328125), (1, 4555.46435546875)]","[(0, 12400.7744140625), (1, 13870.763671875)]","[(0, 2894.841064453125), (1, 3690.908203125)]","[(0, 1999.94482421875), (1, 2138.785888671875)]","[(0, 10225.4453125), (1, 9634.4677734375)]","[(0, 2854.51953125), (1, 2656.5986328125)]","[(0, 3673.0771484375), (1, 4516.12255859375)]","[(0, 56729.9921875), (1, 57417.9765625)]","[(0, 2461.564208984375), (1, 2143.8154296875)]","[(0, 5118.74072265625), (1, 3186.115966796875)]","[(0, 3249.049560546875), (1, 3546.875732421875)]","[(0, 8809.3974609375), (1, 3794.83056640625)]","[(0, 4483.568359375), (1, 4736.875)]","[(0, 2240.517822265625), (1, 2393.006591796875)]","[(0, 26699.31640625), (1, 33318.05078125)]","[(0, 157789.328125), (1, 113891.7265625)]","[(0, 2815.7451171875), (1, 3203.446044921875)]","[(0, 2749.78662109375), (1, 2851.504638671875)]","[(0, 220.52169799804688), (1, 249.3092041015625)]","[(0, 3492.292724609375), (1, 4017.726318359375)]","[(0, 8845.9169921875), (1, 13944.2939453125)]","[(0, 8350.56640625), (1, 5053.96044921875)]","[(0, 6471.99658203125), (1, 5725.38525390625)]","[(0, 2715.98876953125), (1, 3032.484619140625)]","[(0, 2442.479248046875), (1, 2082.648193359375)]","[(0, 2821.056396484375), (1, 2900.506103515625)]","[(0, 854.45263671875), (1, 595.8064575195312)]","[(0, 2276.707275390625), (1, 2255.292724609375)]","[(0, 4109.09912109375), (1, 16378.0947265625)]","[(0, 8772.650390625), (1, 6691.1708984375)]","[(0, 1194.4385986328125), (1, 671.8723754882812)]","[(0, 3844.831787109375), (1, 3387.46533203125)]","[(0, 1045.28515625), (1, 483.2095947265625)]","[(0, 1500.8565673828125), (1, 1752.59619140625)]","[(0, 10371.0322265625), (1, 3314.8916015625)]","[(0, 3169.417724609375), (1, 3337.967041015625)]","[(0, 834.5259399414062), (1, 1505.8121337890625)]","[(0, 1363.7152099609375), (1, 1842.5760498046875)]","[(0, 686.0836791992188), (1, 1572.354736328125)]","[(0, 2887.937744140625), (1, 2364.7451171875)]","[(0, 2876.74609375), (1, 8502.46875)]","[(0, 669.7430419921875), (1, 619.6010131835938)]","[(0, 2060.711181640625), (1, 1899.7554931640625)]","[(0, 282.61712646484375), (1, 353.59954833984375)]","[(0, 1760.1839599609375), (1, 1828.0103759765625)]","[(0, 4760.046875), (1, 7229.3974609375)]","[(0, 3262.55908203125), (1, 3497.685791015625)]","[(0, 4641.3583984375), (1, 4579.888671875)]","[(0, 1587.37548828125), (1, 1395.5396728515625)]","[(0, 11640.3212890625), (1, 7263.93896484375)]","[(0, 3434.685791015625), (1, 3933.0224609375)]","[(0, 2011.842529296875), (1, 2070.6962890625)]","[(0, 1843.932373046875), (1, 1743.22216796875)]","[(0, 6114.42333984375), (1, 10836.6943359375)]","[(0, 7775.392578125), (1, 6243.35595703125)]","[(0, 3986.505615234375), (1, 4284.44482421875)]"
5,"[(0, 2114.73828125), (1, 1747.3165283203125)]","[(0, 5790.78125), (1, 5361.345703125)]","[(0, 2307.60986328125), (1, 2385.939208984375)]","[(0, 7827.2265625), (1, 6186.3095703125)]","[(0, 7121.30810546875), (1, 9369.419921875)]","[(0, 225.9575653076172), (1, 222.2112274169922)]","[(0, 3278.7568359375), (1, 3218.6318359375)]","[(0, 584.6749877929688), (1, 532.8410034179688)]","[(0, 5794.81982421875), (1, 5389.9580078125)]","[(0, 1200.12255859375), (1, 1085.77978515625)]","[(0, 16622.9765625), (1, 21503.56640625)]","[(0, 1693.6590576171875), (1, 1637.472900390625)]","[(0, 12949.30859375), (1, 14542.548828125)]","[(0, 1725.1400146484375), (1, 1377.0244140625)]","[(0, 2016.776611328125), (1, 1447.574462890625)]","[(0, 1718.248779296875), (1, 1986.347412109375)]","[(0, 820.124755859375), (1, 800.7346801757812)]","[(0, 5804.69775390625), (1, 5702.25341796875)]","[(0, 7257.49169921875), (1, 8198.060546875)]","[(0, 10424.609375), (1, 8599.068359375)]","[(0, 2239.556640625), (1, 1450.002685546875)]","[(0, 6886.705078125), (1, 4547.5078125)]","[(0, 13344.5615234375), (1, 11488.69921875)]","[(0, 7862.92138671875), (1, 6987.59326171875)]","[(0, 1819.2884521484375), (1, 1898.453125)]","[(0, 28484.93359375), (1, 17280.92578125)]","[(0, 16740.52734375), (1, 9001.46484375)]","[(0, 2247.1083984375), (1, 2019.899658203125)]","[(0, 3533.165771484375), (1, 4110.72607421875)]","[(0, 203.23831176757812), (1, 237.26841735839844)]","[(0, 5248.48583984375), (1, 6095.95458984375)]","[(0, 1727.8228759765625), (1, 1614.5233154296875)]","[(0, 4013.49072265625), (1, 2816.252685546875)]","[(0, 2599.490966796875), (1, 2514.456787109375)]","[(0, 1657.302001953125), (1, 2095.05712890625)]","[(0, 2011.300537109375), (1, 1951.9827880859375)]","[(0, 12282.13671875), (1, 15441.19921875)]","[(0, 4602.947265625), (1, 2970.065673828125)]","[(0, 3872.707763671875), (1, 4361.23828125)]","[(0, 11198.5732421875), (1, 7967.29150390625)]","[(0, 8745.427734375), (1, 7676.44921875)]","[(0, 737.643310546875), (1, 359.68670654296875)]","[(0, 1875.61279296875), (1, 1157.4422607421875)]","[(0, 1121.0882568359375), (1, 465.9988708496094)]","[(0, 1107.7344970703125), (1, 1528.4942626953125)]","[(0, 21092.859375), (1, 5560.9521484375)]","[(0, 1908.389892578125), (1, 1835.7882080078125)]","[(0, 531.4760131835938), (1, 939.0262451171875)]","[(0, 2016.4207763671875), (1, 1974.19775390625)]","[(0, 765.89501953125), (1, 1483.0521240234375)]","[(0, 2420.71826171875), (1, 1978.579833984375)]","[(0, 4355.3984375), (1, 13212.759765625)]","[(0, 1396.282470703125), (1, 1204.7818603515625)]","[(0, 1286.0992431640625), (1, 1325.8516845703125)]","[(0, 198.2803497314453), (1, 238.75721740722656)]","[(0, 2464.280517578125), (1, 2444.295654296875)]","[(0, 997.4917602539062), (1, 2252.56591796875)]","[(0, 2495.62548828125), (1, 2861.506591796875)]","[(0, 2795.4892578125), (1, 2623.903564453125)]","[(0, 1771.9349365234375), (1, 1941.653564453125)]","[(0, 5577.9970703125), (1, 4278.46728515625)]","[(0, 4575.2353515625), (1, 5778.8203125)]","[(0, 2129.688720703125), (1, 1922.3104248046875)]","[(0, 1439.00341796875), (1, 1428.222412109375)]","[(0, 9558.2802734375), (1, 7235.529296875)]","[(0, 2130.79296875), (1, 2929.140625)]","[(0, 2649.723876953125), (1, 2464.541259765625)]"
6,"[(0, 2782.033203125), (1, 1662.6964111328125)]","[(0, 9705.8193359375), (1, 6707.67431640625)]","[(0, 3162.648193359375), (1, 4004.10888671875)]","[(0, 3737.062744140625), (1, 4453.72021484375)]","[(0, 4717.2109375), (1, 6136.72119140625)]","[(0, 260.62054443359375), (1, 255.39683532714844)]","[(0, 7657.6142578125), (1, 9507.6767578125)]","[(0, 285.6316833496094), (1, 266.631591796875)]","[(0, 13706.509765625), (1, 10908.9052734375)]","[(0, 666.4785766601562), (1, 581.56494140625)]","[(0, 8334.2958984375), (1, 7008.904296875)]","[(0, 2407.62255859375), (1, 2415.834716796875)]","[(0, 13418.4248046875), (1, 11576.0791015625)]","[(0, 3247.212646484375), (1, 3350.6513671875)]","[(0, 1342.0306396484375), (1, 1259.75830078125)]","[(0, 1991.3272705078125), (1, 2164.629638671875)]","[(0, 3945.487548828125), (1, 3729.518310546875)]","[(0, 2439.464599609375), (1, 1928.249267578125)]","[(0, 17333.724609375), (1, 27959.8125)]","[(0, 5771.9853515625), (1, 4370.38134765625)]","[(0, 4396.7685546875), (1, 3867.924072265625)]","[(0, 3865.72265625), (1, 3554.91162109375)]","[(0, 3984.924560546875), (1, 8851.521484375)]","[(0, 4898.29345703125), (1, 5091.93798828125)]","[(0, 1257.9281005859375), (1, 1298.3963623046875)]","[(0, 20272.87109375), (1, 49543.1953125)]","[(0, 15138.134765625), (1, 9324.09375)]","[(0, 2386.9951171875), (1, 1929.015380859375)]","[(0, 2773.5703125), (1, 4591.9814453125)]","[(0, 231.03909301757812), (1, 251.900390625)]","[(0, 6974.28515625), (1, 9307.4619140625)]","[(0, 8931.431640625), (1, 10553.69921875)]","[(0, 6835.26318359375), (1, 5918.35546875)]","[(0, 4942.783203125), (1, 4413.98974609375)]","[(0, 2154.80322265625), (1, 2683.267822265625)]","[(0, 2657.967041015625), (1, 3101.94140625)]","[(0, 2662.998291015625), (1, 2549.495361328125)]","[(0, 3173.751953125), (1, 2342.57958984375)]","[(0, 1577.098876953125), (1, 1649.50927734375)]","[(0, 1728.7706298828125), (1, 1730.0018310546875)]","[(0, 7196.20849609375), (1, 7350.29296875)]","[(0, 797.08984375), (1, 446.73748779296875)]","[(0, 4327.52587890625), (1, 4227.0771484375)]","[(0, 1186.192138671875), (1, 696.900634765625)]","[(0, 861.0811767578125), (1, 1206.4615478515625)]","[(0, 15680.0849609375), (1, 3409.74462890625)]","[(0, 3674.324462890625), (1, 3927.767578125)]","[(0, 743.1695556640625), (1, 1311.7703857421875)]","[(0, 1440.667724609375), (1, 2080.9853515625)]","[(0, 662.3665771484375), (1, 1725.9874267578125)]","[(0, 2254.083251953125), (1, 2111.238037109375)]","[(0, 8049.73779296875), (1, 19478.017578125)]","[(0, 1801.1876220703125), (1, 1476.1007080078125)]","[(0, 1539.1181640625), (1, 1295.392822265625)]","[(0, 218.00430297851562), (1, 263.3329162597656)]","[(0, 1632.5074462890625), (1, 1644.9498291015625)]","[(0, 2991.572265625), (1, 7193.84814453125)]","[(0, 5074.001953125), (1, 3905.464599609375)]","[(0, 3074.00048828125), (1, 2822.680419921875)]","[(0, 1440.5413818359375), (1, 1491.9652099609375)]","[(0, 2592.96337890625), (1, 3677.798828125)]","[(0, 5650.31884765625), (1, 6394.27783203125)]","[(0, 1425.0794677734375), (1, 1366.5650634765625)]","[(0, 2197.119384765625), (1, 1853.5455322265625)]","[(0, 9452.474609375), (1, 14834.0439453125)]","[(0, 7733.35888671875), (1, 5645.80517578125)]","[(0, 7587.796875), (1, 6603.5234375)]"
