,best
adjunct_island,0.772
adv_order,0.778
wh_vs_that_with_gap,0.381
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.489
recursion_pp_verb_long,0.993
center_embedding_double_1,0.435
recursion_pp_verb_medium,0.968
center_embedding_double_2,0.987
recursion_pp_verb_short,0.978
center_embedding_single_1,0.279
subj_aux_vary_verb_rc,0.46
center_embedding_single_2,0.947
complex_np_island,0.558
recursion_poss_transitive_medium,0.794
coordinate_structure_constrain_object_extraction,0.363
subj_aux_vary_verb_pp,0.448
determiner_noun_agreement_1,0.541
subj_verb_vary_verb,0.467
determiner_noun_agreement_2,0.636
svo_vos,0.732
determiner_noun_agreement_adj_1,0.525
swapped_ditransitive_1,0.665
determiner_noun_agreement_adj_2,0.604
ellipsis,0.481
green_ideas,0.369
intransitive,0.687
recursion_poss_transitive_short,0.922
left_branch_island_simple_question,0.503
recursion_pp_is_long,0.427
matrix_question_npi_licensor_present,0.081
npi_present,0.321
swapped_ditransitive_2,0.625
only_npi_licensor_present,1.0
only_npi_scope,0.842
pp_order,0.8
principle_A_c_command,0.502
principle_A_domain_1,1.0
principle_A_domain_2,0.511
principle_A_domain_3,0.481
transitive,0.839
recursion_intensifier_adj_long,1.0
wh_island,0.825
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.23
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.321
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.25
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.8
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.698
recursion_poss_ditransitive_long,0.876
recursion_pp_is_medium,0.139
recursion_poss_ditransitive_medium,0.801
recursion_pp_is_short,0.293
recursion_poss_ditransitive_short,0.644
wh_vs_that_no_gap,0.997
recursion_poss_transitive_long,0.849
subj_aux_agreement_question_vary_subj,0.494
sentential_negation_npi_licensor_present,0.472
wh_vs_that_no_gap_long_distance,0.992
sentential_negation_npi_scope,0.635
subj_aux_vary_subj,0.57
subj_aux_agreement_question_vary_aux,0.504
subj_aux_vary_verb,0.797
