,best
adjunct_island,0.682
adv_order,0.69
anaphor_gender_agreement,0.504
anaphor_number_agreement,0.502
center_embedding_double_1,0.513
center_embedding_double_2,0.965
center_embedding_single_1,0.327
center_embedding_single_2,0.981
complex_np_island,0.617
coordinate_structure_constrain_object_extraction,0.68
determiner_noun_agreement_1,0.492
determiner_noun_agreement_2,0.606
determiner_noun_agreement_adj_1,0.523
determiner_noun_agreement_adj_2,0.594
ellipsis,0.447
green_ideas,0.401
intransitive,0.647
left_branch_island_simple_question,0.537
matrix_question_npi_licensor_present,0.013
npi_present,0.382
only_npi_licensor_present,0.999
only_npi_scope,0.257
pp_order,0.83
principle_A_c_command,0.496
principle_A_domain_1,1.0
principle_A_domain_2,0.513
principle_A_domain_3,0.477
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.602
recursion_poss_ditransitive_medium,0.591
recursion_poss_ditransitive_short,0.611
recursion_poss_transitive_long,0.897
recursion_poss_transitive_medium,0.894
recursion_poss_transitive_short,0.968
recursion_pp_is_long,0.404
recursion_pp_is_medium,0.132
recursion_pp_is_short,0.375
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.995
sentential_negation_npi_licensor_present,0.511
sentential_negation_npi_scope,0.644
subj_aux_agreement_question_vary_aux,0.525
subj_aux_agreement_question_vary_subj,0.491
subj_aux_vary_subj,0.58
subj_aux_vary_verb,0.733
subj_aux_vary_verb_pp,0.456
subj_aux_vary_verb_rc,0.479
subj_verb_vary_verb,0.432
svo_vos,0.646
swapped_ditransitive_1,0.705
swapped_ditransitive_2,0.667
transitive,0.808
wh_island,0.905
wh_questions_object_gap,0.186
wh_questions_object_gap_long_distance,0.198
wh_questions_subject_gap,0.713
wh_questions_subject_gap_long_distance,0.619
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,0.998
wh_vs_that_with_gap,0.381
wh_vs_that_with_gap_long_distance,0.389
