,epoch_6
adjunct_island,0.702
adv_order,0.845
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.501
center_embedding_double_1,0.321
center_embedding_double_2,0.94
center_embedding_single_1,0.091
center_embedding_single_2,0.989
complex_np_island,0.493
coordinate_structure_constrain_object_extraction,0.599
determiner_noun_agreement_1,0.497
determiner_noun_agreement_2,0.598
determiner_noun_agreement_adj_1,0.522
determiner_noun_agreement_adj_2,0.603
ellipsis,0.721
green_ideas,0.436
intransitive,0.625
left_branch_island_simple_question,0.397
matrix_question_npi_licensor_present,0.561
npi_present,0.378
only_npi_licensor_present,0.92
only_npi_scope,0.942
pp_order,0.767
principle_A_c_command,0.503
principle_A_domain_1,1.0
principle_A_domain_2,0.513
principle_A_domain_3,0.489
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.476
recursion_poss_ditransitive_medium,0.497
recursion_poss_ditransitive_short,0.609
recursion_poss_transitive_long,0.931
recursion_poss_transitive_medium,0.92
recursion_poss_transitive_short,0.973
recursion_pp_is_long,0.31
recursion_pp_is_medium,0.481
recursion_pp_is_short,0.645
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.968
sentential_negation_npi_licensor_present,0.388
sentential_negation_npi_scope,0.31
subj_aux_agreement_question_vary_aux,0.782
subj_aux_agreement_question_vary_subj,0.491
subj_aux_vary_subj,0.551
subj_aux_vary_verb,0.686
subj_aux_vary_verb_pp,0.466
subj_aux_vary_verb_rc,0.479
subj_verb_vary_verb,0.435
svo_vos,0.471
swapped_ditransitive_1,0.861
swapped_ditransitive_2,0.902
transitive,0.801
wh_island,0.949
wh_questions_object_gap,0.171
wh_questions_object_gap_long_distance,0.15
wh_questions_subject_gap,0.835
wh_questions_subject_gap_long_distance,0.875
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.338
wh_vs_that_with_gap_long_distance,0.364
