,best
adjunct_island,0.775
adv_order,0.546
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.506
center_embedding_double_1,0.449
center_embedding_double_2,0.897
center_embedding_single_1,0.407
center_embedding_single_2,0.838
complex_np_island,0.517
coordinate_structure_constrain_object_extraction,0.342
determiner_noun_agreement_1,0.466
determiner_noun_agreement_2,0.576
determiner_noun_agreement_adj_1,0.51
determiner_noun_agreement_adj_2,0.601
ellipsis,0.246
green_ideas,0.501
intransitive,0.637
left_branch_island_simple_question,0.008
matrix_question_npi_licensor_present,0.501
npi_present,0.475
only_npi_licensor_present,1.0
only_npi_scope,0.487
pp_order,0.945
principle_A_c_command,0.492
principle_A_domain_1,1.0
principle_A_domain_2,0.527
principle_A_domain_3,0.492
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.593
recursion_poss_ditransitive_medium,0.612
recursion_poss_ditransitive_short,0.65
recursion_poss_transitive_long,0.971
recursion_poss_transitive_medium,0.825
recursion_poss_transitive_short,0.634
recursion_pp_is_long,0.393
recursion_pp_is_medium,0.036
recursion_pp_is_short,0.003
recursion_pp_verb_long,0.159
recursion_pp_verb_medium,0.637
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.277
sentential_negation_npi_scope,0.414
subj_aux_agreement_question_vary_aux,0.612
subj_aux_agreement_question_vary_subj,0.487
subj_aux_vary_subj,0.532
subj_aux_vary_verb,0.673
subj_aux_vary_verb_pp,0.464
subj_aux_vary_verb_rc,0.506
subj_verb_vary_verb,0.448
svo_vos,0.392
swapped_ditransitive_1,0.785
swapped_ditransitive_2,0.746
transitive,0.806
wh_island,0.905
wh_questions_object_gap,0.053
wh_questions_object_gap_long_distance,0.107
wh_questions_subject_gap,0.878
wh_questions_subject_gap_long_distance,0.939
wh_vs_that_no_gap,0.971
wh_vs_that_no_gap_long_distance,0.953
wh_vs_that_with_gap,0.411
wh_vs_that_with_gap_long_distance,0.285
