,best
adjunct_island,0.684
adv_order,0.657
anaphor_gender_agreement,0.502
anaphor_number_agreement,0.524
center_embedding_double_1,0.535
center_embedding_double_2,0.882
center_embedding_single_1,0.387
center_embedding_single_2,0.934
complex_np_island,0.674
coordinate_structure_constrain_object_extraction,0.364
determiner_noun_agreement_1,0.556
determiner_noun_agreement_2,0.656
determiner_noun_agreement_adj_1,0.524
determiner_noun_agreement_adj_2,0.579
ellipsis,0.329
green_ideas,0.464
intransitive,0.693
left_branch_island_simple_question,0.093
matrix_question_npi_licensor_present,0.072
npi_present,0.482
only_npi_licensor_present,0.997
only_npi_scope,0.388
pp_order,0.766
principle_A_c_command,0.493
principle_A_domain_1,1.0
principle_A_domain_2,0.511
principle_A_domain_3,0.498
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.78
recursion_poss_ditransitive_medium,0.761
recursion_poss_ditransitive_short,0.776
recursion_poss_transitive_long,0.972
recursion_poss_transitive_medium,0.974
recursion_poss_transitive_short,1.0
recursion_pp_is_long,0.066
recursion_pp_is_medium,0.14
recursion_pp_is_short,0.449
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.176
sentential_negation_npi_scope,0.301
subj_aux_agreement_question_vary_aux,0.636
subj_aux_agreement_question_vary_subj,0.496
subj_aux_vary_subj,0.62
subj_aux_vary_verb,0.724
subj_aux_vary_verb_pp,0.47
subj_aux_vary_verb_rc,0.453
subj_verb_vary_verb,0.493
svo_vos,0.617
swapped_ditransitive_1,0.769
swapped_ditransitive_2,0.738
transitive,0.852
wh_island,0.9
wh_questions_object_gap,0.094
wh_questions_object_gap_long_distance,0.087
wh_questions_subject_gap,0.71
wh_questions_subject_gap_long_distance,0.667
wh_vs_that_no_gap,0.998
wh_vs_that_no_gap_long_distance,0.992
wh_vs_that_with_gap,0.29
wh_vs_that_with_gap_long_distance,0.397
