,best
adjunct_island,0.716
adv_order,0.488
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.447
center_embedding_double_1,0.448
center_embedding_double_2,0.868
center_embedding_single_1,0.387
center_embedding_single_2,0.82
complex_np_island,0.359
coordinate_structure_constrain_object_extraction,0.432
determiner_noun_agreement_1,0.467
determiner_noun_agreement_2,0.574
determiner_noun_agreement_adj_1,0.515
determiner_noun_agreement_adj_2,0.581
ellipsis,0.155
green_ideas,0.487
intransitive,0.585
left_branch_island_simple_question,0.04
matrix_question_npi_licensor_present,0.025
npi_present,0.462
only_npi_licensor_present,0.257
only_npi_scope,0.155
pp_order,0.569
principle_A_c_command,0.487
principle_A_domain_1,1.0
principle_A_domain_2,0.512
principle_A_domain_3,0.477
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.67
recursion_poss_ditransitive_medium,0.669
recursion_poss_ditransitive_short,0.706
recursion_poss_transitive_long,0.692
recursion_poss_transitive_medium,0.718
recursion_poss_transitive_short,0.772
recursion_pp_is_long,0.003
recursion_pp_is_medium,0.0
recursion_pp_is_short,0.0
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.432
sentential_negation_npi_scope,0.552
subj_aux_agreement_question_vary_aux,0.438
subj_aux_agreement_question_vary_subj,0.497
subj_aux_vary_subj,0.546
subj_aux_vary_verb,0.743
subj_aux_vary_verb_pp,0.453
subj_aux_vary_verb_rc,0.475
subj_verb_vary_verb,0.456
svo_vos,0.662
swapped_ditransitive_1,0.826
swapped_ditransitive_2,0.767
transitive,0.832
wh_island,0.962
wh_questions_object_gap,0.052
wh_questions_object_gap_long_distance,0.05
wh_questions_subject_gap,0.809
wh_questions_subject_gap_long_distance,0.893
wh_vs_that_no_gap,0.956
wh_vs_that_no_gap_long_distance,0.903
wh_vs_that_with_gap,0.411
wh_vs_that_with_gap_long_distance,0.369
