,best
adjunct_island,0.622
adv_order,0.766
wh_vs_that_with_gap,0.203
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.502
recursion_pp_verb_long,1.0
center_embedding_double_1,0.561
recursion_pp_verb_medium,1.0
center_embedding_double_2,0.932
recursion_pp_verb_short,1.0
center_embedding_single_1,0.382
subj_aux_vary_verb_rc,0.492
center_embedding_single_2,0.869
complex_np_island,0.565
recursion_poss_transitive_medium,0.884
coordinate_structure_constrain_object_extraction,0.597
subj_aux_vary_verb_pp,0.478
determiner_noun_agreement_1,0.484
subj_verb_vary_verb,0.405
determiner_noun_agreement_2,0.579
svo_vos,0.755
determiner_noun_agreement_adj_1,0.523
swapped_ditransitive_1,0.812
determiner_noun_agreement_adj_2,0.601
ellipsis,0.308
green_ideas,0.451
intransitive,0.543
recursion_poss_transitive_short,0.919
left_branch_island_simple_question,0.45
recursion_pp_is_long,0.785
matrix_question_npi_licensor_present,0.167
npi_present,0.477
swapped_ditransitive_2,0.838
only_npi_licensor_present,0.998
only_npi_scope,0.521
pp_order,0.917
principle_A_c_command,0.501
principle_A_domain_1,1.0
principle_A_domain_2,0.513
principle_A_domain_3,0.465
transitive,0.835
recursion_intensifier_adj_long,1.0
wh_island,0.924
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.288
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.192
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.223
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.842
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.698
recursion_poss_ditransitive_long,0.788
recursion_pp_is_medium,0.263
recursion_poss_ditransitive_medium,0.775
recursion_pp_is_short,0.392
recursion_poss_ditransitive_short,0.72
wh_vs_that_no_gap,1.0
recursion_poss_transitive_long,0.878
subj_aux_agreement_question_vary_subj,0.493
sentential_negation_npi_licensor_present,0.538
wh_vs_that_no_gap_long_distance,1.0
sentential_negation_npi_scope,0.672
subj_aux_vary_subj,0.575
subj_aux_agreement_question_vary_aux,0.462
subj_aux_vary_verb,0.72
