,best
adjunct_island,0.56
adv_order,0.745
anaphor_gender_agreement,0.501
anaphor_number_agreement,0.483
center_embedding_double_1,0.518
center_embedding_double_2,0.959
center_embedding_single_1,0.332
center_embedding_single_2,0.97
complex_np_island,0.586
coordinate_structure_constrain_object_extraction,0.77
determiner_noun_agreement_1,0.468
determiner_noun_agreement_2,0.576
determiner_noun_agreement_adj_1,0.517
determiner_noun_agreement_adj_2,0.589
ellipsis,0.397
green_ideas,0.443
intransitive,0.595
left_branch_island_simple_question,0.569
matrix_question_npi_licensor_present,0.013
npi_present,0.438
only_npi_licensor_present,0.993
only_npi_scope,0.156
pp_order,0.883
principle_A_c_command,0.495
principle_A_domain_1,1.0
principle_A_domain_2,0.509
principle_A_domain_3,0.457
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.747
recursion_poss_ditransitive_medium,0.779
recursion_poss_ditransitive_short,0.766
recursion_poss_transitive_long,0.966
recursion_poss_transitive_medium,0.913
recursion_poss_transitive_short,0.943
recursion_pp_is_long,0.644
recursion_pp_is_medium,0.28
recursion_pp_is_short,0.454
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.515
sentential_negation_npi_scope,0.65
subj_aux_agreement_question_vary_aux,0.518
subj_aux_agreement_question_vary_subj,0.497
subj_aux_vary_subj,0.567
subj_aux_vary_verb,0.71
subj_aux_vary_verb_pp,0.49
subj_aux_vary_verb_rc,0.494
subj_verb_vary_verb,0.423
svo_vos,0.696
swapped_ditransitive_1,0.753
swapped_ditransitive_2,0.769
transitive,0.817
wh_island,0.937
wh_questions_object_gap,0.216
wh_questions_object_gap_long_distance,0.22
wh_questions_subject_gap,0.774
wh_questions_subject_gap_long_distance,0.624
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,0.998
wh_vs_that_with_gap,0.29
wh_vs_that_with_gap_long_distance,0.316
