,best
adjunct_island,0.536
adv_order,0.72
anaphor_gender_agreement,0.498
anaphor_number_agreement,0.486
center_embedding_double_1,0.489
center_embedding_double_2,0.958
center_embedding_single_1,0.33
center_embedding_single_2,0.973
complex_np_island,0.61
coordinate_structure_constrain_object_extraction,0.711
determiner_noun_agreement_1,0.494
determiner_noun_agreement_2,0.593
determiner_noun_agreement_adj_1,0.519
determiner_noun_agreement_adj_2,0.589
ellipsis,0.397
green_ideas,0.424
intransitive,0.626
left_branch_island_simple_question,0.56
matrix_question_npi_licensor_present,0.01
npi_present,0.397
only_npi_licensor_present,0.99
only_npi_scope,0.156
pp_order,0.888
principle_A_c_command,0.499
principle_A_domain_1,1.0
principle_A_domain_2,0.519
principle_A_domain_3,0.464
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.655
recursion_poss_ditransitive_medium,0.698
recursion_poss_ditransitive_short,0.713
recursion_poss_transitive_long,0.968
recursion_poss_transitive_medium,0.965
recursion_poss_transitive_short,0.991
recursion_pp_is_long,0.478
recursion_pp_is_medium,0.09
recursion_pp_is_short,0.363
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.902
sentential_negation_npi_licensor_present,0.517
sentential_negation_npi_scope,0.569
subj_aux_agreement_question_vary_aux,0.51
subj_aux_agreement_question_vary_subj,0.498
subj_aux_vary_subj,0.583
subj_aux_vary_verb,0.748
subj_aux_vary_verb_pp,0.508
subj_aux_vary_verb_rc,0.496
subj_verb_vary_verb,0.431
svo_vos,0.708
swapped_ditransitive_1,0.711
swapped_ditransitive_2,0.633
transitive,0.816
wh_island,0.896
wh_questions_object_gap,0.196
wh_questions_object_gap_long_distance,0.207
wh_questions_subject_gap,0.753
wh_questions_subject_gap_long_distance,0.616
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,0.998
wh_vs_that_with_gap,0.326
wh_vs_that_with_gap_long_distance,0.322
