,best
adjunct_island,0.758
adv_order,0.462
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.449
center_embedding_double_1,0.44
center_embedding_double_2,0.864
center_embedding_single_1,0.383
center_embedding_single_2,0.824
complex_np_island,0.344
coordinate_structure_constrain_object_extraction,0.478
determiner_noun_agreement_1,0.475
determiner_noun_agreement_2,0.593
determiner_noun_agreement_adj_1,0.516
determiner_noun_agreement_adj_2,0.575
ellipsis,0.181
green_ideas,0.495
intransitive,0.62
left_branch_island_simple_question,0.041
matrix_question_npi_licensor_present,0.025
npi_present,0.462
only_npi_licensor_present,0.117
only_npi_scope,0.16
pp_order,0.451
principle_A_c_command,0.492
principle_A_domain_1,1.0
principle_A_domain_2,0.507
principle_A_domain_3,0.481
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.63
recursion_poss_ditransitive_medium,0.658
recursion_poss_ditransitive_short,0.71
recursion_poss_transitive_long,0.722
recursion_poss_transitive_medium,0.74
recursion_poss_transitive_short,0.802
recursion_pp_is_long,0.0
recursion_pp_is_medium,0.0
recursion_pp_is_short,0.0
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.354
sentential_negation_npi_scope,0.568
subj_aux_agreement_question_vary_aux,0.433
subj_aux_agreement_question_vary_subj,0.495
subj_aux_vary_subj,0.551
subj_aux_vary_verb,0.784
subj_aux_vary_verb_pp,0.431
subj_aux_vary_verb_rc,0.466
subj_verb_vary_verb,0.472
svo_vos,0.614
swapped_ditransitive_1,0.838
swapped_ditransitive_2,0.772
transitive,0.824
wh_island,0.974
wh_questions_object_gap,0.039
wh_questions_object_gap_long_distance,0.038
wh_questions_subject_gap,0.777
wh_questions_subject_gap_long_distance,0.869
wh_vs_that_no_gap,0.922
wh_vs_that_no_gap_long_distance,0.838
wh_vs_that_with_gap,0.517
wh_vs_that_with_gap_long_distance,0.526
