,best
adjunct_island,0.867
adv_order,0.423
wh_vs_that_with_gap,0.562
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.479
recursion_pp_verb_long,0.907
center_embedding_double_1,0.418
recursion_pp_verb_medium,0.997
center_embedding_double_2,0.92
recursion_pp_verb_short,0.999
center_embedding_single_1,0.406
subj_aux_vary_verb_rc,0.421
center_embedding_single_2,0.819
complex_np_island,0.507
recursion_poss_transitive_medium,0.811
coordinate_structure_constrain_object_extraction,0.475
subj_aux_vary_verb_pp,0.321
determiner_noun_agreement_1,0.548
subj_verb_vary_verb,0.506
determiner_noun_agreement_2,0.646
svo_vos,0.664
determiner_noun_agreement_adj_1,0.531
swapped_ditransitive_1,0.935
determiner_noun_agreement_adj_2,0.553
ellipsis,0.442
green_ideas,0.506
intransitive,0.663
recursion_poss_transitive_short,0.845
left_branch_island_simple_question,0.098
recursion_pp_is_long,0.0
matrix_question_npi_licensor_present,0.078
npi_present,0.442
swapped_ditransitive_2,0.838
only_npi_licensor_present,0.991
only_npi_scope,0.234
pp_order,0.342
principle_A_c_command,0.508
principle_A_domain_1,1.0
principle_A_domain_2,0.511
principle_A_domain_3,0.489
transitive,0.851
recursion_intensifier_adj_long,1.0
wh_island,0.952
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.092
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.508
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.103
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.754
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.825
recursion_poss_ditransitive_long,0.661
recursion_pp_is_medium,0.0
recursion_poss_ditransitive_medium,0.577
recursion_pp_is_short,0.067
recursion_poss_ditransitive_short,0.572
wh_vs_that_no_gap,0.888
recursion_poss_transitive_long,0.79
subj_aux_agreement_question_vary_subj,0.493
sentential_negation_npi_licensor_present,0.08
wh_vs_that_no_gap_long_distance,0.801
sentential_negation_npi_scope,0.556
subj_aux_vary_subj,0.595
subj_aux_agreement_question_vary_aux,0.523
subj_aux_vary_verb,0.81
