,best
adjunct_island,0.535
adv_order,0.748
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.471
center_embedding_double_1,0.504
center_embedding_double_2,0.958
center_embedding_single_1,0.335
center_embedding_single_2,0.975
complex_np_island,0.601
coordinate_structure_constrain_object_extraction,0.716
determiner_noun_agreement_1,0.472
determiner_noun_agreement_2,0.577
determiner_noun_agreement_adj_1,0.516
determiner_noun_agreement_adj_2,0.586
ellipsis,0.381
green_ideas,0.447
intransitive,0.588
left_branch_island_simple_question,0.587
matrix_question_npi_licensor_present,0.008
npi_present,0.417
only_npi_licensor_present,0.978
only_npi_scope,0.099
pp_order,0.908
principle_A_c_command,0.495
principle_A_domain_1,1.0
principle_A_domain_2,0.513
principle_A_domain_3,0.474
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.742
recursion_poss_ditransitive_medium,0.785
recursion_poss_ditransitive_short,0.765
recursion_poss_transitive_long,0.98
recursion_poss_transitive_medium,0.966
recursion_poss_transitive_short,0.988
recursion_pp_is_long,0.622
recursion_pp_is_medium,0.151
recursion_pp_is_short,0.333
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.983
sentential_negation_npi_licensor_present,0.515
sentential_negation_npi_scope,0.578
subj_aux_agreement_question_vary_aux,0.512
subj_aux_agreement_question_vary_subj,0.5
subj_aux_vary_subj,0.579
subj_aux_vary_verb,0.72
subj_aux_vary_verb_pp,0.497
subj_aux_vary_verb_rc,0.502
subj_verb_vary_verb,0.427
svo_vos,0.749
swapped_ditransitive_1,0.734
swapped_ditransitive_2,0.685
transitive,0.82
wh_island,0.91
wh_questions_object_gap,0.227
wh_questions_object_gap_long_distance,0.23
wh_questions_subject_gap,0.778
wh_questions_subject_gap_long_distance,0.64
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,0.998
wh_vs_that_with_gap,0.316
wh_vs_that_with_gap_long_distance,0.303
