,best
agreement_determiner_noun-across_1_adjective,0.5085
agreement_determiner_noun-between_neighbors,0.501
agreement_subject_verb-across_prepositional_phrase,0.5105
agreement_subject_verb-across_relative_clause,0.5255
agreement_subject_verb-in_question_with_aux,0.4925
agreement_subject_verb-in_simple_question,0.482
anaphor_agreement-pronoun_gender,0.509
argument_structure-dropped_argument,0.381
argument_structure-swapped_arguments,0.7115
argument_structure-transitive,0.4035
binding-principle_a,0.584
case-subjective_pronoun,0.6445
ellipsis-n_bar,0.4575
filler-gap-wh_question_object,0.247
filler-gap-wh_question_subject,0.992
irregular-verb,0.511
island-effects-adjunct_island,0.66
island-effects-coordinate_structure_constraint,0.438
local_attractor-in_question_with_aux,0.5765
npi_licensing-matrix_question,0.706
npi_licensing-only_npi_licensor,0.9885
quantifiers-existential_there,0.65
quantifiers-superlative,0.7705
