,best
agreement_determiner_noun-across_1_adjective,0.5155
agreement_determiner_noun-between_neighbors,0.504
agreement_subject_verb-across_prepositional_phrase,0.5025
agreement_subject_verb-across_relative_clause,0.5005
agreement_subject_verb-in_question_with_aux,0.4915
agreement_subject_verb-in_simple_question,0.4975
anaphor_agreement-pronoun_gender,0.493
argument_structure-dropped_argument,0.5995
argument_structure-swapped_arguments,0.925
argument_structure-transitive,0.483
binding-principle_a,0.6485
case-subjective_pronoun,0.9295
ellipsis-n_bar,0.496
filler-gap-wh_question_object,0.1745
filler-gap-wh_question_subject,1.0
irregular-verb,0.4825
island-effects-adjunct_island,0.908
island-effects-coordinate_structure_constraint,0.25
local_attractor-in_question_with_aux,0.6055
npi_licensing-matrix_question,0.7405
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.6545
quantifiers-superlative,0.6105
