,best
agreement_determiner_noun-across_1_adjective,0.509
agreement_determiner_noun-between_neighbors,0.577
agreement_subject_verb-across_prepositional_phrase,0.5145
agreement_subject_verb-across_relative_clause,0.515
agreement_subject_verb-in_question_with_aux,0.4985
agreement_subject_verb-in_simple_question,0.508
anaphor_agreement-pronoun_gender,0.5025
argument_structure-dropped_argument,0.7935
argument_structure-swapped_arguments,0.997
argument_structure-transitive,0.675
binding-principle_a,0.3795
case-subjective_pronoun,0.997
ellipsis-n_bar,0.5315
filler-gap-wh_question_object,0.2125
filler-gap-wh_question_subject,0.9575
irregular-verb,0.6955
island-effects-adjunct_island,0.4205
island-effects-coordinate_structure_constraint,0.698
local_attractor-in_question_with_aux,0.563
npi_licensing-matrix_question,0.107
npi_licensing-only_npi_licensor,0.636
quantifiers-existential_there,0.788
quantifiers-superlative,0.431
