,best
agreement_determiner_noun-across_1_adjective,0.5045
agreement_determiner_noun-between_neighbors,0.524
agreement_subject_verb-across_prepositional_phrase,0.495
agreement_subject_verb-across_relative_clause,0.4985
agreement_subject_verb-in_question_with_aux,0.4885
agreement_subject_verb-in_simple_question,0.4905
anaphor_agreement-pronoun_gender,0.513
argument_structure-dropped_argument,0.943
argument_structure-swapped_arguments,0.9845
argument_structure-transitive,0.493
binding-principle_a,0.4745
case-subjective_pronoun,0.843
ellipsis-n_bar,0.249
filler-gap-wh_question_object,0.0935
filler-gap-wh_question_subject,1.0
irregular-verb,0.515
island-effects-adjunct_island,0.4505
island-effects-coordinate_structure_constraint,0.519
local_attractor-in_question_with_aux,0.667
npi_licensing-matrix_question,0.473
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.688
quantifiers-superlative,0.665
