,best
agreement_determiner_noun-across_1_adjective,0.5325
agreement_determiner_noun-between_neighbors,0.596
agreement_subject_verb-across_prepositional_phrase,0.513
agreement_subject_verb-across_relative_clause,0.526
agreement_subject_verb-in_question_with_aux,0.5
agreement_subject_verb-in_simple_question,0.5085
anaphor_agreement-pronoun_gender,0.5245
argument_structure-dropped_argument,0.8695
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6225
binding-principle_a,0.4865
case-subjective_pronoun,1.0
ellipsis-n_bar,0.663
filler-gap-wh_question_object,0.6115
filler-gap-wh_question_subject,0.955
irregular-verb,0.7515
island-effects-adjunct_island,0.4795
island-effects-coordinate_structure_constraint,0.489
local_attractor-in_question_with_aux,0.648
npi_licensing-matrix_question,0.7105
npi_licensing-only_npi_licensor,0.7945
quantifiers-existential_there,0.794
quantifiers-superlative,0.225
