,best
agreement_determiner_noun-across_1_adjective,0.5095
agreement_determiner_noun-between_neighbors,0.5215
agreement_subject_verb-across_prepositional_phrase,0.501
agreement_subject_verb-across_relative_clause,0.4945
agreement_subject_verb-in_question_with_aux,0.4995
agreement_subject_verb-in_simple_question,0.4995
anaphor_agreement-pronoun_gender,0.561
argument_structure-dropped_argument,0.8535
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5955
binding-principle_a,0.502
case-subjective_pronoun,0.9985
ellipsis-n_bar,0.4465
filler-gap-wh_question_object,0.198
filler-gap-wh_question_subject,0.9995
irregular-verb,0.543
island-effects-adjunct_island,0.5925
island-effects-coordinate_structure_constraint,0.241
local_attractor-in_question_with_aux,0.715
npi_licensing-matrix_question,0.642
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.8025
quantifiers-superlative,0.712
