,best
agreement_determiner_noun-across_1_adjective,0.5135
agreement_determiner_noun-between_neighbors,0.5285
agreement_subject_verb-across_prepositional_phrase,0.5155
agreement_subject_verb-across_relative_clause,0.5395
agreement_subject_verb-in_question_with_aux,0.493
agreement_subject_verb-in_simple_question,0.4945
anaphor_agreement-pronoun_gender,0.5265
argument_structure-dropped_argument,0.896
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6115
binding-principle_a,0.3075
case-subjective_pronoun,1.0
ellipsis-n_bar,0.1525
filler-gap-wh_question_object,0.377
filler-gap-wh_question_subject,0.7245
irregular-verb,0.537
island-effects-adjunct_island,0.582
island-effects-coordinate_structure_constraint,0.4085
local_attractor-in_question_with_aux,0.531
npi_licensing-matrix_question,0.1985
npi_licensing-only_npi_licensor,0.6135
quantifiers-existential_there,0.7105
quantifiers-superlative,0.491
