,best
agreement_determiner_noun-across_1_adjective,0.511
agreement_determiner_noun-between_neighbors,0.524
agreement_subject_verb-across_prepositional_phrase,0.496
agreement_subject_verb-across_relative_clause,0.507
agreement_subject_verb-in_question_with_aux,0.4975
agreement_subject_verb-in_simple_question,0.5035
anaphor_agreement-pronoun_gender,0.5275
argument_structure-dropped_argument,0.8215
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.635
binding-principle_a,0.2935
case-subjective_pronoun,1.0
ellipsis-n_bar,0.5
filler-gap-wh_question_object,0.46
filler-gap-wh_question_subject,0.9305
irregular-verb,0.7235
island-effects-adjunct_island,0.3875
island-effects-coordinate_structure_constraint,0.441
local_attractor-in_question_with_aux,0.731
npi_licensing-matrix_question,0.6785
npi_licensing-only_npi_licensor,0.5195
quantifiers-existential_there,0.739
quantifiers-superlative,0.499
