,best
agreement_determiner_noun-across_1_adjective,0.486
agreement_determiner_noun-between_neighbors,0.482
agreement_subject_verb-across_prepositional_phrase,0.495
agreement_subject_verb-across_relative_clause,0.503
agreement_subject_verb-in_question_with_aux,0.509
agreement_subject_verb-in_simple_question,0.5055
anaphor_agreement-pronoun_gender,0.482
argument_structure-dropped_argument,0.96
argument_structure-swapped_arguments,0.923
argument_structure-transitive,0.56
binding-principle_a,0.5495
case-subjective_pronoun,0.809
ellipsis-n_bar,0.2365
filler-gap-wh_question_object,0.215
filler-gap-wh_question_subject,0.3825
irregular-verb,0.514
island-effects-adjunct_island,0.5075
island-effects-coordinate_structure_constraint,0.198
local_attractor-in_question_with_aux,0.4895
npi_licensing-matrix_question,0.6525
npi_licensing-only_npi_licensor,0.7735
quantifiers-existential_there,0.4465
quantifiers-superlative,0.746
