,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 233.98822021484375), (1, 172.6450958251953)]","[(0, 599.9960327148438), (1, 335.80230712890625)]","[(0, 586.8499755859375), (1, 428.9487609863281)]","[(0, 698.3146362304688), (1, 655.7448120117188)]","[(0, 86.72840118408203), (1, 73.05680847167969)]","[(0, 269.852783203125), (1, 117.73153686523438)]","[(0, 3500.2919921875), (1, 2771.3310546875)]","[(0, 937.8748168945312), (1, 228.56605529785156)]","[(0, 2618.4140625), (1, 1245.944091796875)]","[(0, 17580.232421875), (1, 6396.44921875)]","[(0, 2533.82763671875), (1, 3505.135498046875)]","[(0, 1845.1583251953125), (1, 824.1378784179688)]","[(0, 4126.29150390625), (1, 5772.607421875)]","[(0, 1238.083251953125), (1, 891.7890014648438)]","[(0, 1698.38037109375), (1, 999.411376953125)]","[(0, 802.2136840820312), (1, 681.5081176757812)]","[(0, 1014.894287109375), (1, 628.6177978515625)]","[(0, 877.840087890625), (1, 695.2387084960938)]","[(0, 520.6312866210938), (1, 524.813720703125)]","[(0, 742.8010864257812), (1, 528.9099731445312)]","[(0, 3096.92822265625), (1, 2398.080810546875)]","[(0, 579.5537719726562), (1, 429.894775390625)]","[(0, 458.9739685058594), (1, 495.4964599609375)]"
1,"[(0, 413.5324401855469), (1, 265.99993896484375)]","[(0, 572.2639770507812), (1, 329.5443420410156)]","[(0, 580.0721435546875), (1, 455.3121032714844)]","[(0, 399.1319885253906), (1, 388.5018310546875)]","[(0, 125.04061126708984), (1, 97.04360961914062)]","[(0, 262.80291748046875), (1, 108.53304290771484)]","[(0, 931.1466064453125), (1, 972.8968505859375)]","[(0, 1093.975830078125), (1, 286.00714111328125)]","[(0, 982.7718505859375), (1, 466.0888671875)]","[(0, 4637.96875), (1, 5787.69482421875)]","[(0, 4457.81640625), (1, 5940.375)]","[(0, 2577.31787109375), (1, 947.6387939453125)]","[(0, 2806.73291015625), (1, 3878.72119140625)]","[(0, 1159.0947265625), (1, 1011.7351684570312)]","[(0, 2313.54052734375), (1, 1369.6455078125)]","[(0, 631.9351196289062), (1, 628.59228515625)]","[(0, 674.1807861328125), (1, 444.07818603515625)]","[(0, 708.5556640625), (1, 752.5758666992188)]","[(0, 2382.130615234375), (1, 1954.1453857421875)]","[(0, 516.78369140625), (1, 529.0625610351562)]","[(0, 1620.9127197265625), (1, 1084.2265625)]","[(0, 764.3225708007812), (1, 621.4075927734375)]","[(0, 2078.466552734375), (1, 2150.930908203125)]"
2,"[(0, 286.3248291015625), (1, 173.9319610595703)]","[(0, 672.884521484375), (1, 337.5509033203125)]","[(0, 523.9995727539062), (1, 414.02154541015625)]","[(0, 436.1639404296875), (1, 448.5895080566406)]","[(0, 128.1319580078125), (1, 108.18927001953125)]","[(0, 160.7405548095703), (1, 87.38928985595703)]","[(0, 1052.9534912109375), (1, 953.1844482421875)]","[(0, 717.4930419921875), (1, 502.07501220703125)]","[(0, 1368.4429931640625), (1, 991.3975219726562)]","[(0, 7719.65380859375), (1, 6883.91357421875)]","[(0, 3398.18505859375), (1, 2650.080322265625)]","[(0, 986.57275390625), (1, 479.97967529296875)]","[(0, 3075.994384765625), (1, 3933.589111328125)]","[(0, 769.863037109375), (1, 717.120849609375)]","[(0, 2740.6953125), (1, 1314.358154296875)]","[(0, 1784.589599609375), (1, 1305.4630126953125)]","[(0, 2183.1171875), (1, 2399.59619140625)]","[(0, 454.1743469238281), (1, 384.83221435546875)]","[(0, 791.4911499023438), (1, 701.6397094726562)]","[(0, 1765.1917724609375), (1, 1056.2357177734375)]","[(0, 2627.731201171875), (1, 1900.1875)]","[(0, 1304.5955810546875), (1, 950.1499633789062)]","[(0, 598.3777465820312), (1, 768.77197265625)]"
3,"[(0, 1265.89794921875), (1, 1080.9063720703125)]","[(0, 616.568603515625), (1, 327.0052185058594)]","[(0, 498.38568115234375), (1, 425.1437072753906)]","[(0, 520.9454345703125), (1, 520.1950073242188)]","[(0, 931.0667114257812), (1, 770.5758666992188)]","[(0, 1858.042724609375), (1, 881.2312622070312)]","[(0, 542.963134765625), (1, 564.644287109375)]","[(0, 1137.0760498046875), (1, 649.9452514648438)]","[(0, 2011.90576171875), (1, 588.3285522460938)]","[(0, 6501.97021484375), (1, 6169.94189453125)]","[(0, 5039.71826171875), (1, 4660.986328125)]","[(0, 1336.855224609375), (1, 905.3662719726562)]","[(0, 3587.114501953125), (1, 4482.4140625)]","[(0, 711.5930786132812), (1, 694.369384765625)]","[(0, 2601.18359375), (1, 1560.0465087890625)]","[(0, 958.929931640625), (1, 1151.095703125)]","[(0, 1584.188232421875), (1, 1789.9757080078125)]","[(0, 543.9844970703125), (1, 617.3054809570312)]","[(0, 577.5079956054688), (1, 367.64453125)]","[(0, 1406.0859375), (1, 2993.213134765625)]","[(0, 1706.7879638671875), (1, 1211.0472412109375)]","[(0, 1622.2984619140625), (1, 1031.6412353515625)]","[(0, 1270.5599365234375), (1, 2144.041259765625)]"
4,"[(0, 228.83824157714844), (1, 173.28494262695312)]","[(0, 748.9533081054688), (1, 951.9090576171875)]","[(0, 530.6644287109375), (1, 718.0426635742188)]","[(0, 503.91845703125), (1, 515.1486206054688)]","[(0, 614.66552734375), (1, 552.0087280273438)]","[(0, 226.1578369140625), (1, 125.48829650878906)]","[(0, 3048.368408203125), (1, 2852.64306640625)]","[(0, 1594.378662109375), (1, 703.9554443359375)]","[(0, 1276.3590087890625), (1, 774.9224243164062)]","[(0, 3553.901611328125), (1, 3067.14794921875)]","[(0, 2048.14453125), (1, 2080.962646484375)]","[(0, 3122.1376953125), (1, 749.3866577148438)]","[(0, 2120.9072265625), (1, 2294.309814453125)]","[(0, 863.5165405273438), (1, 826.943359375)]","[(0, 2046.1971435546875), (1, 1222.700439453125)]","[(0, 783.1605224609375), (1, 435.23443603515625)]","[(0, 1311.538330078125), (1, 1394.855712890625)]","[(0, 482.611572265625), (1, 496.12652587890625)]","[(0, 620.6090087890625), (1, 555.2489624023438)]","[(0, 2340.04296875), (1, 1898.9466552734375)]","[(0, 726.080078125), (1, 516.0570678710938)]","[(0, 726.7239990234375), (1, 583.1930541992188)]","[(0, 1744.8870849609375), (1, 3461.1787109375)]"
5,"[(0, 433.027099609375), (1, 292.39422607421875)]","[(0, 770.9761352539062), (1, 941.2694702148438)]","[(0, 464.3963623046875), (1, 607.9422607421875)]","[(0, 560.3522338867188), (1, 587.2368774414062)]","[(0, 514.7362670898438), (1, 438.1684875488281)]","[(0, 451.4574279785156), (1, 225.01173400878906)]","[(0, 1103.1717529296875), (1, 1281.2457275390625)]","[(0, 1583.9813232421875), (1, 866.6205444335938)]","[(0, 2039.7247314453125), (1, 845.1074829101562)]","[(0, 7243.02685546875), (1, 4495.5224609375)]","[(0, 2530.29931640625), (1, 2273.917724609375)]","[(0, 1120.0174560546875), (1, 656.4117431640625)]","[(0, 1959.4937744140625), (1, 2175.69091796875)]","[(0, 1359.7666015625), (1, 1193.5521240234375)]","[(0, 1798.7646484375), (1, 1168.2742919921875)]","[(0, 564.2521362304688), (1, 491.3918151855469)]","[(0, 1088.6326904296875), (1, 986.1753540039062)]","[(0, 521.6787109375), (1, 472.48553466796875)]","[(0, 3158.235595703125), (1, 1472.6875)]","[(0, 1884.120361328125), (1, 4750.6865234375)]","[(0, 708.4863891601562), (1, 464.3833312988281)]","[(0, 1258.109375), (1, 959.8650512695312)]","[(0, 405.7430725097656), (1, 513.0812377929688)]"
6,"[(0, 305.0374755859375), (1, 194.39927673339844)]","[(0, 714.3134765625), (1, 852.9830932617188)]","[(0, 585.4083862304688), (1, 751.32373046875)]","[(0, 292.7713317871094), (1, 293.9710388183594)]","[(0, 101.67391967773438), (1, 117.54580688476562)]","[(0, 233.86874389648438), (1, 135.23052978515625)]","[(0, 2275.037109375), (1, 1976.215087890625)]","[(0, 2037.2255859375), (1, 950.141357421875)]","[(0, 1388.9725341796875), (1, 676.5945434570312)]","[(0, 5256.3095703125), (1, 7273.48388671875)]","[(0, 1665.27978515625), (1, 1871.00439453125)]","[(0, 2484.7109375), (1, 1494.418701171875)]","[(0, 1597.554443359375), (1, 2213.908203125)]","[(0, 1762.955078125), (1, 1810.1453857421875)]","[(0, 2615.24365234375), (1, 1317.6187744140625)]","[(0, 2051.774169921875), (1, 1531.5635986328125)]","[(0, 1657.8260498046875), (1, 1351.580810546875)]","[(0, 645.5322265625), (1, 608.0104370117188)]","[(0, 623.9471435546875), (1, 544.3521728515625)]","[(0, 2982.16064453125), (1, 1754.4180908203125)]","[(0, 1347.0069580078125), (1, 1165.19384765625)]","[(0, 1111.617919921875), (1, 826.889404296875)]","[(0, 796.3991088867188), (1, 857.0924682617188)]"
7,"[(0, 1041.6031494140625), (1, 951.1539916992188)]","[(0, 742.739501953125), (1, 850.9754028320312)]","[(0, 533.1805419921875), (1, 656.1466674804688)]","[(0, 788.2569580078125), (1, 798.4859008789062)]","[(0, 110.18074798583984), (1, 134.5484161376953)]","[(0, 313.62127685546875), (1, 131.0334930419922)]","[(0, 933.1351928710938), (1, 1074.30810546875)]","[(0, 1117.3370361328125), (1, 267.0223388671875)]","[(0, 1744.7589111328125), (1, 743.9503173828125)]","[(0, 3831.3984375), (1, 2622.22265625)]","[(0, 1906.365234375), (1, 1745.193115234375)]","[(0, 1201.5975341796875), (1, 649.6546630859375)]","[(0, 1027.953369140625), (1, 1305.1488037109375)]","[(0, 2823.25927734375), (1, 2833.732177734375)]","[(0, 2549.491943359375), (1, 1314.2052001953125)]","[(0, 1765.7591552734375), (1, 1689.049072265625)]","[(0, 1261.981689453125), (1, 941.5213012695312)]","[(0, 436.471435546875), (1, 705.606201171875)]","[(0, 485.7549133300781), (1, 350.534912109375)]","[(0, 5595.73388671875), (1, 5736.84130859375)]","[(0, 1068.962646484375), (1, 841.4178466796875)]","[(0, 1114.15771484375), (1, 830.6107788085938)]","[(0, 1955.7767333984375), (1, 3878.28857421875)]"
8,"[(0, 232.77223205566406), (1, 231.4921112060547)]","[(0, 1018.5900268554688), (1, 971.6076049804688)]","[(0, 729.2496948242188), (1, 657.9632568359375)]","[(0, 442.0666809082031), (1, 423.4499206542969)]","[(0, 121.7084732055664), (1, 142.61766052246094)]","[(0, 353.94232177734375), (1, 137.39764404296875)]","[(0, 1187.2889404296875), (1, 1161.363037109375)]","[(0, 1189.86474609375), (1, 705.4984741210938)]","[(0, 1056.4609375), (1, 556.1265258789062)]","[(0, 710.5352172851562), (1, 614.3220825195312)]","[(0, 937.3722534179688), (1, 1053.6346435546875)]","[(0, 1671.77197265625), (1, 915.1884765625)]","[(0, 4670.994140625), (1, 5134.41015625)]","[(0, 1195.2532958984375), (1, 1259.15478515625)]","[(0, 3118.328857421875), (1, 1456.9334716796875)]","[(0, 3081.75830078125), (1, 1987.170654296875)]","[(0, 744.7034912109375), (1, 672.7154541015625)]","[(0, 310.4217224121094), (1, 259.4270324707031)]","[(0, 845.283935546875), (1, 720.5220947265625)]","[(0, 1106.748291015625), (1, 820.9644165039062)]","[(0, 1682.2235107421875), (1, 1200.6502685546875)]","[(0, 740.2866821289062), (1, 633.5000610351562)]","[(0, 528.2491455078125), (1, 595.1414794921875)]"
9,"[(0, 387.43182373046875), (1, 423.75592041015625)]","[(0, 1075.682861328125), (1, 1069.6561279296875)]","[(0, 844.9157104492188), (1, 764.5161743164062)]","[(0, 520.8905029296875), (1, 474.9800720214844)]","[(0, 887.091064453125), (1, 1068.7913818359375)]","[(0, 240.0049285888672), (1, 122.76884460449219)]","[(0, 1096.7408447265625), (1, 1051.83544921875)]","[(0, 2105.482421875), (1, 631.0284423828125)]","[(0, 1309.438720703125), (1, 571.8670043945312)]","[(0, 2286.83447265625), (1, 2375.49609375)]","[(0, 842.86865234375), (1, 922.2418823242188)]","[(0, 1207.23046875), (1, 635.5424194335938)]","[(0, 4646.9833984375), (1, 5122.369140625)]","[(0, 1745.3963623046875), (1, 1991.912109375)]","[(0, 3680.535400390625), (1, 1788.127197265625)]","[(0, 1584.8350830078125), (1, 1702.0035400390625)]","[(0, 561.9429321289062), (1, 480.5675354003906)]","[(0, 524.6233520507812), (1, 601.767333984375)]","[(0, 1343.4276123046875), (1, 897.7301635742188)]","[(0, 559.7930297851562), (1, 1073.5501708984375)]","[(0, 762.752685546875), (1, 528.7097778320312)]","[(0, 870.09912109375), (1, 615.3074340820312)]","[(0, 1131.6954345703125), (1, 1159.9136962890625)]"
