,best
agreement_determiner_noun-across_1_adjective,0.5085
agreement_determiner_noun-between_neighbors,0.567
agreement_subject_verb-across_prepositional_phrase,0.5015
agreement_subject_verb-across_relative_clause,0.5225
agreement_subject_verb-in_question_with_aux,0.4985
agreement_subject_verb-in_simple_question,0.5085
anaphor_agreement-pronoun_gender,0.505
argument_structure-dropped_argument,0.7975
argument_structure-swapped_arguments,0.9965
argument_structure-transitive,0.6675
binding-principle_a,0.388
case-subjective_pronoun,0.999
ellipsis-n_bar,0.5065
filler-gap-wh_question_object,0.2035
filler-gap-wh_question_subject,0.965
irregular-verb,0.693
island-effects-adjunct_island,0.4045
island-effects-coordinate_structure_constraint,0.678
local_attractor-in_question_with_aux,0.5735
npi_licensing-matrix_question,0.119
npi_licensing-only_npi_licensor,0.6265
quantifiers-existential_there,0.776
quantifiers-superlative,0.467
