,best
agreement_determiner_noun-across_1_adjective,0.4865
agreement_determiner_noun-between_neighbors,0.4915
agreement_subject_verb-across_prepositional_phrase,0.506
agreement_subject_verb-across_relative_clause,0.5055
agreement_subject_verb-in_question_with_aux,0.4995
agreement_subject_verb-in_simple_question,0.505
anaphor_agreement-pronoun_gender,0.4675
argument_structure-dropped_argument,0.45
argument_structure-swapped_arguments,0.2405
argument_structure-transitive,0.5465
binding-principle_a,0.688
case-subjective_pronoun,0.1765
ellipsis-n_bar,0.515
filler-gap-wh_question_object,0.2995
filler-gap-wh_question_subject,0.9835
irregular-verb,0.5365
island-effects-adjunct_island,0.4925
island-effects-coordinate_structure_constraint,0.7365
local_attractor-in_question_with_aux,0.5955
npi_licensing-matrix_question,0.567
npi_licensing-only_npi_licensor,0.9905
quantifiers-existential_there,0.49
quantifiers-superlative,0.1365
