,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 1672.06298828125), (1, 1584.3778076171875)]","[(0, 4669.248046875), (1, 3518.273681640625)]","[(0, 2466.750732421875), (1, 2888.2421875)]","[(0, 3118.290283203125), (1, 2525.109375)]","[(0, 849.1129150390625), (1, 648.44482421875)]","[(0, 666.9395751953125), (1, 336.671142578125)]","[(0, 8394.9052734375), (1, 8103.25390625)]","[(0, 5600.416015625), (1, 2180.927001953125)]","[(0, 5539.61572265625), (1, 1855.5096435546875)]","[(0, 20028.375), (1, 21537.759765625)]","[(0, 8102.31103515625), (1, 9616.357421875)]","[(0, 5289.029296875), (1, 3162.527587890625)]","[(0, 7867.6767578125), (1, 8547.265625)]","[(0, 2996.62353515625), (1, 2785.900146484375)]","[(0, 4179.1455078125), (1, 2751.513916015625)]","[(0, 3649.720947265625), (1, 3398.2529296875)]","[(0, 1937.8890380859375), (1, 2150.53173828125)]","[(0, 2144.58447265625), (1, 2137.678466796875)]","[(0, 945.0585327148438), (1, 835.6819458007812)]","[(0, 1312.0018310546875), (1, 879.5189208984375)]","[(0, 9851.380859375), (1, 8992.7548828125)]","[(0, 4472.61865234375), (1, 3988.095458984375)]","[(0, 2288.376953125), (1, 2321.9267578125)]"
1,"[(0, 4276.0400390625), (1, 4216.4921875)]","[(0, 3838.266357421875), (1, 2910.4384765625)]","[(0, 2487.946533203125), (1, 2952.93359375)]","[(0, 2020.87939453125), (1, 1557.7784423828125)]","[(0, 506.4879150390625), (1, 378.7333679199219)]","[(0, 535.2921142578125), (1, 259.79345703125)]","[(0, 3486.007080078125), (1, 3301.095947265625)]","[(0, 4176.30859375), (1, 1487.5054931640625)]","[(0, 3110.025146484375), (1, 1109.0643310546875)]","[(0, 9843.14453125), (1, 6267.19384765625)]","[(0, 11556.203125), (1, 13227.953125)]","[(0, 3052.283935546875), (1, 1964.737060546875)]","[(0, 6967.830078125), (1, 7466.7265625)]","[(0, 2792.873779296875), (1, 2516.787353515625)]","[(0, 6214.912109375), (1, 4038.1279296875)]","[(0, 3101.231689453125), (1, 3109.8173828125)]","[(0, 1161.5697021484375), (1, 1341.080078125)]","[(0, 2068.8369140625), (1, 2215.093017578125)]","[(0, 2496.37890625), (1, 3086.07275390625)]","[(0, 1714.1480712890625), (1, 1203.2161865234375)]","[(0, 4207.482421875), (1, 3744.136474609375)]","[(0, 3752.3974609375), (1, 3489.116943359375)]","[(0, 5558.66162109375), (1, 6011.10888671875)]"
2,"[(0, 1913.24072265625), (1, 1986.5709228515625)]","[(0, 3700.66064453125), (1, 2363.52294921875)]","[(0, 2238.10791015625), (1, 2642.00390625)]","[(0, 2060.926513671875), (1, 1670.89453125)]","[(0, 1057.035888671875), (1, 849.6199340820312)]","[(0, 867.298095703125), (1, 483.00665283203125)]","[(0, 2912.449951171875), (1, 2796.2373046875)]","[(0, 4831.63232421875), (1, 3458.83251953125)]","[(0, 4713.2041015625), (1, 3182.736083984375)]","[(0, 15772.90625), (1, 19348.216796875)]","[(0, 7986.2412109375), (1, 7870.09375)]","[(0, 4098.4541015625), (1, 1642.9053955078125)]","[(0, 7818.736328125), (1, 8271.9306640625)]","[(0, 2700.085205078125), (1, 3583.155517578125)]","[(0, 4586.19140625), (1, 3469.67578125)]","[(0, 5469.63916015625), (1, 3748.173583984375)]","[(0, 4058.311279296875), (1, 4089.068359375)]","[(0, 1166.7471923828125), (1, 1236.6478271484375)]","[(0, 1527.1669921875), (1, 1278.9378662109375)]","[(0, 5460.18994140625), (1, 4152.376953125)]","[(0, 6355.84228515625), (1, 5790.99072265625)]","[(0, 3727.029296875), (1, 3308.783203125)]","[(0, 2718.774658203125), (1, 3650.970458984375)]"
3,"[(0, 4690.8681640625), (1, 4234.408203125)]","[(0, 3177.76513671875), (1, 2044.21337890625)]","[(0, 2233.568359375), (1, 2656.33642578125)]","[(0, 2041.55224609375), (1, 1739.681396484375)]","[(0, 2048.828369140625), (1, 1614.8782958984375)]","[(0, 1911.9840087890625), (1, 938.400390625)]","[(0, 1705.71875), (1, 1785.318115234375)]","[(0, 6710.4951171875), (1, 3718.3525390625)]","[(0, 4693.83544921875), (1, 1668.9356689453125)]","[(0, 12364.7099609375), (1, 13258.037109375)]","[(0, 12081.1728515625), (1, 11564.0634765625)]","[(0, 3262.53125), (1, 1862.4644775390625)]","[(0, 5851.1455078125), (1, 6460.14501953125)]","[(0, 4229.80322265625), (1, 3797.11474609375)]","[(0, 6990.259765625), (1, 4814.92626953125)]","[(0, 3164.672607421875), (1, 4151.814453125)]","[(0, 2899.86572265625), (1, 2845.572998046875)]","[(0, 1525.930908203125), (1, 1591.556884765625)]","[(0, 1878.3695068359375), (1, 1357.101806640625)]","[(0, 7010.84912109375), (1, 9378.064453125)]","[(0, 4310.34228515625), (1, 3873.95263671875)]","[(0, 3510.03271484375), (1, 3064.34716796875)]","[(0, 2129.611572265625), (1, 2877.496337890625)]"
4,"[(0, 1595.551513671875), (1, 1524.977294921875)]","[(0, 4633.81787109375), (1, 6220.818359375)]","[(0, 2869.101806640625), (1, 2580.799560546875)]","[(0, 2103.734375), (1, 1798.2003173828125)]","[(0, 2137.13525390625), (1, 1612.7366943359375)]","[(0, 721.0895385742188), (1, 487.65240478515625)]","[(0, 6663.13330078125), (1, 6216.6015625)]","[(0, 2999.974609375), (1, 2399.250732421875)]","[(0, 3456.181640625), (1, 2515.23486328125)]","[(0, 4571.109375), (1, 5436.138671875)]","[(0, 7795.93017578125), (1, 8715.720703125)]","[(0, 6040.01953125), (1, 3336.229248046875)]","[(0, 5646.31640625), (1, 6651.1474609375)]","[(0, 1877.560791015625), (1, 2121.420166015625)]","[(0, 4887.59375), (1, 4180.2138671875)]","[(0, 4205.1796875), (1, 3115.968505859375)]","[(0, 2584.84521484375), (1, 3026.1923828125)]","[(0, 1280.0390625), (1, 1002.98095703125)]","[(0, 1188.653564453125), (1, 997.8722534179688)]","[(0, 3970.513427734375), (1, 3617.911376953125)]","[(0, 2816.2001953125), (1, 2534.224853515625)]","[(0, 4365.26611328125), (1, 3423.15234375)]","[(0, 3617.43505859375), (1, 5994.1015625)]"
5,"[(0, 2865.369384765625), (1, 2744.44482421875)]","[(0, 4083.009033203125), (1, 5339.0234375)]","[(0, 2847.252197265625), (1, 2526.789794921875)]","[(0, 2304.71533203125), (1, 1951.770751953125)]","[(0, 2280.6337890625), (1, 1723.9163818359375)]","[(0, 913.4375), (1, 571.7503051757812)]","[(0, 3235.29931640625), (1, 3175.368896484375)]","[(0, 3207.35888671875), (1, 2457.75341796875)]","[(0, 5539.208984375), (1, 2004.9224853515625)]","[(0, 14382.1318359375), (1, 12132.841796875)]","[(0, 6917.10791015625), (1, 7490.66943359375)]","[(0, 3307.735595703125), (1, 1637.330810546875)]","[(0, 4084.056640625), (1, 4310.01318359375)]","[(0, 3645.1083984375), (1, 3360.699951171875)]","[(0, 4379.7109375), (1, 3845.12158203125)]","[(0, 2929.376708984375), (1, 3938.671630859375)]","[(0, 1692.45947265625), (1, 2028.9388427734375)]","[(0, 1494.861328125), (1, 1417.2904052734375)]","[(0, 2935.48583984375), (1, 3874.606689453125)]","[(0, 4162.83642578125), (1, 8005.48828125)]","[(0, 2070.463134765625), (1, 1854.1165771484375)]","[(0, 3120.36083984375), (1, 2444.452880859375)]","[(0, 1182.9630126953125), (1, 1236.320068359375)]"
6,"[(0, 1220.27734375), (1, 1231.605224609375)]","[(0, 3923.66064453125), (1, 5221.72998046875)]","[(0, 3186.56884765625), (1, 2780.68701171875)]","[(0, 1682.7481689453125), (1, 1317.369384765625)]","[(0, 522.9838256835938), (1, 685.0196533203125)]","[(0, 857.415771484375), (1, 563.1138305664062)]","[(0, 4813.00244140625), (1, 4464.21484375)]","[(0, 7467.5029296875), (1, 3556.071533203125)]","[(0, 3642.1826171875), (1, 2767.774658203125)]","[(0, 12926.951171875), (1, 14883.4697265625)]","[(0, 7313.513671875), (1, 7362.794921875)]","[(0, 5847.39111328125), (1, 3033.013671875)]","[(0, 3488.478271484375), (1, 4061.552001953125)]","[(0, 4274.86181640625), (1, 5876.041015625)]","[(0, 6633.72021484375), (1, 5114.5244140625)]","[(0, 6734.955078125), (1, 5563.0849609375)]","[(0, 3132.501708984375), (1, 3298.39892578125)]","[(0, 2129.25), (1, 2183.841796875)]","[(0, 1217.07080078125), (1, 1116.0489501953125)]","[(0, 6234.080078125), (1, 2845.046630859375)]","[(0, 4145.64990234375), (1, 3895.97119140625)]","[(0, 3986.943115234375), (1, 3102.997802734375)]","[(0, 3917.693115234375), (1, 3829.130126953125)]"
7,"[(0, 4145.40869140625), (1, 3852.42578125)]","[(0, 3208.8427734375), (1, 4336.08984375)]","[(0, 3189.560546875), (1, 2769.5595703125)]","[(0, 2533.090576171875), (1, 3110.33935546875)]","[(0, 279.7733459472656), (1, 374.9503479003906)]","[(0, 877.9229125976562), (1, 434.1391906738281)]","[(0, 2712.353271484375), (1, 2515.82373046875)]","[(0, 6197.36328125), (1, 1285.9122314453125)]","[(0, 5592.43701171875), (1, 2289.784912109375)]","[(0, 7428.7978515625), (1, 10634.1806640625)]","[(0, 5908.0302734375), (1, 6153.48828125)]","[(0, 3422.65283203125), (1, 1888.4971923828125)]","[(0, 3404.67919921875), (1, 3704.841552734375)]","[(0, 6923.29150390625), (1, 5940.19384765625)]","[(0, 6115.123046875), (1, 4748.75244140625)]","[(0, 5329.75927734375), (1, 6108.44384765625)]","[(0, 2093.275390625), (1, 2194.05908203125)]","[(0, 2214.57666015625), (1, 2461.80712890625)]","[(0, 1409.648681640625), (1, 997.0029296875)]","[(0, 7629.97119140625), (1, 6709.71484375)]","[(0, 2906.483154296875), (1, 2613.726318359375)]","[(0, 3664.012451171875), (1, 2767.836669921875)]","[(0, 4735.244140625), (1, 7636.7919921875)]"
8,"[(0, 2372.93994140625), (1, 2397.7021484375)]","[(0, 5413.7373046875), (1, 5573.65283203125)]","[(0, 3069.266357421875), (1, 2509.964599609375)]","[(0, 1490.4398193359375), (1, 1925.0989990234375)]","[(0, 714.7005615234375), (1, 900.4070434570312)]","[(0, 762.826171875), (1, 361.04730224609375)]","[(0, 2793.67431640625), (1, 2530.62890625)]","[(0, 4326.79541015625), (1, 3687.769775390625)]","[(0, 3119.102294921875), (1, 1902.77978515625)]","[(0, 2504.48193359375), (1, 2683.64013671875)]","[(0, 2612.333251953125), (1, 3313.70947265625)]","[(0, 4306.27001953125), (1, 1466.7613525390625)]","[(0, 9703.1171875), (1, 10861.2041015625)]","[(0, 2172.751708984375), (1, 3078.289306640625)]","[(0, 6271.09814453125), (1, 3699.2529296875)]","[(0, 6899.16796875), (1, 6767.35302734375)]","[(0, 1845.247314453125), (1, 2358.989990234375)]","[(0, 1057.4058837890625), (1, 1101.1357421875)]","[(0, 1739.422607421875), (1, 1390.156494140625)]","[(0, 2705.881591796875), (1, 2296.896484375)]","[(0, 3760.18896484375), (1, 3619.336669921875)]","[(0, 2323.440673828125), (1, 2993.472900390625)]","[(0, 1994.372802734375), (1, 2700.9482421875)]"
9,"[(0, 5662.947265625), (1, 5792.95703125)]","[(0, 4962.474609375), (1, 5308.748046875)]","[(0, 3346.263427734375), (1, 2714.143798828125)]","[(0, 1593.941650390625), (1, 1958.802490234375)]","[(0, 1296.3623046875), (1, 1673.0247802734375)]","[(0, 1083.24169921875), (1, 597.8951416015625)]","[(0, 2725.4306640625), (1, 3040.048095703125)]","[(0, 8232.9267578125), (1, 2345.9599609375)]","[(0, 3785.656494140625), (1, 1348.63671875)]","[(0, 7554.1435546875), (1, 10408.7939453125)]","[(0, 2492.546630859375), (1, 2961.08642578125)]","[(0, 4673.4892578125), (1, 1534.207275390625)]","[(0, 11294.3837890625), (1, 12432.9951171875)]","[(0, 3319.1494140625), (1, 4046.226806640625)]","[(0, 7176.32666015625), (1, 4203.50390625)]","[(0, 6062.2421875), (1, 6112.353515625)]","[(0, 1172.9525146484375), (1, 1503.9974365234375)]","[(0, 1216.9466552734375), (1, 1693.1519775390625)]","[(0, 1970.434814453125), (1, 1242.717529296875)]","[(0, 2931.181884765625), (1, 2523.197998046875)]","[(0, 2414.250244140625), (1, 2178.03369140625)]","[(0, 2324.496826171875), (1, 3003.192138671875)]","[(0, 4768.20263671875), (1, 4968.67333984375)]"
