,best
agreement_determiner_noun-across_1_adjective,0.5145
agreement_determiner_noun-between_neighbors,0.5185
agreement_subject_verb-across_prepositional_phrase,0.499
agreement_subject_verb-across_relative_clause,0.498
agreement_subject_verb-in_question_with_aux,0.512
agreement_subject_verb-in_simple_question,0.499
anaphor_agreement-pronoun_gender,0.474
argument_structure-dropped_argument,0.4735
argument_structure-swapped_arguments,0.934
argument_structure-transitive,0.491
binding-principle_a,0.5765
case-subjective_pronoun,0.9685
ellipsis-n_bar,0.77
filler-gap-wh_question_object,1.0
filler-gap-wh_question_subject,1.0
irregular-verb,0.4965
island-effects-adjunct_island,0.8675
island-effects-coordinate_structure_constraint,0.2155
local_attractor-in_question_with_aux,0.387
npi_licensing-matrix_question,0.6645
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.2515
quantifiers-superlative,1.0
