,best
agreement_determiner_noun-across_1_adjective,0.5075
agreement_determiner_noun-between_neighbors,0.5
agreement_subject_verb-across_prepositional_phrase,0.5015
agreement_subject_verb-across_relative_clause,0.497
agreement_subject_verb-in_question_with_aux,0.497
agreement_subject_verb-in_simple_question,0.4975
anaphor_agreement-pronoun_gender,0.5525
argument_structure-dropped_argument,0.873
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5055
binding-principle_a,0.4695
case-subjective_pronoun,0.9965
ellipsis-n_bar,0.2645
filler-gap-wh_question_object,0.1205
filler-gap-wh_question_subject,0.9995
irregular-verb,0.497
island-effects-adjunct_island,0.454
island-effects-coordinate_structure_constraint,0.449
local_attractor-in_question_with_aux,0.803
npi_licensing-matrix_question,0.678
npi_licensing-only_npi_licensor,0.9065
quantifiers-existential_there,0.735
quantifiers-superlative,0.0205
