,best
agreement_determiner_noun-across_1_adjective,0.517
agreement_determiner_noun-between_neighbors,0.537
agreement_subject_verb-across_prepositional_phrase,0.5105
agreement_subject_verb-across_relative_clause,0.5095
agreement_subject_verb-in_question_with_aux,0.503
agreement_subject_verb-in_simple_question,0.5005
anaphor_agreement-pronoun_gender,0.5125
argument_structure-dropped_argument,0.9365
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.65
binding-principle_a,0.3275
case-subjective_pronoun,1.0
ellipsis-n_bar,0.2625
filler-gap-wh_question_object,0.425
filler-gap-wh_question_subject,0.701
irregular-verb,0.567
island-effects-adjunct_island,0.6025
island-effects-coordinate_structure_constraint,0.609
local_attractor-in_question_with_aux,0.433
npi_licensing-matrix_question,0.182
npi_licensing-only_npi_licensor,0.175
quantifiers-existential_there,0.738
quantifiers-superlative,0.5
