,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 1235.0330810546875), (1, 1007.7394409179688)]","[(0, 2680.31005859375), (1, 2230.99560546875)]","[(0, 1701.065673828125), (1, 1961.5018310546875)]","[(0, 2784.250732421875), (1, 2226.85595703125)]","[(0, 1273.57275390625), (1, 1212.8896484375)]","[(0, 751.1371459960938), (1, 356.8244934082031)]","[(0, 12581.4833984375), (1, 12970.26953125)]","[(0, 4264.478515625), (1, 2063.113037109375)]","[(0, 5897.1435546875), (1, 3423.524658203125)]","[(0, 20661.6796875), (1, 17027.6015625)]","[(0, 6266.39306640625), (1, 7618.388671875)]","[(0, 4071.728515625), (1, 1762.9945068359375)]","[(0, 8025.7919921875), (1, 9404.3505859375)]","[(0, 2432.17041015625), (1, 3725.543701171875)]","[(0, 5525.90771484375), (1, 4233.99609375)]","[(0, 3165.031982421875), (1, 3044.245849609375)]","[(0, 2830.181884765625), (1, 2658.669189453125)]","[(0, 2628.6171875), (1, 2526.027099609375)]","[(0, 2146.387939453125), (1, 2029.2503662109375)]","[(0, 2150.4736328125), (1, 1532.8304443359375)]","[(0, 9802.1337890625), (1, 9191.0556640625)]","[(0, 2821.176025390625), (1, 3083.67236328125)]","[(0, 2459.953125), (1, 2132.582763671875)]"
1,"[(0, 3244.612548828125), (1, 3046.162841796875)]","[(0, 2392.93701171875), (1, 1822.2542724609375)]","[(0, 1600.7967529296875), (1, 1859.25244140625)]","[(0, 1476.018310546875), (1, 1198.6138916015625)]","[(0, 979.0674438476562), (1, 780.7205200195312)]","[(0, 644.9110107421875), (1, 282.76336669921875)]","[(0, 7226.17138671875), (1, 6875.7783203125)]","[(0, 2104.31103515625), (1, 1948.739990234375)]","[(0, 2066.635009765625), (1, 1144.6904296875)]","[(0, 12301.841796875), (1, 13308.7216796875)]","[(0, 8986.6767578125), (1, 10687.49609375)]","[(0, 3252.152587890625), (1, 1334.345458984375)]","[(0, 7315.21533203125), (1, 7054.107421875)]","[(0, 2717.1142578125), (1, 4482.17431640625)]","[(0, 6541.982421875), (1, 4901.1953125)]","[(0, 2857.93115234375), (1, 2809.3037109375)]","[(0, 1869.07666015625), (1, 1901.0421142578125)]","[(0, 2000.7108154296875), (1, 2177.062744140625)]","[(0, 7048.83544921875), (1, 5691.03515625)]","[(0, 1307.95361328125), (1, 1632.422607421875)]","[(0, 3854.362548828125), (1, 3890.364990234375)]","[(0, 3071.257568359375), (1, 3224.761474609375)]","[(0, 5334.0458984375), (1, 5089.296875)]"
2,"[(0, 1394.55908203125), (1, 1417.9224853515625)]","[(0, 2613.505615234375), (1, 2075.811279296875)]","[(0, 1623.949951171875), (1, 1885.9522705078125)]","[(0, 1613.9630126953125), (1, 1328.242919921875)]","[(0, 1268.159423828125), (1, 997.3994140625)]","[(0, 838.7691650390625), (1, 388.6864013671875)]","[(0, 1999.8905029296875), (1, 2053.12939453125)]","[(0, 2537.644775390625), (1, 2907.12060546875)]","[(0, 4900.1435546875), (1, 2775.88720703125)]","[(0, 18201.2421875), (1, 15847.75390625)]","[(0, 7140.35009765625), (1, 6085.07568359375)]","[(0, 4922.39599609375), (1, 2661.033447265625)]","[(0, 8556.130859375), (1, 8373.3896484375)]","[(0, 3448.138671875), (1, 3003.876953125)]","[(0, 4381.58642578125), (1, 3338.922119140625)]","[(0, 3771.33984375), (1, 2928.35595703125)]","[(0, 4518.46630859375), (1, 4841.494140625)]","[(0, 1562.714111328125), (1, 1561.6466064453125)]","[(0, 2124.81787109375), (1, 2061.970458984375)]","[(0, 5378.6044921875), (1, 7431.9443359375)]","[(0, 6910.06640625), (1, 6260.2763671875)]","[(0, 2854.595947265625), (1, 2534.465576171875)]","[(0, 2503.457275390625), (1, 3290.05517578125)]"
3,"[(0, 2650.16259765625), (1, 2214.3359375)]","[(0, 2295.22900390625), (1, 1688.73974609375)]","[(0, 1512.1519775390625), (1, 1771.4686279296875)]","[(0, 1572.236328125), (1, 1270.080322265625)]","[(0, 2936.46728515625), (1, 2319.7763671875)]","[(0, 4503.59375), (1, 1870.7421875)]","[(0, 1652.293701171875), (1, 1598.93603515625)]","[(0, 4979.41748046875), (1, 3107.214599609375)]","[(0, 6157.9853515625), (1, 2083.108154296875)]","[(0, 10451.505859375), (1, 10185.7451171875)]","[(0, 10392.8642578125), (1, 8564.9970703125)]","[(0, 4657.13818359375), (1, 2357.89697265625)]","[(0, 5318.83203125), (1, 5129.10986328125)]","[(0, 2747.79833984375), (1, 3178.62890625)]","[(0, 6393.64404296875), (1, 4423.78759765625)]","[(0, 2363.041748046875), (1, 3035.320068359375)]","[(0, 2889.013427734375), (1, 3189.5908203125)]","[(0, 1935.309814453125), (1, 2095.734375)]","[(0, 3483.23876953125), (1, 2608.00439453125)]","[(0, 6535.32861328125), (1, 15012.49609375)]","[(0, 4795.88427734375), (1, 4129.1728515625)]","[(0, 3109.0966796875), (1, 2779.623779296875)]","[(0, 2015.0531005859375), (1, 2789.57568359375)]"
4,"[(0, 1535.0592041015625), (1, 1294.2987060546875)]","[(0, 2832.88916015625), (1, 3514.52783203125)]","[(0, 2274.71142578125), (1, 2008.0826416015625)]","[(0, 1628.26123046875), (1, 1315.24462890625)]","[(0, 2965.114501953125), (1, 2548.73828125)]","[(0, 1040.20751953125), (1, 592.7079467773438)]","[(0, 4601.56884765625), (1, 4901.26025390625)]","[(0, 2343.705810546875), (1, 2292.39599609375)]","[(0, 3190.409423828125), (1, 1344.8575439453125)]","[(0, 8103.5009765625), (1, 5352.666015625)]","[(0, 4355.19482421875), (1, 4790.51806640625)]","[(0, 4533.06787109375), (1, 1753.7313232421875)]","[(0, 4579.67041015625), (1, 4981.83984375)]","[(0, 2037.401611328125), (1, 3227.521240234375)]","[(0, 5002.17333984375), (1, 4204.82275390625)]","[(0, 3037.32666015625), (1, 2516.843994140625)]","[(0, 3223.11962890625), (1, 3430.55126953125)]","[(0, 1400.1207275390625), (1, 1104.6419677734375)]","[(0, 2276.606201171875), (1, 2188.8134765625)]","[(0, 7263.90380859375), (1, 5743.2568359375)]","[(0, 3529.61279296875), (1, 2908.27294921875)]","[(0, 2981.307861328125), (1, 2212.598388671875)]","[(0, 3004.7333984375), (1, 4944.14599609375)]"
5,"[(0, 3212.22607421875), (1, 2902.123291015625)]","[(0, 2502.8701171875), (1, 3397.002197265625)]","[(0, 2263.821533203125), (1, 1988.594482421875)]","[(0, 1968.4786376953125), (1, 1604.20703125)]","[(0, 3407.01123046875), (1, 2666.8994140625)]","[(0, 2099.085693359375), (1, 1016.5143432617188)]","[(0, 3231.0751953125), (1, 3257.935791015625)]","[(0, 2595.82958984375), (1, 2013.090087890625)]","[(0, 4623.52783203125), (1, 2072.245849609375)]","[(0, 13098.2412109375), (1, 10941.130859375)]","[(0, 5766.81884765625), (1, 6489.1904296875)]","[(0, 4045.0849609375), (1, 2028.4571533203125)]","[(0, 4120.8837890625), (1, 4234.72705078125)]","[(0, 3154.08203125), (1, 4381.55322265625)]","[(0, 4236.6259765625), (1, 3799.121337890625)]","[(0, 2431.48974609375), (1, 2410.6875)]","[(0, 2014.4757080078125), (1, 2208.755126953125)]","[(0, 1622.9908447265625), (1, 1358.155029296875)]","[(0, 6641.943359375), (1, 5362.552734375)]","[(0, 3969.01806640625), (1, 9249.8037109375)]","[(0, 2182.3447265625), (1, 1829.302734375)]","[(0, 2946.9638671875), (1, 2082.584716796875)]","[(0, 1281.717041015625), (1, 1229.0772705078125)]"
6,"[(0, 1395.679931640625), (1, 1342.9453125)]","[(0, 3176.147216796875), (1, 3936.985595703125)]","[(0, 2179.519287109375), (1, 1912.552001953125)]","[(0, 1261.9991455078125), (1, 1046.72412109375)]","[(0, 1072.768798828125), (1, 1122.0433349609375)]","[(0, 1312.2490234375), (1, 668.548095703125)]","[(0, 4158.7890625), (1, 4585.77587890625)]","[(0, 4861.75048828125), (1, 3526.77978515625)]","[(0, 3292.6318359375), (1, 1477.6343994140625)]","[(0, 11457.865234375), (1, 14464.4697265625)]","[(0, 4361.5546875), (1, 4050.238037109375)]","[(0, 6598.21044921875), (1, 3255.83935546875)]","[(0, 4023.297607421875), (1, 5067.98583984375)]","[(0, 5197.60888671875), (1, 7491.52685546875)]","[(0, 5753.62353515625), (1, 4442.6865234375)]","[(0, 7315.19482421875), (1, 7598.76806640625)]","[(0, 2994.0869140625), (1, 3104.634765625)]","[(0, 2132.753662109375), (1, 2379.75)]","[(0, 2791.04736328125), (1, 2185.156494140625)]","[(0, 6241.49853515625), (1, 3789.8974609375)]","[(0, 4435.2822265625), (1, 4756.42138671875)]","[(0, 2954.24755859375), (1, 2219.197265625)]","[(0, 3104.087158203125), (1, 3170.711669921875)]"
7,"[(0, 3078.1455078125), (1, 2694.3515625)]","[(0, 2649.611572265625), (1, 3651.23193359375)]","[(0, 2142.10400390625), (1, 1870.6939697265625)]","[(0, 2661.7099609375), (1, 3289.58740234375)]","[(0, 656.4152221679688), (1, 806.7837524414062)]","[(0, 952.90087890625), (1, 472.0128479003906)]","[(0, 2547.689697265625), (1, 2429.679443359375)]","[(0, 5543.03515625), (1, 1544.0543212890625)]","[(0, 4731.46142578125), (1, 2368.150634765625)]","[(0, 10356.7001953125), (1, 9904.06640625)]","[(0, 5459.49755859375), (1, 5386.8125)]","[(0, 4216.7255859375), (1, 1442.84423828125)]","[(0, 3470.62548828125), (1, 3753.034423828125)]","[(0, 8266.4970703125), (1, 9448.328125)]","[(0, 5209.66796875), (1, 3914.727783203125)]","[(0, 6174.3798828125), (1, 6841.41259765625)]","[(0, 1887.47265625), (1, 1939.87109375)]","[(0, 1460.055419921875), (1, 2110.87646484375)]","[(0, 2549.775146484375), (1, 1716.056884765625)]","[(0, 7513.169921875), (1, 6676.8671875)]","[(0, 2249.279296875), (1, 2439.05859375)]","[(0, 2521.77880859375), (1, 1911.8746337890625)]","[(0, 3395.5029296875), (1, 5783.20361328125)]"
8,"[(0, 1789.95703125), (1, 1930.595458984375)]","[(0, 3190.94482421875), (1, 3197.198486328125)]","[(0, 2905.982666015625), (1, 2661.06884765625)]","[(0, 1385.0855712890625), (1, 1684.265380859375)]","[(0, 842.7577514648438), (1, 1056.04541015625)]","[(0, 881.090087890625), (1, 407.871826171875)]","[(0, 2471.5732421875), (1, 2427.6123046875)]","[(0, 3711.719970703125), (1, 2577.26025390625)]","[(0, 3244.58447265625), (1, 1570.7099609375)]","[(0, 3223.737548828125), (1, 4236.52880859375)]","[(0, 1852.052490234375), (1, 2561.322509765625)]","[(0, 3414.166748046875), (1, 1780.1275634765625)]","[(0, 11119.099609375), (1, 11057.3759765625)]","[(0, 1860.4638671875), (1, 2787.727294921875)]","[(0, 5233.88037109375), (1, 4424.412109375)]","[(0, 7493.1484375), (1, 7088.41259765625)]","[(0, 2203.626708984375), (1, 2672.83349609375)]","[(0, 1108.4615478515625), (1, 1300.306640625)]","[(0, 2467.139892578125), (1, 2456.219970703125)]","[(0, 2776.50830078125), (1, 2608.541748046875)]","[(0, 5320.9326171875), (1, 4363.5927734375)]","[(0, 1718.154541015625), (1, 1647.6776123046875)]","[(0, 1700.7752685546875), (1, 2267.939208984375)]"
9,"[(0, 5567.48974609375), (1, 5346.7734375)]","[(0, 2790.7998046875), (1, 2602.904541015625)]","[(0, 3505.29248046875), (1, 3292.160888671875)]","[(0, 1533.1126708984375), (1, 1835.4888916015625)]","[(0, 1767.6378173828125), (1, 2220.262939453125)]","[(0, 1085.120361328125), (1, 515.8665771484375)]","[(0, 2442.18798828125), (1, 2533.816650390625)]","[(0, 5648.68603515625), (1, 3064.052001953125)]","[(0, 2991.6064453125), (1, 1849.9305419921875)]","[(0, 4715.48388671875), (1, 5709.10986328125)]","[(0, 2513.36474609375), (1, 3305.849853515625)]","[(0, 3579.238037109375), (1, 1930.608154296875)]","[(0, 10469.841796875), (1, 10151.6201171875)]","[(0, 2537.133056640625), (1, 3447.27734375)]","[(0, 5525.49658203125), (1, 4683.75146484375)]","[(0, 6360.2685546875), (1, 6147.0009765625)]","[(0, 1357.561279296875), (1, 1668.6556396484375)]","[(0, 1657.3359375), (1, 1896.0576171875)]","[(0, 3440.02587890625), (1, 2092.893310546875)]","[(0, 3192.332763671875), (1, 2717.89453125)]","[(0, 2261.696044921875), (1, 1894.9810791015625)]","[(0, 1753.822509765625), (1, 1708.9549560546875)]","[(0, 4068.180908203125), (1, 3904.8427734375)]"
