,best
agreement_determiner_noun-across_1_adjective,0.518
agreement_determiner_noun-between_neighbors,0.507
agreement_subject_verb-across_prepositional_phrase,0.49
agreement_subject_verb-across_relative_clause,0.492
agreement_subject_verb-in_question_with_aux,0.495
agreement_subject_verb-in_simple_question,0.4815
anaphor_agreement-pronoun_gender,0.4945
argument_structure-dropped_argument,0.406
argument_structure-swapped_arguments,0.931
argument_structure-transitive,0.529
binding-principle_a,0.5705
case-subjective_pronoun,0.9345
ellipsis-n_bar,0.537
filler-gap-wh_question_object,0.7695
filler-gap-wh_question_subject,1.0
irregular-verb,0.4605
island-effects-adjunct_island,0.846
island-effects-coordinate_structure_constraint,0.2095
local_attractor-in_question_with_aux,0.66
npi_licensing-matrix_question,0.548
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.697
quantifiers-superlative,0.966
