,best
agreement_determiner_noun-across_1_adjective,0.4985
agreement_determiner_noun-between_neighbors,0.4885
agreement_subject_verb-across_prepositional_phrase,0.5045
agreement_subject_verb-across_relative_clause,0.487
agreement_subject_verb-in_question_with_aux,0.4525
agreement_subject_verb-in_simple_question,0.4955
anaphor_agreement-pronoun_gender,0.543
argument_structure-dropped_argument,0.7585
argument_structure-swapped_arguments,0.783
argument_structure-transitive,0.4995
binding-principle_a,0.41
case-subjective_pronoun,0.591
ellipsis-n_bar,0.358
filler-gap-wh_question_object,0.195
filler-gap-wh_question_subject,1.0
irregular-verb,0.495
island-effects-adjunct_island,0.4715
island-effects-coordinate_structure_constraint,0.3225
local_attractor-in_question_with_aux,0.789
npi_licensing-matrix_question,0.4825
npi_licensing-only_npi_licensor,0.841
quantifiers-existential_there,0.6305
quantifiers-superlative,0.509
