,best
agreement_determiner_noun-across_1_adjective,0.5095
agreement_determiner_noun-between_neighbors,0.541
agreement_subject_verb-across_prepositional_phrase,0.505
agreement_subject_verb-across_relative_clause,0.503
agreement_subject_verb-in_question_with_aux,0.504
agreement_subject_verb-in_simple_question,0.5
anaphor_agreement-pronoun_gender,0.523
argument_structure-dropped_argument,0.8195
argument_structure-swapped_arguments,0.9995
argument_structure-transitive,0.671
binding-principle_a,0.262
case-subjective_pronoun,0.9995
ellipsis-n_bar,0.217
filler-gap-wh_question_object,0.3845
filler-gap-wh_question_subject,0.786
irregular-verb,0.65
island-effects-adjunct_island,0.544
island-effects-coordinate_structure_constraint,0.2895
local_attractor-in_question_with_aux,0.54
npi_licensing-matrix_question,0.4155
npi_licensing-only_npi_licensor,0.6855
quantifiers-existential_there,0.661
quantifiers-superlative,0.4075
