,best
agreement_determiner_noun-across_1_adjective,0.54
agreement_determiner_noun-between_neighbors,0.5625
agreement_subject_verb-across_prepositional_phrase,0.512
agreement_subject_verb-across_relative_clause,0.504
agreement_subject_verb-in_question_with_aux,0.4915
agreement_subject_verb-in_simple_question,0.4985
anaphor_agreement-pronoun_gender,0.5215
argument_structure-dropped_argument,0.8685
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.602
binding-principle_a,0.5085
case-subjective_pronoun,1.0
ellipsis-n_bar,0.2475
filler-gap-wh_question_object,0.2135
filler-gap-wh_question_subject,0.89
irregular-verb,0.5895
island-effects-adjunct_island,0.7045
island-effects-coordinate_structure_constraint,0.425
local_attractor-in_question_with_aux,0.5985
npi_licensing-matrix_question,0.4945
npi_licensing-only_npi_licensor,0.652
quantifiers-existential_there,0.7395
quantifiers-superlative,0.5065
