,best
agreement_determiner_noun-across_1_adjective,0.5405
agreement_determiner_noun-between_neighbors,0.5705
agreement_subject_verb-across_prepositional_phrase,0.517
agreement_subject_verb-across_relative_clause,0.5045
agreement_subject_verb-in_question_with_aux,0.492
agreement_subject_verb-in_simple_question,0.502
anaphor_agreement-pronoun_gender,0.5225
argument_structure-dropped_argument,0.868
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6025
binding-principle_a,0.5185
case-subjective_pronoun,1.0
ellipsis-n_bar,0.252
filler-gap-wh_question_object,0.2285
filler-gap-wh_question_subject,0.89
irregular-verb,0.588
island-effects-adjunct_island,0.6945
island-effects-coordinate_structure_constraint,0.4425
local_attractor-in_question_with_aux,0.5895
npi_licensing-matrix_question,0.497
npi_licensing-only_npi_licensor,0.639
quantifiers-existential_there,0.742
quantifiers-superlative,0.503
