,best
agreement_determiner_noun-across_1_adjective,0.511
agreement_determiner_noun-between_neighbors,0.5335
agreement_subject_verb-across_prepositional_phrase,0.502
agreement_subject_verb-across_relative_clause,0.529
agreement_subject_verb-in_question_with_aux,0.499
agreement_subject_verb-in_simple_question,0.4995
anaphor_agreement-pronoun_gender,0.5245
argument_structure-dropped_argument,0.9105
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6305
binding-principle_a,0.3615
case-subjective_pronoun,1.0
ellipsis-n_bar,0.1565
filler-gap-wh_question_object,0.349
filler-gap-wh_question_subject,0.684
irregular-verb,0.5675
island-effects-adjunct_island,0.6425
island-effects-coordinate_structure_constraint,0.485
local_attractor-in_question_with_aux,0.499
npi_licensing-matrix_question,0.178
npi_licensing-only_npi_licensor,0.4305
quantifiers-existential_there,0.7205
quantifiers-superlative,0.488
