,best
agreement_determiner_noun-across_1_adjective,0.512
agreement_determiner_noun-between_neighbors,0.534
agreement_subject_verb-across_prepositional_phrase,0.504
agreement_subject_verb-across_relative_clause,0.515
agreement_subject_verb-in_question_with_aux,0.499
agreement_subject_verb-in_simple_question,0.5025
anaphor_agreement-pronoun_gender,0.5245
argument_structure-dropped_argument,0.912
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6395
binding-principle_a,0.407
case-subjective_pronoun,1.0
ellipsis-n_bar,0.1905
filler-gap-wh_question_object,0.386
filler-gap-wh_question_subject,0.7315
irregular-verb,0.5935
island-effects-adjunct_island,0.641
island-effects-coordinate_structure_constraint,0.47
local_attractor-in_question_with_aux,0.54
npi_licensing-matrix_question,0.157
npi_licensing-only_npi_licensor,0.214
quantifiers-existential_there,0.729
quantifiers-superlative,0.482
