,best
agreement_determiner_noun-across_1_adjective,0.5075
agreement_determiner_noun-between_neighbors,0.561
agreement_subject_verb-across_prepositional_phrase,0.5015
agreement_subject_verb-across_relative_clause,0.535
agreement_subject_verb-in_question_with_aux,0.494
agreement_subject_verb-in_simple_question,0.507
anaphor_agreement-pronoun_gender,0.499
argument_structure-dropped_argument,0.7735
argument_structure-swapped_arguments,0.998
argument_structure-transitive,0.631
binding-principle_a,0.4185
case-subjective_pronoun,1.0
ellipsis-n_bar,0.537
filler-gap-wh_question_object,0.21
filler-gap-wh_question_subject,0.883
irregular-verb,0.704
island-effects-adjunct_island,0.386
island-effects-coordinate_structure_constraint,0.5975
local_attractor-in_question_with_aux,0.631
npi_licensing-matrix_question,0.211
npi_licensing-only_npi_licensor,0.49
quantifiers-existential_there,0.7505
quantifiers-superlative,0.509
