,best
agreement_determiner_noun-across_1_adjective,0.5105
agreement_determiner_noun-between_neighbors,0.54
agreement_subject_verb-across_prepositional_phrase,0.5055
agreement_subject_verb-across_relative_clause,0.523
agreement_subject_verb-in_question_with_aux,0.4975
agreement_subject_verb-in_simple_question,0.5005
anaphor_agreement-pronoun_gender,0.5225
argument_structure-dropped_argument,0.9135
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.641
binding-principle_a,0.3865
case-subjective_pronoun,1.0
ellipsis-n_bar,0.1845
filler-gap-wh_question_object,0.3475
filler-gap-wh_question_subject,0.693
irregular-verb,0.5845
island-effects-adjunct_island,0.661
island-effects-coordinate_structure_constraint,0.4585
local_attractor-in_question_with_aux,0.5125
npi_licensing-matrix_question,0.1725
npi_licensing-only_npi_licensor,0.4785
quantifiers-existential_there,0.7315
quantifiers-superlative,0.4855
