,best
agreement_determiner_noun-across_1_adjective,0.5015
agreement_determiner_noun-between_neighbors,0.5605
agreement_subject_verb-across_prepositional_phrase,0.5035
agreement_subject_verb-across_relative_clause,0.4995
agreement_subject_verb-in_question_with_aux,0.483
agreement_subject_verb-in_simple_question,0.489
anaphor_agreement-pronoun_gender,0.533
argument_structure-dropped_argument,0.471
argument_structure-swapped_arguments,0.9625
argument_structure-transitive,0.4215
binding-principle_a,0.559
case-subjective_pronoun,0.9345
ellipsis-n_bar,0.228
filler-gap-wh_question_object,0.726
filler-gap-wh_question_subject,1.0
irregular-verb,0.507
island-effects-adjunct_island,0.3415
island-effects-coordinate_structure_constraint,0.071
local_attractor-in_question_with_aux,0.5395
npi_licensing-matrix_question,0.593
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.6815
quantifiers-superlative,0.2835
