,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 19197.484375), (1, 16803.5)]","[(0, 28260.837890625), (1, 25460.392578125)]","[(0, 24706.849609375), (1, 26222.115234375)]","[(0, 25540.623046875), (1, 33624.359375)]","[(0, 28896.5), (1, 34659.6328125)]","[(0, 29819.177734375), (1, 24300.896484375)]","[(0, 35241.92578125), (1, 33055.6484375)]","[(0, 28488.03125), (1, 29258.37890625)]","[(0, 30874.01953125), (1, 18965.451171875)]","[(0, 58197.171875), (1, 45784.9375)]","[(0, 19969.6328125), (1, 20496.84375)]","[(0, 31084.431640625), (1, 30319.5390625)]","[(0, 23786.64453125), (1, 25947.232421875)]","[(0, 19895.818359375), (1, 18417.7421875)]","[(0, 26514.974609375), (1, 16747.712890625)]","[(0, 25574.673828125), (1, 24769.626953125)]","[(0, 36254.25390625), (1, 42077.57421875)]","[(0, 34738.09375), (1, 35015.5234375)]","[(0, 23165.552734375), (1, 30564.65234375)]","[(0, 32477.931640625), (1, 25745.751953125)]","[(0, 23764.513671875), (1, 18742.083984375)]","[(0, 24536.236328125), (1, 27116.07421875)]","[(0, 35703.3515625), (1, 37034.3359375)]"
1,"[(0, 24471.271484375), (1, 28232.201171875)]","[(0, 32831.390625), (1, 28688.857421875)]","[(0, 25661.720703125), (1, 27538.650390625)]","[(0, 22854.349609375), (1, 31703.71484375)]","[(0, 26899.33203125), (1, 30260.205078125)]","[(0, 29282.634765625), (1, 22907.4609375)]","[(0, 40169.890625), (1, 38835.83203125)]","[(0, 37557.50390625), (1, 37944.8515625)]","[(0, 26167.029296875), (1, 12192.4267578125)]","[(0, 37159.75390625), (1, 32340.052734375)]","[(0, 28181.06640625), (1, 27840.583984375)]","[(0, 25806.001953125), (1, 25868.982421875)]","[(0, 26431.732421875), (1, 28093.130859375)]","[(0, 20245.880859375), (1, 17570.662109375)]","[(0, 25181.416015625), (1, 16130.9892578125)]","[(0, 28419.43359375), (1, 29402.1796875)]","[(0, 26417.6953125), (1, 31666.66796875)]","[(0, 30742.36328125), (1, 32261.37890625)]","[(0, 32056.6015625), (1, 27779.3984375)]","[(0, 38120.65234375), (1, 17517.138671875)]","[(0, 24609.9140625), (1, 18681.66015625)]","[(0, 30372.55859375), (1, 32901.0078125)]","[(0, 19230.98046875), (1, 20312.525390625)]"
2,"[(0, 23023.912109375), (1, 26563.1875)]","[(0, 20214.955078125), (1, 17611.025390625)]","[(0, 23527.734375), (1, 25049.94140625)]","[(0, 25523.8203125), (1, 35117.98828125)]","[(0, 36405.6953125), (1, 38717.7890625)]","[(0, 19774.037109375), (1, 13972.501953125)]","[(0, 39278.89453125), (1, 39916.85546875)]","[(0, 37188.15234375), (1, 39974.37890625)]","[(0, 32419.7265625), (1, 27119.123046875)]","[(0, 53029.87109375), (1, 50503.77734375)]","[(0, 19047.869140625), (1, 20562.236328125)]","[(0, 28995.82421875), (1, 18060.201171875)]","[(0, 43921.90234375), (1, 45630.015625)]","[(0, 27538.75390625), (1, 25784.671875)]","[(0, 59124.6328125), (1, 50879.11328125)]","[(0, 28206.072265625), (1, 34817.9609375)]","[(0, 28401.2265625), (1, 26254.1171875)]","[(0, 21066.162109375), (1, 22706.25)]","[(0, 27062.388671875), (1, 27034.736328125)]","[(0, 41789.91796875), (1, 48211.22265625)]","[(0, 44284.796875), (1, 31278.822265625)]","[(0, 28056.103515625), (1, 26864.953125)]","[(0, 42076.4921875), (1, 38730.9765625)]"
3,"[(0, 28872.341796875), (1, 25479.97265625)]","[(0, 22036.4453125), (1, 18342.998046875)]","[(0, 23527.734375), (1, 25196.189453125)]","[(0, 27642.55859375), (1, 35843.9765625)]","[(0, 41766.44921875), (1, 42260.59375)]","[(0, 40661.81640625), (1, 35723.88671875)]","[(0, 38343.31640625), (1, 38484.28515625)]","[(0, 28867.744140625), (1, 31245.87890625)]","[(0, 47684.59375), (1, 25107.033203125)]","[(0, 27895.625), (1, 37922.890625)]","[(0, 26314.75390625), (1, 27677.21875)]","[(0, 42334.6171875), (1, 17440.162109375)]","[(0, 28569.0546875), (1, 30159.369140625)]","[(0, 22098.21484375), (1, 23252.650390625)]","[(0, 63964.1015625), (1, 53205.95703125)]","[(0, 35686.05859375), (1, 29793.564453125)]","[(0, 21858.97265625), (1, 20363.69140625)]","[(0, 18456.25), (1, 23631.669921875)]","[(0, 33535.5234375), (1, 30897.701171875)]","[(0, 27142.748046875), (1, 33919.6015625)]","[(0, 50002.8671875), (1, 33535.77734375)]","[(0, 29866.5078125), (1, 29714.369140625)]","[(0, 30078.2265625), (1, 26714.87890625)]"
4,"[(0, 27650.546875), (1, 23866.46875)]","[(0, 24938.484375), (1, 27505.892578125)]","[(0, 25746.5625), (1, 24210.265625)]","[(0, 23585.8984375), (1, 30810.220703125)]","[(0, 43053.609375), (1, 46900.3828125)]","[(0, 27064.427734375), (1, 23740.45703125)]","[(0, 27954.505859375), (1, 26059.64453125)]","[(0, 33090.53125), (1, 31940.3046875)]","[(0, 38244.82421875), (1, 29507.15234375)]","[(0, 21749.720703125), (1, 25208.6640625)]","[(0, 12411.73046875), (1, 11855.8779296875)]","[(0, 30217.265625), (1, 30489.86328125)]","[(0, 19210.505859375), (1, 24899.62890625)]","[(0, 19796.69921875), (1, 20125.890625)]","[(0, 31913.115234375), (1, 25015.13671875)]","[(0, 14903.1279296875), (1, 14380.0615234375)]","[(0, 26482.7265625), (1, 23192.5)]","[(0, 16306.49609375), (1, 18521.240234375)]","[(0, 23382.96484375), (1, 24054.45703125)]","[(0, 30747.34765625), (1, 41221.203125)]","[(0, 59783.9921875), (1, 40027.29296875)]","[(0, 25277.94921875), (1, 21653.771484375)]","[(0, 24117.94921875), (1, 24724.87890625)]"
5,"[(0, 17526.345703125), (1, 19089.259765625)]","[(0, 28742.369140625), (1, 32159.548828125)]","[(0, 27108.912109375), (1, 25371.390625)]","[(0, 31116.671875), (1, 41623.10546875)]","[(0, 43960.1640625), (1, 42964.8046875)]","[(0, 27391.9453125), (1, 22694.01953125)]","[(0, 29278.728515625), (1, 30859.18359375)]","[(0, 31987.615234375), (1, 30020.109375)]","[(0, 28132.3828125), (1, 18774.1953125)]","[(0, 46019.57421875), (1, 43595.4375)]","[(0, 14016.0234375), (1, 13520.8173828125)]","[(0, 53821.83984375), (1, 23736.26953125)]","[(0, 20114.76171875), (1, 25764.787109375)]","[(0, 28411.736328125), (1, 21557.46484375)]","[(0, 29601.205078125), (1, 22744.609375)]","[(0, 17531.2109375), (1, 17399.859375)]","[(0, 19391.8125), (1, 16966.134765625)]","[(0, 14007.6982421875), (1, 14730.5126953125)]","[(0, 30900.529296875), (1, 33765.65234375)]","[(0, 19111.955078125), (1, 25115.98828125)]","[(0, 66453.671875), (1, 43203.65234375)]","[(0, 28118.595703125), (1, 24250.42578125)]","[(0, 32885.88671875), (1, 37336.41015625)]"
6,"[(0, 18373.583984375), (1, 20103.158203125)]","[(0, 32497.326171875), (1, 35719.90234375)]","[(0, 27326.921875), (1, 25436.439453125)]","[(0, 29738.154296875), (1, 40459.2421875)]","[(0, 24600.458984375), (1, 20083.517578125)]","[(0, 39154.27734375), (1, 33297.0546875)]","[(0, 26795.279296875), (1, 25707.869140625)]","[(0, 24137.990234375), (1, 31085.083984375)]","[(0, 21187.353515625), (1, 19583.16015625)]","[(0, 50766.95703125), (1, 54452.53125)]","[(0, 13197.6611328125), (1, 12832.482421875)]","[(0, 33058.515625), (1, 18845.517578125)]","[(0, 20233.56640625), (1, 19733.515625)]","[(0, 24213.9609375), (1, 23127.939453125)]","[(0, 36044.09765625), (1, 26207.5625)]","[(0, 46742.4921875), (1, 55339.15625)]","[(0, 35573.44921875), (1, 36995.47265625)]","[(0, 30220.033203125), (1, 32479.51171875)]","[(0, 39544.3203125), (1, 33388.984375)]","[(0, 38583.6953125), (1, 37647.984375)]","[(0, 27827.2578125), (1, 19581.10546875)]","[(0, 24486.306640625), (1, 20426.359375)]","[(0, 32813.953125), (1, 36513.16796875)]"
7,"[(0, 40997.46484375), (1, 36164.05859375)]","[(0, 36714.99609375), (1, 41908.296875)]","[(0, 28573.279296875), (1, 26310.162109375)]","[(0, 33273.08984375), (1, 25605.078125)]","[(0, 22239.544921875), (1, 19644.26953125)]","[(0, 23722.486328125), (1, 19128.203125)]","[(0, 28771.302734375), (1, 29847.203125)]","[(0, 33760.6953125), (1, 29783.736328125)]","[(0, 30206.056640625), (1, 15367.7587890625)]","[(0, 47563.05859375), (1, 47543.91796875)]","[(0, 15417.8759765625), (1, 16543.095703125)]","[(0, 33886.171875), (1, 31331.1875)]","[(0, 26974.447265625), (1, 26334.962890625)]","[(0, 21781.9140625), (1, 21761.171875)]","[(0, 37868.2109375), (1, 25716.8203125)]","[(0, 57691.2109375), (1, 51942.62109375)]","[(0, 24674.77734375), (1, 25104.90234375)]","[(0, 27008.34765625), (1, 30959.525390625)]","[(0, 28310.607421875), (1, 24462.66015625)]","[(0, 25087.955078125), (1, 27262.6796875)]","[(0, 28496.78125), (1, 20505.525390625)]","[(0, 27367.13671875), (1, 23458.591796875)]","[(0, 27216.95703125), (1, 27093.89453125)]"
8,"[(0, 20352.76171875), (1, 23132.92578125)]","[(0, 31536.443359375), (1, 25682.287109375)]","[(0, 39269.1171875), (1, 52762.8125)]","[(0, 31544.0546875), (1, 22989.7265625)]","[(0, 28917.701171875), (1, 26153.95703125)]","[(0, 24285.2578125), (1, 18731.736328125)]","[(0, 26428.23046875), (1, 23171.365234375)]","[(0, 41569.5546875), (1, 40843.4296875)]","[(0, 40114.6484375), (1, 28364.73828125)]","[(0, 25525.501953125), (1, 27639.130859375)]","[(0, 19358.185546875), (1, 21471.947265625)]","[(0, 29107.396484375), (1, 17017.357421875)]","[(0, 37933.88671875), (1, 39929.1875)]","[(0, 26490.279296875), (1, 26665.95703125)]","[(0, 32712.501953125), (1, 21812.66015625)]","[(0, 21631.646484375), (1, 19673.9296875)]","[(0, 22588.625), (1, 26357.025390625)]","[(0, 17801.345703125), (1, 20362.759765625)]","[(0, 29792.201171875), (1, 31762.12109375)]","[(0, 21092.958984375), (1, 17356.05859375)]","[(0, 53426.73046875), (1, 37144.51953125)]","[(0, 21313.587890625), (1, 23775.689453125)]","[(0, 34516.24609375), (1, 32839.78125)]"
9,"[(0, 30331.888671875), (1, 27534.291015625)]","[(0, 38128.98046875), (1, 27929.296875)]","[(0, 37633.265625), (1, 49331.8828125)]","[(0, 35763.328125), (1, 26304.76953125)]","[(0, 34994.79296875), (1, 34278.6484375)]","[(0, 21319.50390625), (1, 15361.53125)]","[(0, 20170.4296875), (1, 22590.37109375)]","[(0, 28458.326171875), (1, 33910.48046875)]","[(0, 26428.68359375), (1, 15994.8369140625)]","[(0, 44411.8046875), (1, 31336.74609375)]","[(0, 26435.13671875), (1, 28027.701171875)]","[(0, 34630.2265625), (1, 22579.171875)]","[(0, 32539.875), (1, 33279.0546875)]","[(0, 25512.04296875), (1, 24405.640625)]","[(0, 30478.787109375), (1, 20983.251953125)]","[(0, 21701.423828125), (1, 23309.177734375)]","[(0, 16518.55078125), (1, 18889.04296875)]","[(0, 19898.779296875), (1, 21525.705078125)]","[(0, 19746.333984375), (1, 18577.28125)]","[(0, 23013.244140625), (1, 21027.884765625)]","[(0, 55758.03125), (1, 37214.94140625)]","[(0, 17104.080078125), (1, 19635.22265625)]","[(0, 30347.05078125), (1, 33956.46875)]"
