,best
agreement_determiner_noun-across_1_adjective,0.5075
agreement_determiner_noun-between_neighbors,0.543
agreement_subject_verb-across_prepositional_phrase,0.5075
agreement_subject_verb-across_relative_clause,0.526
agreement_subject_verb-in_question_with_aux,0.5045
agreement_subject_verb-in_simple_question,0.507
anaphor_agreement-pronoun_gender,0.5075
argument_structure-dropped_argument,0.73
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5845
binding-principle_a,0.423
case-subjective_pronoun,1.0
ellipsis-n_bar,0.544
filler-gap-wh_question_object,0.197
filler-gap-wh_question_subject,0.8305
irregular-verb,0.6795
island-effects-adjunct_island,0.335
island-effects-coordinate_structure_constraint,0.6295
local_attractor-in_question_with_aux,0.649
npi_licensing-matrix_question,0.347
npi_licensing-only_npi_licensor,0.4435
quantifiers-existential_there,0.73
quantifiers-superlative,0.509
