,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
10,"[(0, 2318.902587890625), (1, 2522.974365234375)]","[(0, 10924.65625), (1, 8771.5888671875)]","[(0, 3044.260498046875), (1, 3207.144775390625)]","[(0, 2316.6005859375), (1, 2074.781982421875)]","[(0, 2395.11865234375), (1, 3423.0380859375)]","[(0, 9455.6923828125), (1, 3951.184814453125)]","[(0, 1799.322265625), (1, 1640.2408447265625)]","[(0, 16095.0478515625), (1, 5224.28076171875)]","[(0, 8643.7626953125), (1, 2721.176513671875)]","[(0, 10890.08984375), (1, 10105.814453125)]","[(0, 4157.71826171875), (1, 4041.776123046875)]","[(0, 9465.111328125), (1, 2560.26513671875)]","[(0, 15647.7431640625), (1, 12570.701171875)]","[(0, 1605.1221923828125), (1, 2457.74755859375)]","[(0, 4975.43505859375), (1, 4681.76416015625)]","[(0, 5220.50537109375), (1, 4979.66455078125)]","[(0, 5771.3798828125), (1, 4422.87255859375)]","[(0, 5335.2060546875), (1, 4764.833984375)]","[(0, 9073.3876953125), (1, 10188.6015625)]","[(0, 4255.552734375), (1, 3415.544677734375)]","[(0, 6872.828125), (1, 5857.09716796875)]","[(0, 3967.572265625), (1, 3841.163330078125)]","[(0, 5290.6943359375), (1, 8437.453125)]"
11,"[(0, 2380.67724609375), (1, 2707.497314453125)]","[(0, 7529.287109375), (1, 6278.23095703125)]","[(0, 3984.327880859375), (1, 4128.6806640625)]","[(0, 2317.5185546875), (1, 2099.3671875)]","[(0, 2518.159423828125), (1, 3094.663818359375)]","[(0, 2018.2601318359375), (1, 1069.03955078125)]","[(0, 2420.589111328125), (1, 2690.1103515625)]","[(0, 25041.53515625), (1, 9828.18359375)]","[(0, 5157.11181640625), (1, 2151.093994140625)]","[(0, 63188.63671875), (1, 81602.34375)]","[(0, 5153.89111328125), (1, 5190.154296875)]","[(0, 4762.2626953125), (1, 1753.6544189453125)]","[(0, 12754.373046875), (1, 10343.99609375)]","[(0, 2504.583251953125), (1, 2251.9794921875)]","[(0, 3103.69921875), (1, 2885.875732421875)]","[(0, 3722.720458984375), (1, 3322.649169921875)]","[(0, 4794.4853515625), (1, 3795.728271484375)]","[(0, 4321.03466796875), (1, 4500.7216796875)]","[(0, 10695.2451171875), (1, 8265.0078125)]","[(0, 3565.052734375), (1, 6594.37939453125)]","[(0, 3905.591552734375), (1, 3325.616455078125)]","[(0, 4547.20849609375), (1, 4652.84130859375)]","[(0, 3321.831787109375), (1, 2667.458984375)]"
12,"[(0, 1782.244140625), (1, 2091.44287109375)]","[(0, 11999.6357421875), (1, 13867.099609375)]","[(0, 2996.26318359375), (1, 2832.698486328125)]","[(0, 2673.96533203125), (1, 2403.3740234375)]","[(0, 4050.52392578125), (1, 3061.866943359375)]","[(0, 2971.3095703125), (1, 1384.8359375)]","[(0, 6683.49853515625), (1, 5584.7568359375)]","[(0, 12623.0068359375), (1, 4622.1572265625)]","[(0, 10675.4755859375), (1, 3419.70654296875)]","[(0, 51667.3359375), (1, 72624.25)]","[(0, 1640.1776123046875), (1, 1829.9605712890625)]","[(0, 4026.01513671875), (1, 2298.38525390625)]","[(0, 5117.63232421875), (1, 4419.24658203125)]","[(0, 5097.1220703125), (1, 5452.79052734375)]","[(0, 5768.68896484375), (1, 4890.03173828125)]","[(0, 1588.4000244140625), (1, 1514.8980712890625)]","[(0, 4566.87841796875), (1, 5400.99462890625)]","[(0, 3140.668212890625), (1, 2522.23095703125)]","[(0, 1675.6588134765625), (1, 1993.8955078125)]","[(0, 4276.51318359375), (1, 3316.725830078125)]","[(0, 12806.2099609375), (1, 11621.9521484375)]","[(0, 2650.3974609375), (1, 2335.658447265625)]","[(0, 5671.67626953125), (1, 4915.1298828125)]"
13,"[(0, 4220.2939453125), (1, 4886.400390625)]","[(0, 8594.1572265625), (1, 9859.115234375)]","[(0, 3972.54736328125), (1, 3759.851806640625)]","[(0, 1565.6915283203125), (1, 1395.6912841796875)]","[(0, 2849.948486328125), (1, 3710.587646484375)]","[(0, 2396.84130859375), (1, 1253.4822998046875)]","[(0, 3097.646240234375), (1, 3517.861083984375)]","[(0, 12136.6259765625), (1, 2778.6259765625)]","[(0, 5727.05078125), (1, 1969.78662109375)]","[(0, 24659.556640625), (1, 7111.5693359375)]","[(0, 2299.22607421875), (1, 2531.980712890625)]","[(0, 9683.759765625), (1, 3559.060546875)]","[(0, 4340.56201171875), (1, 3789.65869140625)]","[(0, 8170.92236328125), (1, 7750.2294921875)]","[(0, 4411.0693359375), (1, 4103.84375)]","[(0, 1318.5709228515625), (1, 1250.9219970703125)]","[(0, 3839.73486328125), (1, 4416.22119140625)]","[(0, 4078.94970703125), (1, 4167.01513671875)]","[(0, 11034.421875), (1, 7818.333984375)]","[(0, 2675.73583984375), (1, 7602.2763671875)]","[(0, 3399.604736328125), (1, 3102.79638671875)]","[(0, 2954.194091796875), (1, 2633.707275390625)]","[(0, 2554.591796875), (1, 2035.3536376953125)]"
14,"[(0, 2065.430419921875), (1, 2340.49267578125)]","[(0, 11169.7529296875), (1, 12946.0869140625)]","[(0, 3352.073486328125), (1, 3203.956298828125)]","[(0, 2739.377197265625), (1, 2607.72216796875)]","[(0, 1852.1973876953125), (1, 980.4825439453125)]","[(0, 1233.384033203125), (1, 2541.494384765625)]","[(0, 2526.9150390625), (1, 2142.420654296875)]","[(0, 55572.76171875), (1, 41610.20703125)]","[(0, 9679.1337890625), (1, 3058.572021484375)]","[(0, 97279.1640625), (1, 103768.453125)]","[(0, 2090.5732421875), (1, 2014.7225341796875)]","[(0, 8399.4228515625), (1, 5064.2177734375)]","[(0, 2974.040771484375), (1, 2821.763916015625)]","[(0, 3504.794677734375), (1, 4870.53076171875)]","[(0, 4176.35595703125), (1, 3681.02685546875)]","[(0, 1439.584716796875), (1, 1442.3917236328125)]","[(0, 6908.1748046875), (1, 8306.5478515625)]","[(0, 4077.876220703125), (1, 4661.34619140625)]","[(0, 966.6431274414062), (1, 1029.236572265625)]","[(0, 11101.076171875), (1, 9459.0654296875)]","[(0, 23491.2109375), (1, 22577.62109375)]","[(0, 5669.6806640625), (1, 4662.57373046875)]","[(0, 2489.88916015625), (1, 2227.266845703125)]"
15,"[(0, 2803.131103515625), (1, 3233.504150390625)]","[(0, 7633.654296875), (1, 8681.484375)]","[(0, 4475.38330078125), (1, 4311.15185546875)]","[(0, 2168.940185546875), (1, 2054.71337890625)]","[(0, 1802.6156005859375), (1, 805.718017578125)]","[(0, 1023.2185668945312), (1, 2119.9365234375)]","[(0, 2116.16748046875), (1, 2484.07958984375)]","[(0, 10726.072265625), (1, 4150.8681640625)]","[(0, 11217.0751953125), (1, 4438.03662109375)]","[(0, 44280.57421875), (1, 48488.15625)]","[(0, 2734.14013671875), (1, 2819.68310546875)]","[(0, 8877.330078125), (1, 4382.9990234375)]","[(0, 2663.18994140625), (1, 3032.221435546875)]","[(0, 4320.404296875), (1, 5974.26416015625)]","[(0, 4899.31640625), (1, 4404.8310546875)]","[(0, 869.5595703125), (1, 1331.1767578125)]","[(0, 5841.3662109375), (1, 6704.3291015625)]","[(0, 2953.97998046875), (1, 2986.350341796875)]","[(0, 1352.39697265625), (1, 1033.1988525390625)]","[(0, 17125.8203125), (1, 25241.62109375)]","[(0, 8745.7783203125), (1, 7913.9423828125)]","[(0, 6878.7822265625), (1, 4942.1044921875)]","[(0, 2722.182373046875), (1, 3092.48974609375)]"
16,"[(0, 1454.5052490234375), (1, 1162.5205078125)]","[(0, 7146.78125), (1, 4390.2236328125)]","[(0, 1949.505859375), (1, 1458.423583984375)]","[(0, 2242.6640625), (1, 2114.188720703125)]","[(0, 1018.1651611328125), (1, 779.0530395507812)]","[(0, 1464.6883544921875), (1, 3188.61767578125)]","[(0, 1744.9552001953125), (1, 1557.3291015625)]","[(0, 7740.25048828125), (1, 3387.090576171875)]","[(0, 9961.052734375), (1, 2666.398681640625)]","[(0, 107654.609375), (1, 133028.265625)]","[(0, 3656.4482421875), (1, 4540.50048828125)]","[(0, 4207.56640625), (1, 1578.71875)]","[(0, 3660.6455078125), (1, 3950.186279296875)]","[(0, 3924.783203125), (1, 4042.56640625)]","[(0, 4555.15576171875), (1, 3025.623779296875)]","[(0, 2471.004150390625), (1, 2139.758056640625)]","[(0, 6068.79638671875), (1, 6194.763671875)]","[(0, 2696.689697265625), (1, 2759.36083984375)]","[(0, 7080.85888671875), (1, 7547.59033203125)]","[(0, 4180.66796875), (1, 2859.587646484375)]","[(0, 2508.997802734375), (1, 1882.96630859375)]","[(0, 6415.9443359375), (1, 6221.0498046875)]","[(0, 5456.556640625), (1, 9108.76953125)]"
17,"[(0, 4098.04345703125), (1, 3835.10546875)]","[(0, 5385.3486328125), (1, 3160.700439453125)]","[(0, 2844.3564453125), (1, 2060.70654296875)]","[(0, 2430.825439453125), (1, 2195.37060546875)]","[(0, 6084.01953125), (1, 4168.0244140625)]","[(0, 3718.292236328125), (1, 8665.4541015625)]","[(0, 1800.669677734375), (1, 2033.794677734375)]","[(0, 17218.9375), (1, 26121.37890625)]","[(0, 7721.759765625), (1, 2256.05078125)]","[(0, 90395.1015625), (1, 30051.24609375)]","[(0, 3385.1337890625), (1, 3637.99609375)]","[(0, 7180.36572265625), (1, 3367.66845703125)]","[(0, 2771.5634765625), (1, 2991.537841796875)]","[(0, 3125.611572265625), (1, 4170.86328125)]","[(0, 4448.2021484375), (1, 3118.6591796875)]","[(0, 1941.03515625), (1, 1916.6072998046875)]","[(0, 4892.82568359375), (1, 4875.13134765625)]","[(0, 2910.682861328125), (1, 2707.740234375)]","[(0, 3361.004638671875), (1, 2780.017333984375)]","[(0, 6947.81103515625), (1, 7566.595703125)]","[(0, 2516.789794921875), (1, 1941.7711181640625)]","[(0, 6313.4453125), (1, 6811.296875)]","[(0, 3724.46728515625), (1, 4772.255859375)]"
18,"[(0, 2153.621826171875), (1, 1921.2227783203125)]","[(0, 7952.51953125), (1, 4984.625)]","[(0, 2359.616455078125), (1, 1672.631591796875)]","[(0, 2441.708251953125), (1, 2234.48974609375)]","[(0, 3729.546630859375), (1, 2429.210205078125)]","[(0, 949.3809814453125), (1, 1773.3414306640625)]","[(0, 1642.8662109375), (1, 1492.6226806640625)]","[(0, 6503.3720703125), (1, 2943.841552734375)]","[(0, 11292.69140625), (1, 3381.1005859375)]","[(0, 96820.5625), (1, 93506.9765625)]","[(0, 4411.59521484375), (1, 5217.14599609375)]","[(0, 7942.40087890625), (1, 2825.05029296875)]","[(0, 10970.5419921875), (1, 12266.169921875)]","[(0, 2464.064453125), (1, 3348.712158203125)]","[(0, 6254.48828125), (1, 4584.0224609375)]","[(0, 5999.09423828125), (1, 4297.32666015625)]","[(0, 3855.204345703125), (1, 4471.2451171875)]","[(0, 3838.878173828125), (1, 3977.520751953125)]","[(0, 3072.200927734375), (1, 3396.1826171875)]","[(0, 3714.631103515625), (1, 2684.317138671875)]","[(0, 4449.5341796875), (1, 3742.79052734375)]","[(0, 4595.26708984375), (1, 5256.66015625)]","[(0, 2882.047119140625), (1, 4756.2763671875)]"
19,"[(0, 2572.273193359375), (1, 2143.9921875)]","[(0, 6093.54296875), (1, 3595.649658203125)]","[(0, 3720.093994140625), (1, 2522.177978515625)]","[(0, 2754.286376953125), (1, 2509.61279296875)]","[(0, 3816.2646484375), (1, 2574.13818359375)]","[(0, 1367.818603515625), (1, 2919.64306640625)]","[(0, 1790.114013671875), (1, 1965.2242431640625)]","[(0, 9519.154296875), (1, 1733.203857421875)]","[(0, 5828.0283203125), (1, 1450.0277099609375)]","[(0, 4081.953857421875), (1, 5573.45068359375)]","[(0, 3748.06298828125), (1, 4349.22216796875)]","[(0, 6767.236328125), (1, 3310.9833984375)]","[(0, 11122.1015625), (1, 12406.59375)]","[(0, 4834.8544921875), (1, 4526.0654296875)]","[(0, 7892.97314453125), (1, 6111.560546875)]","[(0, 2707.3642578125), (1, 3974.15771484375)]","[(0, 3079.005859375), (1, 3571.8115234375)]","[(0, 3275.46923828125), (1, 3366.939453125)]","[(0, 1748.092529296875), (1, 1459.114990234375)]","[(0, 4639.42431640625), (1, 8949.9775390625)]","[(0, 7589.005859375), (1, 6211.42822265625)]","[(0, 3050.28759765625), (1, 3368.956787109375)]","[(0, 6737.337890625), (1, 11314.619140625)]"
