,best
agreement_determiner_noun-across_1_adjective,0.5205
agreement_determiner_noun-between_neighbors,0.556
agreement_subject_verb-across_prepositional_phrase,0.516
agreement_subject_verb-across_relative_clause,0.5085
agreement_subject_verb-in_question_with_aux,0.4995
agreement_subject_verb-in_simple_question,0.514
anaphor_agreement-pronoun_gender,0.5275
argument_structure-dropped_argument,0.7735
argument_structure-swapped_arguments,0.9965
argument_structure-transitive,0.6755
binding-principle_a,0.429
case-subjective_pronoun,0.9995
ellipsis-n_bar,0.303
filler-gap-wh_question_object,0.445
filler-gap-wh_question_subject,0.994
irregular-verb,0.677
island-effects-adjunct_island,0.4435
island-effects-coordinate_structure_constraint,0.793
local_attractor-in_question_with_aux,0.575
npi_licensing-matrix_question,0.33
npi_licensing-only_npi_licensor,0.705
quantifiers-existential_there,0.8155
quantifiers-superlative,0.2205
