,best
agreement_determiner_noun-across_1_adjective,0.5205
agreement_determiner_noun-between_neighbors,0.5615
agreement_subject_verb-across_prepositional_phrase,0.5015
agreement_subject_verb-across_relative_clause,0.5225
agreement_subject_verb-in_question_with_aux,0.496
agreement_subject_verb-in_simple_question,0.5125
anaphor_agreement-pronoun_gender,0.5295
argument_structure-dropped_argument,0.8625
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.634
binding-principle_a,0.448
case-subjective_pronoun,1.0
ellipsis-n_bar,0.647
filler-gap-wh_question_object,0.565
filler-gap-wh_question_subject,0.9565
irregular-verb,0.7425
island-effects-adjunct_island,0.443
island-effects-coordinate_structure_constraint,0.4555
local_attractor-in_question_with_aux,0.6855
npi_licensing-matrix_question,0.718
npi_licensing-only_npi_licensor,0.712
quantifiers-existential_there,0.793
quantifiers-superlative,0.362
