,best
agreement_determiner_noun-across_1_adjective,0.5065
agreement_determiner_noun-between_neighbors,0.5565
agreement_subject_verb-across_prepositional_phrase,0.5075
agreement_subject_verb-across_relative_clause,0.5
agreement_subject_verb-in_question_with_aux,0.4675
agreement_subject_verb-in_simple_question,0.488
anaphor_agreement-pronoun_gender,0.5455
argument_structure-dropped_argument,0.3885
argument_structure-swapped_arguments,0.9805
argument_structure-transitive,0.4255
binding-principle_a,0.5355
case-subjective_pronoun,0.9725
ellipsis-n_bar,0.2475
filler-gap-wh_question_object,0.7355
filler-gap-wh_question_subject,1.0
irregular-verb,0.4865
island-effects-adjunct_island,0.3945
island-effects-coordinate_structure_constraint,0.0745
local_attractor-in_question_with_aux,0.5815
npi_licensing-matrix_question,0.613
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.7505
quantifiers-superlative,0.6765
