,best
agreement_determiner_noun-across_1_adjective,0.521
agreement_determiner_noun-between_neighbors,0.54
agreement_subject_verb-across_prepositional_phrase,0.5095
agreement_subject_verb-across_relative_clause,0.5125
agreement_subject_verb-in_question_with_aux,0.497
agreement_subject_verb-in_simple_question,0.5075
anaphor_agreement-pronoun_gender,0.5265
argument_structure-dropped_argument,0.778
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.658
binding-principle_a,0.4075
case-subjective_pronoun,1.0
ellipsis-n_bar,0.2895
filler-gap-wh_question_object,0.3695
filler-gap-wh_question_subject,0.9915
irregular-verb,0.667
island-effects-adjunct_island,0.42
island-effects-coordinate_structure_constraint,0.6915
local_attractor-in_question_with_aux,0.6075
npi_licensing-matrix_question,0.3925
npi_licensing-only_npi_licensor,0.6615
quantifiers-existential_there,0.794
quantifiers-superlative,0.407
