,best
agreement_determiner_noun-across_1_adjective,0.51
agreement_determiner_noun-between_neighbors,0.518
agreement_subject_verb-across_prepositional_phrase,0.509
agreement_subject_verb-across_relative_clause,0.487
agreement_subject_verb-in_question_with_aux,0.498
agreement_subject_verb-in_simple_question,0.497
anaphor_agreement-pronoun_gender,0.525
argument_structure-dropped_argument,0.93
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5305
binding-principle_a,0.211
case-subjective_pronoun,1.0
ellipsis-n_bar,0.179
filler-gap-wh_question_object,0.3345
filler-gap-wh_question_subject,0.8875
irregular-verb,0.543
island-effects-adjunct_island,0.482
island-effects-coordinate_structure_constraint,0.371
local_attractor-in_question_with_aux,0.61
npi_licensing-matrix_question,0.4055
npi_licensing-only_npi_licensor,0.984
quantifiers-existential_there,0.611
quantifiers-superlative,0.45
