,best
agreement_determiner_noun-across_1_adjective,0.5145
agreement_determiner_noun-between_neighbors,0.5145
agreement_subject_verb-across_prepositional_phrase,0.5015
agreement_subject_verb-across_relative_clause,0.4995
agreement_subject_verb-in_question_with_aux,0.4935
agreement_subject_verb-in_simple_question,0.495
anaphor_agreement-pronoun_gender,0.4895
argument_structure-dropped_argument,0.9385
argument_structure-swapped_arguments,0.9695
argument_structure-transitive,0.497
binding-principle_a,0.5375
case-subjective_pronoun,0.963
ellipsis-n_bar,0.2155
filler-gap-wh_question_object,0.1505
filler-gap-wh_question_subject,0.998
irregular-verb,0.517
island-effects-adjunct_island,0.6115
island-effects-coordinate_structure_constraint,0.511
local_attractor-in_question_with_aux,0.63
npi_licensing-matrix_question,0.471
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.7285
quantifiers-superlative,0.9165
